,ALFUM FP Equity_DX_SI_QTY,ALFUM FP Equity_DX_SHORT_INTEREST_VALUE,ALFUM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFUM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFUM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFUM FP Equity_DX_SI_MV,ALFUM FP Equity_DX_DSS,ALFUM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFUM FP Equity_DX_SUPPLY_SI_QTY,ALFUM FP Equity_DX_BROKER_SI_QTY,ALFUM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFUM FP Equity_DX_BROKER_SI_QTY_ADD,ALFUM FP Equity_DX_SUPPLY_SI_MV_DEC,ALFUM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFUM FP Equity_DX_BROKER_SI_MV_ADD,ALFUM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFUM FP Equity_DX_BROKER_SI_QTY_DEC,ALFUM FP Equity_DX_SUPPLY_SI_MV,ALFUM FP Equity_DX_BROKER_SI_MV_DEC,ALFUM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFUM FP Equity_DX_UTILIZATION_QUANTITY,ALFUM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFUM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFUM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFUM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFUM FP Equity_DX_BROKER_SI_CON_RATIO,ALFUM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFUM FP Equity_DX_DEMAND_SUPPLY_RATIO,ALFUM FP Equity_PX_LAST
2022-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49
2022-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38
2022-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2022-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2022-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2022-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65
2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2022-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2022-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78
2022-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43
2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2022-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85
2022-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65
2022-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61
2022-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2022-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2310.0,0.0,0.0,0.0,,0.0,7.7
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2172.0,0.0,0.0,0.0,,0.0,7.24
2023-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2097.0,0.0,0.0,0.0,,0.0,6.99
2023-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2100.0,0.0,0.0,0.0,,0.0,7.0
2023-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2097.0,0.0,0.0,0.0,,0.0,6.99
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2100.0,0.0,0.0,0.0,,0.0,7.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2094.0,0.0,0.0,0.0,,0.0,6.98
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2070.0,0.0,0.0,0.0,,0.0,6.9
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2067.0,0.0,0.0,0.0,,0.0,6.89
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1920.0,0.0,0.0,0.0,,0.0,6.4
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1860.0,0.0,0.0,0.0,,0.0,6.2
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1800.0,0.0,0.0,0.0,,0.0,6.0
2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1752.0,0.0,0.0,0.0,,0.0,5.84
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1920.0,0.0,0.0,0.0,,0.0,6.4
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2067.0,0.0,0.0,0.0,,0.0,6.89
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2067.0,0.0,0.0,0.0,,0.0,6.89
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2067.0,0.0,0.0,0.0,,0.0,6.89
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2046.0,0.0,0.0,0.0,,0.0,6.82
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,2049.0,0.0,0.0,0.0,,0.0,6.83
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1962.0,0.0,0.0,0.0,,0.0,6.54
2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1809.0,0.0,0.0,0.0,,0.0,6.03
2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1806.0,0.0,0.0,0.0,,0.0,6.02
2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1716.0,0.0,0.0,0.0,,0.0,5.72
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1728.0,0.0,0.0,0.0,,0.0,5.76
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1740.0,0.0,0.0,0.0,,0.0,5.8
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1728.0,0.0,0.0,0.0,,0.0,5.76
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1740.0,0.0,0.0,0.0,,0.0,5.8
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1740.0,0.0,0.0,0.0,,0.0,5.8
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1779.0,0.0,0.0,0.0,,0.0,5.93
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1788.0,0.0,0.0,0.0,,0.0,5.96
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1794.0,0.0,0.0,0.0,,0.0,5.98
