,ALSPW FP Equity_DX_SI_QTY,ALSPW FP Equity_DX_SHORT_INTEREST_VALUE,ALSPW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSPW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSPW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSPW FP Equity_DX_SI_MV,ALSPW FP Equity_DX_DSS,ALSPW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSPW FP Equity_DX_SUPPLY_SI_QTY,ALSPW FP Equity_DX_BROKER_SI_QTY,ALSPW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSPW FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSPW FP Equity_DX_BROKER_SI_MV_INC_x,ALSPW FP Equity_DX_BROKER_SI_QTY_ADD,ALSPW FP Equity_DX_SUPPLY_SI_MV_DEC,ALSPW FP Equity_DX_BROKER_SI_QTY_INC,ALSPW FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSPW FP Equity_DX_BROKER_SI_MV_INC_y,ALSPW FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSPW FP Equity_DX_BROKER_SI_MV_ADD,ALSPW FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSPW FP Equity_DX_BROKER_SI_QTY_DEC,ALSPW FP Equity_DX_SUPPLY_SI_MV,ALSPW FP Equity_DX_BROKER_SI_MV_DEC,ALSPW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSPW FP Equity_DX_UTILIZATION_QUANTITY,ALSPW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSPW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSPW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSPW FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSPW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSPW FP Equity_DX_BROKER_SI_CON_RATIO,ALSPW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSPW FP Equity_DX_DEMAND_SUPPLY_RATIO,ALSPW FP Equity_PX_LAST
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2013-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99
2013-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2013-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2013-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2013-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2013-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2013-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2013-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2013-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2013-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2013-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2013-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2013-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2013-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2013-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2013-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2013-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2013-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.63
2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2013-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89
2013-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89
2013-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89
2013-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
