,MLHPE FP Equity_PX_LAST
2006-03-31,11.6
2006-04-03,11.6
2006-04-04,12.0
2006-04-05,12.0
2006-04-06,11.61
2006-04-07,12.0
2006-04-12,11.61
2006-04-13,11.61
2006-04-20,11.61
2006-04-21,12.0
2006-04-26,12.0
2006-04-28,14.2
2006-05-02,14.5
2006-05-03,14.2
2006-05-04,14.5
2006-05-08,14.2
2006-05-09,13.6
2006-05-11,12.24
2006-05-15,13.0
2006-05-30,12.0
2006-06-19,9.0
2006-06-27,7.31
2006-07-03,10.68
2006-07-04,10.0
2006-07-05,10.0
2006-07-12,11.99
2006-07-13,11.99
2006-07-17,11.0
2006-07-31,11.5
2006-08-09,11.0
2006-09-01,11.48
2006-09-06,11.48
2006-09-11,10.5
2006-09-25,10.5
2006-10-04,10.0
2006-10-09,10.01
2006-10-10,10.01
2006-10-16,9.95
2006-10-23,9.5
2006-10-26,6.96
2006-11-06,11.0
2006-11-07,11.0
2006-11-14,8.92
2006-11-15,9.0
2006-11-20,9.1
2006-11-21,9.12
2006-11-27,9.12
2006-11-28,9.02
2006-12-04,8.4
2006-12-05,8.4
2006-12-11,9.2
2006-12-12,10.0
2006-12-14,9.5
2006-12-15,10.0
2007-01-18,10.0
2007-01-19,9.0
2007-01-24,9.0
2007-01-30,10.88
2007-01-31,11.95
2007-02-01,11.94
2007-02-02,12.0
2007-02-05,12.94
2007-02-06,12.95
2007-02-13,13.18
2007-02-19,12.5
2007-02-22,12.98
2007-02-23,12.95
2007-03-13,10.4
2007-03-15,11.38
2007-03-16,11.4
2007-03-19,10.27
2007-03-23,11.29
2007-04-04,11.4
2007-04-05,11.99
2007-04-10,11.5
2007-04-12,11.5
2007-04-16,11.2
2007-04-17,11.2
2007-04-23,12.0
2007-04-26,12.0
2007-04-30,11.8
2007-05-07,11.6
2007-05-08,11.6
2007-05-18,8.51
2007-05-22,10.0
2007-05-23,9.01
2007-05-28,9.0
2007-05-29,9.12
2007-05-30,9.0
2007-06-04,8.6
