,ELCR FP Equity_PX_LAST
2020-04-21,8.126
2020-04-22,8.325
2020-04-23,8.479
2020-04-24,8.394
2020-04-27,8.736
2020-04-28,8.897
2020-04-29,9.153
2020-04-30,9.02
2020-05-04,8.552
2020-05-05,8.866
2020-05-06,8.847
2020-05-07,9.025
2020-05-08,9.179
2020-05-11,9.129
2020-05-12,9.08
2020-05-13,8.746
2020-05-14,8.582
2020-05-15,8.719
2020-05-18,9.122
2020-05-19,9.223
2020-05-20,9.298
2020-05-21,9.153
2020-05-22,9.1
2020-05-25,9.263
2020-05-26,9.44
2020-05-27,9.459
2020-05-28,9.529
2020-05-29,9.324
2020-06-01,9.668
2020-06-02,9.843
2020-06-03,10.109
2020-06-04,10.048
2020-06-05,10.493
2020-06-08,10.592
2020-06-09,10.442
2020-06-10,10.266
2020-06-11,9.707
2020-06-12,9.742
2020-06-15,9.634
2020-06-16,10.067
2020-06-17,10.043
2020-06-18,9.95
2020-06-19,10.075
2020-06-22,9.863
2020-06-23,10.017
2020-06-24,9.711
2020-06-25,9.663
2020-06-26,9.665
2020-06-29,9.754
2020-06-30,9.879
2020-07-01,9.816
2020-07-02,10.041
2020-07-03,10.015
2020-07-06,10.366
2020-07-07,10.435
2020-07-08,10.397
2020-07-09,10.373
2020-07-10,10.488
2020-07-13,10.802
2020-07-14,10.524
2020-07-15,10.617
2020-07-16,10.545
2020-07-17,10.579
2020-07-20,10.637
2020-07-21,10.699
2020-07-22,10.548
2020-07-23,10.618
2020-07-24,10.322
2020-07-27,10.29
2020-07-28,10.364
2020-07-29,10.342
2020-07-30,10.175
2020-07-31,10.037
2020-08-03,10.252
2020-08-04,10.329
2020-08-05,10.466
2020-08-06,10.472
2020-08-07,10.426
2020-08-10,10.571
2020-08-11,10.769
2020-08-12,10.834
2020-08-13,10.731
2020-08-14,10.699
2020-08-17,10.76
2020-08-18,10.649
2020-08-19,10.669
2020-08-20,10.508
2020-08-21,10.555
2020-08-24,10.727
2020-08-25,10.748
2020-08-26,10.837
2020-08-27,10.877
2020-08-28,10.915
2020-08-31,10.816
2020-09-01,10.99
2020-09-02,11.163
2020-09-03,10.884
2020-09-04,10.729
2020-09-07,10.945
2020-09-08,10.796
2020-09-09,10.781
2020-09-10,10.762
2020-09-11,10.754
2020-09-14,10.909
2020-09-15,11.082
2020-09-16,11.058
2020-09-17,10.939
2020-09-18,10.866
2020-09-21,10.449
2020-09-22,10.459
2020-09-23,10.491
