,OR FP Equity_DX_SI_QTY,OR FP Equity_DX_SHORT_INTEREST_VALUE,OR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,OR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,OR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,OR FP Equity_DX_SI_MV,OR FP Equity_DX_DSS,OR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,OR FP Equity_DX_SUPPLY_SI_QTY,OR FP Equity_DX_BROKER_SI_QTY,OR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,OR FP Equity_DX_BROKER_SI_MV_NEW_x,OR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,OR FP Equity_DX_SUPPLY_SI_QTY_INC_x,OR FP Equity_DX_BROKER_SI_MV_INC_x,OR FP Equity_DX_SUPPLY_SI_MV_NEW,OR FP Equity_DX_BROKER_SI_QTY_ADD,OR FP Equity_DX_BROKER_SI_QTY_NEW,OR FP Equity_DX_SUPPLY_SI_MV_DEC,OR FP Equity_DX_BROKER_SI_QTY_INC,OR FP Equity_DX_SUPPLY_SI_QTY_DEC,OR FP Equity_DX_BROKER_SI_MV_NEW_y,OR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,OR FP Equity_DX_BROKER_SI_MV_INC_y,OR FP Equity_DX_SUPPLY_SI_QTY_INC_y,OR FP Equity_DX_BROKER_SI_MV_ADD,OR FP Equity_DX_SUPPLY_SI_QTY_ADD,OR FP Equity_DX_BROKER_SI_QTY_DEC,OR FP Equity_DX_SUPPLY_SI_MV,OR FP Equity_DX_BROKER_SI_MV_DEC,OR FP Equity_DX_SUPPLY_SI_MV_RMV,OR FP Equity_DX_BROKER_SI_MV_RMV,OR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,OR FP Equity_DX_UTILIZATION_QUANTITY,OR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,OR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,OR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,OR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,OR FP Equity_DX_ACTIVE_UTILIZATION_MV,OR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,OR FP Equity_DX_BROKER_SI_CON_RATIO,OR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,OR FP Equity_DX_DEMAND_SUPPLY_RATIO,OR FP Equity_PX_LAST
1980-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.909
1980-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.994
1980-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.518
1980-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.213
1980-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.976
1980-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.043
1980-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.281
1980-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.671
1980-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.671
1980-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.043
1980-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.909
1980-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.451
1980-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.299
1980-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.061
1980-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.805
1980-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.092
1980-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1980-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.19
1980-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.428
1980-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.428
1980-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.19
1980-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.952
