,JPN FP Equity_DX_SI_QTY,JPN FP Equity_DX_SHORT_INTEREST_VALUE,JPN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JPN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JPN FP Equity_DX_SI_MV,JPN FP Equity_DX_DSS,JPN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JPN FP Equity_DX_SUPPLY_SI_QTY,JPN FP Equity_DX_BROKER_SI_QTY,JPN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JPN FP Equity_DX_BROKER_SI_MV_NEW_x,JPN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,JPN FP Equity_DX_SUPPLY_SI_QTY_INC_x,JPN FP Equity_DX_BROKER_SI_MV_INC_x,JPN FP Equity_DX_SUPPLY_SI_MV_NEW,JPN FP Equity_DX_BROKER_SI_QTY_ADD,JPN FP Equity_DX_BROKER_SI_QTY_NEW,JPN FP Equity_DX_SUPPLY_SI_MV_DEC,JPN FP Equity_DX_BROKER_SI_QTY_INC,JPN FP Equity_DX_SUPPLY_SI_QTY_DEC,JPN FP Equity_DX_BROKER_SI_MV_NEW_y,JPN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,JPN FP Equity_DX_BROKER_SI_MV_INC_y,JPN FP Equity_DX_SUPPLY_SI_QTY_INC_y,JPN FP Equity_DX_BROKER_SI_MV_ADD,JPN FP Equity_DX_SUPPLY_SI_QTY_ADD,JPN FP Equity_DX_BROKER_SI_QTY_DEC,JPN FP Equity_DX_SUPPLY_SI_MV,JPN FP Equity_DX_BROKER_SI_MV_DEC,JPN FP Equity_DX_SUPPLY_SI_MV_RMV,JPN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JPN FP Equity_DX_UTILIZATION_QUANTITY,JPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JPN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JPN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,JPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JPN FP Equity_DX_ACTIVE_UTILIZATION_MV,JPN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JPN FP Equity_DX_BROKER_SI_CON_RATIO,JPN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JPN FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-04-12,1700.0,174949.77,0.22,0.07,0.21,,174949.77,0.0,1700.0,0.0,0.21,,,,,,1700.0,,,,0.21,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-04-19,1700.0,173188.68,0.25,0.07,0.21,,173188.68,0.0,1700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-04-26,1700.0,174062.07,0.24,0.07,0.21,,174062.07,0.0,1700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-05-03,1700.0,174334.11,0.24,0.07,0.21,,174334.11,0.0,1700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-05-10,1700.0,174906.82,0.26,0.07,0.21,,174906.82,0.0,1700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-05-17,1700.0,165213.64,0.26,0.06,0.21,,165213.64,0.0,1700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-05-24,1700.0,159944.67,0.23,0.06,0.21,,159944.67,0.0,1700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-10-26,30000.0,2813204.29,4.76,0.77,3.33,,2813204.29,0.0,30000.0,0.0,,,,,,30000.0,,,,,,,,,3.33,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-10-27,30000.0,2796275.54,4.76,0.77,3.34,,2796275.54,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-10-30,30000.0,2765197.39,4.83,0.77,3.32,,2765197.39,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
