,MLMAT FP Equity_PX_LAST
2007-12-21,4.38
2007-12-24,5.25
2007-12-27,5.77
2007-12-28,6.33
2008-01-08,7.0
2008-01-09,7.69
2008-01-10,8.45
2008-01-11,8.9
2008-01-14,9.79
2008-01-15,10.75
2008-01-16,11.81
2008-01-17,12.89
2008-01-18,14.17
2008-01-21,15.58
2008-01-22,16.2
2008-01-23,16.9
2008-01-25,16.4
2008-01-28,16.1
2008-02-01,14.35
2008-02-11,8.49
2008-02-13,8.0
2008-02-14,8.5
2008-02-15,9.35
2008-02-18,10.28
2008-02-19,11.3
2008-02-20,11.5
2008-02-21,11.5
2008-02-22,11.5
2008-02-25,11.0
2008-02-26,11.0
2008-03-04,11.0
2008-03-06,11.0
2008-03-07,11.0
2008-03-13,9.8
2008-03-18,10.0
2008-03-19,11.0
2008-03-20,12.1
2008-03-27,12.1
2008-04-03,13.1
2008-04-04,13.0
2008-04-10,13.0
2008-04-18,12.0
2008-04-24,13.0
2008-04-25,12.5
2008-04-29,11.95
2008-05-05,12.0
2008-05-13,12.5
2008-05-14,12.5
2008-05-16,12.5
2008-05-19,13.0
2008-05-20,13.0
2008-05-21,12.5
2008-05-30,10.0
2008-06-02,11.0
2008-06-03,11.0
2008-06-04,11.0
2008-06-09,12.0
2008-06-10,12.0
2008-06-11,12.0
2008-06-12,12.0
2008-06-13,12.0
2008-06-16,11.99
2008-06-17,12.21
2008-06-18,12.21
2008-06-24,11.02
2008-06-25,11.02
2008-07-10,12.0
2008-07-11,12.0
2008-07-21,12.5
2008-07-28,10.03
2008-07-31,9.0
2008-08-06,12.8
2008-09-04,15.0
2008-09-11,10.83
2008-09-15,10.83
2008-09-19,13.1
2008-10-13,13.9
2008-10-30,4.8
2008-11-03,5.0
2008-11-06,5.0
2008-11-07,4.5
2008-11-10,4.5
2008-11-11,4.5
2008-11-12,4.5
2008-11-13,4.5
2008-11-14,4.5
2008-11-17,4.5
2008-11-20,4.5
2008-11-25,4.0
2008-11-28,3.96
2008-12-03,3.54
2008-12-05,3.5
2008-12-08,3.53
2008-12-17,4.95
2008-12-18,4.95
2008-12-30,4.8
2008-12-31,4.33
2009-01-09,6.9
2009-01-19,6.84
2009-01-30,6.49
2009-02-06,5.25
2009-02-09,5.0
2009-02-10,4.75
2009-02-20,3.95
2009-02-23,4.0
2009-02-27,3.55
2009-03-04,3.21
2009-03-05,3.2
2009-03-06,3.25
2009-03-09,3.21
2009-03-12,3.18
2009-03-13,3.15
2009-03-16,3.05
2009-03-17,3.07
2009-03-18,3.07
2009-03-19,3.07
2009-03-23,3.37
2009-03-24,3.7
2009-03-26,4.07
2009-03-27,4.47
2009-03-31,4.45
2009-04-02,4.45
2009-04-06,4.45
2009-04-07,4.45
2009-04-14,5.18
2009-04-15,5.16
2009-04-16,5.15
2009-04-20,5.69
2009-04-23,5.0
2009-04-24,5.25
2009-04-27,5.5
2009-04-29,5.85
2009-05-05,5.0
2009-05-07,5.0
2009-05-13,5.0
2009-05-14,5.0
2009-05-18,5.2
2009-05-28,4.8
2009-05-29,5.25
2009-06-11,5.0
2009-07-06,4.99
2009-07-22,4.5
2009-08-11,4.95
2009-08-14,4.93
2009-08-20,3.46
2009-08-21,3.48
2009-08-27,4.62
2009-08-28,5.0
2009-09-04,5.0
2009-09-11,3.67
2009-09-16,3.7
2009-09-17,3.7
2009-09-18,3.7
2009-09-24,3.51
2009-09-30,3.52
2009-10-13,4.95
2009-10-29,4.68
2009-11-11,3.67
2009-11-12,3.68
2009-11-13,3.65
2009-11-16,3.47
2009-11-17,3.81
2009-11-18,3.47
2009-11-20,3.47
2009-11-24,3.99
2009-12-09,2.81
2009-12-11,3.0
2009-12-14,2.82
2009-12-16,3.0
2010-01-06,3.3
2010-01-14,2.98
2010-01-18,3.58
2010-01-19,3.75
2010-01-21,4.12
2010-01-25,4.3
2010-01-28,4.53
2010-01-29,4.5
2010-02-12,4.49
2010-02-16,4.05
2010-02-26,3.66
2010-03-15,4.02
2010-03-16,4.02
2010-03-18,4.1
2010-03-24,4.5
2010-03-25,4.5
2010-03-26,4.94
2010-03-30,5.35
2010-03-31,5.8
2010-04-06,6.3
2010-04-07,6.29
2010-04-09,6.3
2010-04-13,6.5
2010-04-21,6.5
2010-04-22,6.5
2010-04-23,6.9
2010-04-26,6.51
2010-04-27,6.89
2010-04-29,5.7
2010-04-30,5.7
2010-05-03,5.7
2010-05-10,5.5
2010-05-12,4.95
2010-05-18,4.95
2010-05-20,5.43
2010-05-26,5.38
2010-06-01,5.0
2010-06-02,4.95
2010-06-14,4.9
2010-06-18,4.8
2010-07-01,4.32
2010-07-02,4.0
2010-07-28,4.4
2010-08-02,4.83
2010-08-05,5.5
2010-08-06,5.5
2010-08-20,5.0
2010-08-27,4.05
2010-09-15,4.05
2010-09-20,4.0
2010-10-15,4.0
2010-10-20,5.0
2010-10-25,5.0
2010-10-27,4.98
2010-11-08,4.99
2010-11-26,3.66
2010-12-13,4.5
2010-12-27,3.29
2010-12-30,3.97
2010-12-31,4.2
2011-01-05,4.5
2011-01-19,3.9
2011-01-25,3.51
2011-01-28,2.95
2011-02-01,3.5
2011-02-02,3.83
2011-02-11,3.5
2011-02-16,3.35
2011-02-17,3.35
2011-03-01,3.59
2011-03-04,2.95
2011-03-07,2.95
2011-03-09,3.56
2011-03-21,4.25
2011-04-07,3.98
2011-12-01,3.98
2011-12-02,4.0
2011-12-06,4.0
2011-12-08,4.0
2011-12-28,4.0
2012-02-23,4.0
2012-03-26,4.2
2012-06-07,2.95
2012-06-27,2.95
2012-07-16,5.8
2012-07-31,4.89
2012-09-12,4.5
2012-12-06,4.5
2012-12-17,4.5
2013-02-25,3.01
2013-02-27,2.51
2013-03-12,2.62
2013-04-16,3.44
2013-04-19,4.5
2013-05-17,4.8
2013-06-03,5.1
2013-06-20,5.05
2013-08-29,3.01
2013-09-02,2.74
2013-10-17,2.74
2013-11-21,2.61
2014-01-24,2.73
2014-02-19,3.5
2014-02-20,3.5
2014-04-14,3.1
2014-05-16,2.8
2014-05-28,2.8
2014-07-31,4.0
2015-01-08,2.67
2015-01-09,2.42
2015-03-11,2.6
2015-03-12,2.6
2015-04-27,2.6
2015-07-28,1.74
2015-11-19,1.8
2015-12-18,1.5
2015-12-22,1.4
2016-01-18,1.4
2016-01-25,1.4
2016-10-20,1.4
2017-01-11,0.84
2017-04-13,0.84
2017-05-08,1.11
2017-08-07,1.3
2017-08-09,1.3
2017-10-20,1.11
2017-11-16,1.09
2018-01-05,5.3
2018-01-12,5.3
2018-03-21,6.35
2018-05-18,5.9
2018-05-30,5.95
2018-06-06,5.95
2018-06-08,5.95
2018-06-12,5.9
2018-06-13,6.1
2018-06-15,6.1
2018-06-22,6.15
2018-06-27,6.15
2018-07-06,6.0
2018-07-12,6.0
2018-07-13,6.2
2018-07-16,6.2
2018-07-17,6.2
2018-07-18,6.2
2018-07-20,6.2
2018-08-14,6.2
2018-08-27,6.2
2018-08-28,6.25
2018-08-29,6.2
2018-08-30,6.25
2018-08-31,6.25
2018-09-03,6.35
2018-09-05,6.35
2018-09-06,6.0
2018-09-07,6.0
2018-09-17,3.24
2018-09-21,3.44
2018-09-24,3.44
2018-10-01,3.5
2018-10-15,5.9
2018-10-17,5.9
2018-10-29,5.9
2018-11-26,5.9
2018-11-29,5.9
2018-12-18,5.8
2019-02-18,1.98
2019-02-19,2.12
2019-02-25,2.78
2019-04-24,2.1
2019-05-15,2.2
2019-05-30,2.2
