,ENAM FP Equity_DX_SI_QTY,ENAM FP Equity_DX_SHORT_INTEREST_VALUE,ENAM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ENAM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ENAM FP Equity_DX_SI_MV,ENAM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ENAM FP Equity_DX_SUPPLY_SI_QTY,ENAM FP Equity_DX_BROKER_SI_QTY,ENAM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ENAM FP Equity_DX_BROKER_SI_MV_NEW_x,ENAM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ENAM FP Equity_DX_BROKER_SI_MV_INC_x,ENAM FP Equity_DX_BROKER_SI_QTY_ADD,ENAM FP Equity_DX_BROKER_SI_QTY_NEW,ENAM FP Equity_DX_SUPPLY_SI_MV_DEC,ENAM FP Equity_DX_BROKER_SI_QTY_INC,ENAM FP Equity_DX_SUPPLY_SI_QTY_DEC,ENAM FP Equity_DX_BROKER_SI_MV_NEW_y,ENAM FP Equity_DX_BROKER_SI_MV_INC_y,ENAM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ENAM FP Equity_DX_BROKER_SI_MV_ADD,ENAM FP Equity_DX_SUPPLY_SI_QTY_ADD,ENAM FP Equity_DX_BROKER_SI_QTY_DEC,ENAM FP Equity_DX_SUPPLY_SI_MV,ENAM FP Equity_DX_BROKER_SI_MV_DEC,ENAM FP Equity_DX_BROKER_SI_MV_RMV,ENAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ENAM FP Equity_DX_UTILIZATION_QUANTITY,ENAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ENAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ENAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ENAM FP Equity_DX_ACTIVE_UTILIZATION_MV,ENAM FP Equity_DX_BROKER_SI_CON_RATIO,ENAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ENAM FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,330981.6,0.33,0.0,0.0,,0.0
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,331844.48,0.33,0.0,0.0,,0.0
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,331041.47,0.33,0.0,0.0,,0.0
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,331124.04,0.33,0.0,0.0,,0.0
2021-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,332383.26,0.33,0.0,0.0,,0.0
2021-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,333289.49,0.33,0.0,0.0,,0.0
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,335413.66,0.33,0.0,0.0,,0.0
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,335044.15,0.34,0.0,0.0,,0.0
2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,335145.3,0.34,0.0,0.0,,0.0
2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,335892.57,0.33,0.0,0.0,,0.0
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,340376.23,0.34,0.0,0.0,,0.0
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,338179.82,0.34,0.0,0.0,,0.0
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,339688.82,0.34,0.0,0.0,,0.0
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,341961.62,0.34,0.0,0.0,,0.0
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,341360.91,0.34,0.0,0.0,,0.0
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,343582.09,0.34,0.0,0.0,,0.0
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,343916.51,0.34,0.0,0.0,,0.0
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,344500.71,0.34,0.0,0.0,,0.0
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,346544.36,0.34,0.0,0.0,,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,347877.9,0.35,0.0,0.0,,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,348660.27,0.35,0.0,0.0,,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,351079.63,0.35,0.0,0.0,,0.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,352049.85,0.35,0.0,0.0,,0.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,351149.82,0.35,0.0,0.0,,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,353713.68,0.35,0.0,0.0,,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,349163.96,0.35,0.0,0.0,,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,352613.4,0.35,0.0,0.0,,0.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,353670.33,0.35,0.0,0.0,,0.0
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,356168.13,0.35,0.0,0.0,,0.0
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,354233.88,0.36,0.0,0.0,,0.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,353684.78,0.35,0.0,0.0,,0.0
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,352512.25,0.35,0.0,0.0,,0.0
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,346309.03,0.35,0.0,0.0,,0.0
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,351626.67,0.35,0.0,0.0,,0.0
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,353519.63,0.35,0.0,0.0,,0.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,355169.01,0.36,0.0,0.0,,0.0
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,359506.1,0.36,0.0,0.0,,0.0
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,358880.62,0.36,0.0,0.0,,0.0
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,355102.95,0.36,0.0,0.0,,0.0
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,357803.05,0.36,0.0,0.0,,0.0
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,357059.91,0.36,0.0,0.0,,0.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,355722.24,0.36,0.0,0.0,,0.0
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,356560.35,0.36,0.0,0.0,,0.0
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,355435.3,0.36,0.0,0.0,,0.0
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,357284.92,0.36,0.0,0.0,,0.0
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,358690.7,0.36,0.0,0.0,,0.0
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,362045.19,0.36,0.0,0.0,,0.0
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,361898.63,0.36,0.0,0.0,,0.0
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,363353.96,0.36,0.0,0.0,,0.0
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,362691.32,0.36,0.0,0.0,,0.0
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,363587.22,0.36,0.0,0.0,,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,362934.9,0.36,0.0,0.0,,0.0
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,361913.08,0.36,0.0,0.0,,0.0
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,363824.62,0.36,0.0,0.0,,0.0
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,363624.38,0.36,0.0,0.0,,0.0
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,360571.28,0.36,0.0,0.0,,0.0
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,363399.37,0.36,0.0,0.0,,0.0
2021-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,366027.23,0.36,0.0,0.0,,0.0
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,366186.18,0.37,0.0,0.0,,0.0
2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,366861.2,0.37,0.0,0.0,,0.0
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,365284.08,0.37,0.0,0.0,,0.0
2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,366277.01,0.37,0.0,0.0,,0.0
2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,368663.34,0.37,0.0,0.0,,0.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,367899.55,0.37,0.0,0.0,,0.0
2021-09-01,9200.0,163920.08,5.22,0.32,0.16,163920.08,9200.0,9200.0,163920.08,,,,9200.0,,,,,,,,0.16,9200.0,,0.16,,,100.0,44.57,0.0,0.0,0.0,100.0,1.0,100.0,0.4457
2021-09-02,9200.0,163748.96,5.08,0.32,0.16,163748.96,9200.0,9200.0,163748.96,,,,,,,,,,,,,,,0.16,,,100.0,44.57,0.0,0.0,0.0,100.0,1.0,100.0,0.4457
2021-09-03,15200.0,269844.08,8.3,0.52,0.27,269844.08,15200.0,15200.0,269844.08,,6000.0,0.11,,,,6000.0,,,0.11,6000.0,,,,0.27,,,100.0,73.63,0.0,0.0,0.0,100.0,1.0,100.0,0.7363
2021-09-06,20600.0,367567.86,11.25,0.71,0.37,367567.86,20600.0,20600.0,367567.86,,5400.0,0.09,,,,5400.0,,,0.09,5400.0,,,,0.37,,,100.0,99.79,0.0,0.0,0.0,100.0,1.0,100.0,0.9979
2021-09-07,20600.0,365656.18,11.76,0.71,0.37,365656.18,20600.0,20600.0,365656.18,,,,,,,,,,,,,,,0.37,,,100.0,99.79,0.0,0.0,0.0,100.0,1.0,100.0,0.9979
2021-09-08,20600.0,364838.36,12.11,0.71,0.37,364838.36,20600.0,20600.0,364838.36,,,,,,,,,,,,,,,0.37,,,100.0,99.79,0.0,0.0,0.0,100.0,1.0,100.0,0.9979
2021-09-09,20600.0,365553.18,12.12,0.72,0.36,365553.18,20600.0,20600.0,365553.18,,,,,,,,,,,,,,,0.36,,,100.0,99.79,0.0,0.0,0.0,100.0,1.0,100.0,0.9979
2021-09-10,20600.0,363033.8,24.13,0.72,0.37,363033.8,20600.0,20600.0,363033.8,,,,,,,,,,,,,,,0.37,,,100.0,99.79,0.0,0.0,0.0,100.0,1.0,100.0,0.9979
2021-09-13,20600.0,361762.78,21.89,0.72,0.36,361762.78,20600.0,20600.0,361762.78,,,,,,,,,,,,,,,0.36,,,100.0,99.79,0.0,0.0,0.0,100.0,1.0,100.0,0.9979
2021-09-14,20640.0,362023.54,21.95,0.73,0.36,362023.54,20640.0,20640.0,362023.54,,40.0,0.0,,,,40.0,,,0.0,40.0,,,,0.36,,,100.0,99.99,0.0,0.0,0.0,100.0,1.0,100.0,0.9999
2021-09-15,20640.0,361453.87,21.76,0.73,0.36,361453.87,20640.0,20640.0,361453.87,,,,,,,,,,,,,,,0.36,,,100.0,99.99,0.0,0.0,0.0,100.0,1.0,100.0,0.9999
2021-09-16,20640.0,363474.53,21.76,0.73,0.36,363474.53,20640.0,20640.0,363474.53,,,,,,,,,,,,,,,0.36,,,100.0,99.99,0.0,0.0,0.0,100.0,1.0,100.0,0.9999
2021-09-17,20640.0,362962.66,22.86,0.71,0.36,703.42,20640.0,40.0,362962.66,,,,,,,,,,,,,,20600.0,0.36,0.36,,100.0,99.99,0.0,0.0,0.0,100.0,1.0,100.0,0.9999
2021-09-20,40.0,690.7,0.05,0.0,0.0,690.7,0.0,40.0,0.0,,,,,,0.36,,20640.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0019
2021-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,40.0,0.0,0.0,,0.0,0.0,20643.0,358447.12,0.36,0.0,0.0,,0.0
2021-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,360371.04,0.36,0.0,0.0,,0.0
2021-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,364072.33,0.36,0.0,0.0,,0.0
2021-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,363973.25,0.36,0.0,0.0,,0.0
2021-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,364604.92,0.36,0.0,0.0,,0.0
2021-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,357904.21,0.36,0.0,0.0,,0.0
2021-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,360779.78,0.36,0.0,0.0,,0.0
2021-09-30,5400.0,93979.44,1.16,0.19,0.09,0.0,5400.0,0.0,93979.44,,,,,,,,,,,,,5400.0,,0.09,,,100.0,26.16,0.0,0.0,0.0,100.0,1.0,100.0,0.2616
2021-10-01,5400.0,93562.02,1.15,0.19,0.09,0.0,5400.0,0.0,93562.02,,,,,,,,,,,,,,,0.09,,,100.0,26.16,0.0,0.0,0.0,100.0,1.0,100.0,0.2616
2021-10-04,5400.0,92479.32,1.19,0.19,0.09,0.0,5400.0,0.0,92479.32,,,,,,,,,,,,,,,0.09,,,100.0,26.16,0.0,0.0,0.0,100.0,1.0,100.0,0.2616
2021-10-05,5400.0,94170.6,1.16,0.19,0.09,0.0,5400.0,0.0,94170.6,,,,,,,,,,,,,,,0.09,,,11.85,11.85,40167.0,700472.31,0.69,11.85,1.0,100.0,0.1185
2021-10-06,5400.0,93693.78,1.16,0.19,0.09,0.0,5400.0,0.0,93693.78,,,,,,,,,,,,,,,0.09,,,100.0,11.85,0.0,0.0,0.0,100.0,1.0,100.0,0.1185
2021-10-07,5400.0,95964.48,1.15,0.19,0.09,0.0,5400.0,0.0,95964.48,,,,,,,,,,,,,,,0.09,,,100.0,11.85,0.0,0.0,0.0,100.0,1.0,100.0,0.1185
2021-10-08,5400.0,95497.92,1.15,0.19,0.1,0.0,5400.0,0.0,95497.92,,,,,,,,,,,,,,,0.1,,,100.0,11.85,0.0,0.0,0.0,100.0,1.0,100.0,0.1185
2021-10-11,5400.0,95612.4,1.15,0.19,0.1,0.0,5400.0,0.0,95612.4,,,,,,,,,,,,,,,0.1,,,100.0,11.85,0.0,0.0,0.0,100.0,1.0,100.0,0.1185
