,BX4 FP Equity_DX_SI_QTY,BX4 FP Equity_DX_SHORT_INTEREST_VALUE,BX4 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BX4 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BX4 FP Equity_DX_SI_MV,BX4 FP Equity_DX_DSS,BX4 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BX4 FP Equity_DX_SUPPLY_SI_QTY,BX4 FP Equity_DX_BROKER_SI_QTY,BX4 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BX4 FP Equity_DX_BROKER_SI_MV_NEW_x,BX4 FP Equity_DX_SUPPLY_SI_QTY_INC_x,BX4 FP Equity_DX_BROKER_SI_MV_INC_x,BX4 FP Equity_DX_BROKER_SI_QTY_ADD,BX4 FP Equity_DX_BROKER_SI_QTY_NEW,BX4 FP Equity_DX_SUPPLY_SI_MV_DEC,BX4 FP Equity_DX_BROKER_SI_QTY_INC,BX4 FP Equity_DX_SUPPLY_SI_QTY_DEC,BX4 FP Equity_DX_BROKER_SI_MV_NEW_y,BX4 FP Equity_DX_BROKER_SI_MV_INC_y,BX4 FP Equity_DX_SUPPLY_SI_QTY_INC_y,BX4 FP Equity_DX_BROKER_SI_MV_ADD,BX4 FP Equity_DX_SUPPLY_SI_QTY_ADD,BX4 FP Equity_DX_BROKER_SI_QTY_DEC,BX4 FP Equity_DX_SUPPLY_SI_MV,BX4 FP Equity_DX_BROKER_SI_MV_DEC,BX4 FP Equity_DX_BROKER_SI_MV_RMV,BX4 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BX4 FP Equity_DX_UTILIZATION_QUANTITY,BX4 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BX4 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BX4 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BX4 FP Equity_DX_ACTIVE_UTILIZATION_MV,BX4 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BX4 FP Equity_DX_BROKER_SI_CON_RATIO,BX4 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BX4 FP Equity_DX_DEMAND_SUPPLY_RATIO,BX4 FP Equity_PX_LAST
2007-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9
2007-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.57
2007-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.81
2007-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8
2007-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.39
2007-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
2007-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56
2007-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.02
2007-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6
2007-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.85
2007-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.38
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.96
2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.94
2007-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.67
2007-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55
2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.88
2007-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.24
2007-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.97
2007-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55
2007-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4
2007-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.62
2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.02
2007-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.07
2007-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.28
2007-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.77
2007-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.36
2007-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6
2007-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.51
2007-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.36
2007-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.53
2007-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1
2007-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.34
2007-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.35
2007-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41
2007-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
2007-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.77
2007-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.47
2007-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2
2007-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.31
2007-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.95
2007-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.51
2007-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.24
2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.42
2007-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1
2007-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.19
2007-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.61
2007-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
2007-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.75
2007-03-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.99,0.0,,0.0,,0.0,57.69
2007-03-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.99,0.0,,0.0,,0.0,58.2
2007-03-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,56.75
2007-03-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.98,0.0,,0.0,,0.0,56.92
2007-04-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.98,0.0,,0.0,,0.0,56.74
2007-04-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.98,0.0,,0.0,,0.0,55.57
2007-04-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.96,0.0,,0.0,,0.0,55.2
2007-04-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,55.09
2007-04-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,
2007-04-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,
2007-04-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,54.94
2007-04-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,55.14
2007-04-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,54.86
2007-04-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.95,0.0,,0.0,,0.0,54.34
2007-04-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.94,0.0,,0.0,,0.0,53.4
2007-04-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.92,0.0,,0.0,,0.0,53.39
2007-04-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.92,0.0,,0.0,,0.0,53.75
2007-04-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.93,0.0,,0.0,,0.0,53.71
2007-04-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.91,0.0,,0.0,,0.0,52.6
2007-04-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.91,0.0,,0.0,,0.0,52.56
2007-04-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.91,0.0,,0.0,,0.0,52.9
2007-04-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.91,0.0,,0.0,,0.0,52.0
2007-04-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.92,0.0,,0.0,,0.0,52.06
2007-04-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.92,0.0,,0.0,,0.0,52.4
2007-04-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.93,0.0,,0.0,,0.0,51.77
2007-05-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.92,0.0,,0.0,,0.0,
2007-05-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.02,0.0,,0.0,,0.0,51.13
2007-05-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.02,0.0,,0.0,,0.0,50.71
