,ALINS FP Equity_DX_SI_QTY,ALINS FP Equity_DX_SHORT_INTEREST_VALUE,ALINS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINS FP Equity_DX_SI_MV,ALINS FP Equity_DX_DSS,ALINS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINS FP Equity_DX_SUPPLY_SI_QTY,ALINS FP Equity_DX_BROKER_SI_QTY,ALINS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINS FP Equity_DX_BROKER_SI_MV_INC_x,ALINS FP Equity_DX_BROKER_SI_QTY_ADD,ALINS FP Equity_DX_SUPPLY_SI_MV_DEC,ALINS FP Equity_DX_BROKER_SI_QTY_INC,ALINS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINS FP Equity_DX_BROKER_SI_MV_INC_y,ALINS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINS FP Equity_DX_BROKER_SI_MV_ADD,ALINS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINS FP Equity_DX_BROKER_SI_QTY_DEC,ALINS FP Equity_DX_SUPPLY_SI_MV,ALINS FP Equity_DX_BROKER_SI_MV_DEC,ALINS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINS FP Equity_DX_UTILIZATION_QUANTITY,ALINS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALINS FP Equity_DX_BROKER_SI_CON_RATIO,ALINS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALINS FP Equity_PX_LAST
2012-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2012-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2012-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2012-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2012-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73
2012-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74
2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51
2012-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45
2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45
2012-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44
2012-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46
2012-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2012-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2012-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29
2012-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2012-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2012-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2012-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95
2012-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2012-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31
2012-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2012-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2012-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
