,MLALE FP Equity_DX_SI_QTY,MLALE FP Equity_DX_SHORT_INTEREST_VALUE,MLALE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLALE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLALE FP Equity_DX_SI_MV,MLALE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLALE FP Equity_DX_SUPPLY_SI_QTY,MLALE FP Equity_DX_BROKER_SI_QTY,MLALE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLALE FP Equity_DX_SUPPLY_SI_MV,MLALE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLALE FP Equity_DX_UTILIZATION_QUANTITY,MLALE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLALE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLALE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLALE FP Equity_DX_ACTIVE_UTILIZATION_MV,MLALE FP Equity_DX_BROKER_SI_CON_RATIO,MLALE FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.57,0.0,0.0,0.0
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.57,0.0,0.0,0.0
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.58,0.0,0.0,0.0
2025-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,210.0,0.59,0.0,0.0,0.0
