,MLCHE FP Equity_DX_SI_QTY,MLCHE FP Equity_DX_SHORT_INTEREST_VALUE,MLCHE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCHE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCHE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCHE FP Equity_DX_SI_MV,MLCHE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCHE FP Equity_DX_SUPPLY_SI_QTY,MLCHE FP Equity_DX_BROKER_SI_QTY,MLCHE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCHE FP Equity_DX_SUPPLY_SI_MV,MLCHE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCHE FP Equity_DX_UTILIZATION_QUANTITY,MLCHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCHE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCHE FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCHE FP Equity_DX_BROKER_SI_CON_RATIO,MLCHE FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCHE FP Equity_PX_LAST
2007-04-20,,,,,,,,,,,,,,,,,,,,8.7
2007-04-23,,,,,,,,,,,,,,,,,,,,8.89
2007-04-24,,,,,,,,,,,,,,,,,,,,9.77
2007-04-25,,,,,,,,,,,,,,,,,,,,9.8
2007-04-26,,,,,,,,,,,,,,,,,,,,9.8
2007-04-27,,,,,,,,,,,,,,,,,,,,10.78
2007-04-30,,,,,,,,,,,,,,,,,,,,11.44
2007-05-02,,,,,,,,,,,,,,,,,,,,11.15
2007-05-03,,,,,,,,,,,,,,,,,,,,11.1
2007-05-04,,,,,,,,,,,,,,,,,,,,11.3
2007-05-07,,,,,,,,,,,,,,,,,,,,12.0
2007-05-08,,,,,,,,,,,,,,,,,,,,12.05
2007-05-10,,,,,,,,,,,,,,,,,,,,11.5
2007-05-15,,,,,,,,,,,,,,,,,,,,11.8
2007-05-16,,,,,,,,,,,,,,,,,,,,12.0
2007-05-17,,,,,,,,,,,,,,,,,,,,12.0
2007-05-21,,,,,,,,,,,,,,,,,,,,12.0
2007-05-30,,,,,,,,,,,,,,,,,,,,12.1
2007-06-05,,,,,,,,,,,,,,,,,,,,13.25
2007-06-07,,,,,,,,,,,,,,,,,,,,13.2
2007-06-12,,,,,,,,,,,,,,,,,,,,13.0
2007-06-29,,,,,,,,,,,,,,,,,,,,12.0
2007-08-22,,,,,,,,,,,,,,,,,,,,12.0
2007-08-23,,,,,,,,,,,,,,,,,,,,12.0
2007-08-24,,,,,,,,,,,,,,,,,,,,12.0
2007-08-27,,,,,,,,,,,,,,,,,,,,12.0
2007-08-28,,,,,,,,,,,,,,,,,,,,12.0
2007-08-29,,,,,,,,,,,,,,,,,,,,12.0
2007-08-30,,,,,,,,,,,,,,,,,,,,12.0
2007-08-31,,,,,,,,,,,,,,,,,,,,12.0
2007-09-03,,,,,,,,,,,,,,,,,,,,11.98
2007-09-04,,,,,,,,,,,,,,,,,,,,11.97
2007-09-05,,,,,,,,,,,,,,,,,,,,11.75
2007-09-06,,,,,,,,,,,,,,,,,,,,11.9
2007-09-07,,,,,,,,,,,,,,,,,,,,11.9
2007-09-10,,,,,,,,,,,,,,,,,,,,11.96
2007-09-11,,,,,,,,,,,,,,,,,,,,11.95
2007-09-12,,,,,,,,,,,,,,,,,,,,11.95
2007-09-13,,,,,,,,,,,,,,,,,,,,11.94
2007-09-14,,,,,,,,,,,,,,,,,,,,11.94
2007-09-17,,,,,,,,,,,,,,,,,,,,11.94
2007-09-18,,,,,,,,,,,,,,,,,,,,11.94
2007-09-19,,,,,,,,,,,,,,,,,,,,11.94
2007-09-20,,,,,,,,,,,,,,,,,,,,11.5
2007-09-21,,,,,,,,,,,,,,,,,,,,11.4
2007-09-24,,,,,,,,,,,,,,,,,,,,11.41
2007-09-25,,,,,,,,,,,,,,,,,,,,11.4
2007-09-26,,,,,,,,,,,,,,,,,,,,11.41
2007-09-28,,,,,,,,,,,,,,,,,,,,11.41
2007-10-01,,,,,,,,,,,,,,,,,,,,11.41
2007-10-02,,,,,,,,,,,,,,,,,,,,11.0
2007-10-03,,,,,,,,,,,,,,,,,,,,11.0
2007-10-04,,,,,,,,,,,,,,,,,,,,11.0
2007-10-05,,,,,,,,,,,,,,,,,,,,11.01
2007-10-08,,,,,,,,,,,,,,,,,,,,11.01
2007-10-09,,,,,,,,,,,,,,,,,,,,11.01
2007-10-10,,,,,,,,,,,,,,,,,,,,11.0
2007-10-11,,,,,,,,,,,,,,,,,,,,11.0
2007-10-12,,,,,,,,,,,,,,,,,,,,11.0
2007-10-15,,,,,,,,,,,,,,,,,,,,11.0
2007-10-16,,,,,,,,,,,,,,,,,,,,11.0
2007-10-17,,,,,,,,,,,,,,,,,,,,11.0
2007-10-18,,,,,,,,,,,,,,,,,,,,11.01
2007-10-19,,,,,,,,,,,,,,,,,,,,11.41
2007-10-22,,,,,,,,,,,,,,,,,,,,11.39
2007-10-23,,,,,,,,,,,,,,,,,,,,11.39
2007-10-24,,,,,,,,,,,,,,,,,,,,11.39
2007-10-25,,,,,,,,,,,,,,,,,,,,11.2
2007-10-26,,,,,,,,,,,,,,,,,,,,11.4
2007-10-29,,,,,,,,,,,,,,,,,,,,11.39
2007-10-30,,,,,,,,,,,,,,,,,,,,11.39
2007-10-31,,,,,,,,,,,,,,,,,,,,11.39
2007-11-02,,,,,,,,,,,,,,,,,,,,11.39
2007-11-05,,,,,,,,,,,,,,,,,,,,11.4
2007-11-06,,,,,,,,,,,,,,,,,,,,11.39
2007-11-07,,,,,,,,,,,,,,,,,,,,11.39
2007-11-08,,,,,,,,,,,,,,,,,,,,11.4
2007-11-09,,,,,,,,,,,,,,,,,,,,11.39
2007-11-12,,,,,,,,,,,,,,,,,,,,11.39
2007-11-13,,,,,,,,,,,,,,,,,,,,11.4
2007-11-14,,,,,,,,,,,,,,,,,,,,11.39
2007-11-15,,,,,,,,,,,,,,,,,,,,11.39
2007-11-16,,,,,,,,,,,,,,,,,,,,11.39
2007-11-19,,,,,,,,,,,,,,,,,,,,11.39
2007-11-20,,,,,,,,,,,,,,,,,,,,11.39
2007-11-21,,,,,,,,,,,,,,,,,,,,11.39
2007-11-22,,,,,,,,,,,,,,,,,,,,11.39
2007-11-23,,,,,,,,,,,,,,,,,,,,11.39
2007-11-26,,,,,,,,,,,,,,,,,,,,11.39
2007-11-27,,,,,,,,,,,,,,,,,,,,11.39
2007-11-28,,,,,,,,,,,,,,,,,,,,11.39
2007-11-29,,,,,,,,,,,,,,,,,,,,11.39
2007-11-30,,,,,,,,,,,,,,,,,,,,11.39
2007-12-03,,,,,,,,,,,,,,,,,,,,11.39
2007-12-04,,,,,,,,,,,,,,,,,,,,11.3
2007-12-05,,,,,,,,,,,,,,,,,,,,11.31
2007-12-06,,,,,,,,,,,,,,,,,,,,11.45
2007-12-07,,,,,,,,,,,,,,,,,,,,11.45
2007-12-10,,,,,,,,,,,,,,,,,,,,11.45
2007-12-11,,,,,,,,,,,,,,,,,,,,11.45
