,CLOR FP Equity_PX_LAST
2025-07-24,1002.237
2025-07-25,1002.534
2025-07-28,1002.366
2025-07-29,1002.682
2025-07-30,1002.698
2025-07-31,1003.051
2025-08-01,1003.739
2025-08-04,1003.502
2025-08-05,1003.575
2025-08-06,1003.808
2025-08-07,1004.229
2025-08-08,1004.112
2025-08-11,1004.361
2025-08-12,1005.461
2025-08-13,1005.673
2025-08-14,1005.351
2025-08-15,1006.512
2025-08-18,1006.45
2025-08-19,1006.476
2025-08-20,1007.21
2025-08-21,1007.325
2025-08-22,1007.399
2025-08-25,1007.774
2025-08-26,1007.928
2025-08-27,1008.202
2025-08-28,1008.463
2025-08-29,1008.057
