,GSSBD FP Equity_PX_LAST
2022-04-07,8.8857
2022-04-08,8.859
2022-04-11,8.7739
2022-04-12,8.779
2022-04-14,8.7408
2022-04-19,8.6845
2022-04-20,8.7229
2022-04-21,8.7125
2022-04-22,8.651
2022-04-25,8.7208
2022-04-26,8.7358
2022-04-27,8.7038
2022-04-28,8.6559
2022-04-29,8.5838
2022-05-02,8.5547
2022-05-03,8.5778
2022-05-04,8.571
2022-05-05,8.4962
2022-05-06,8.4619
2022-05-09,8.4036
2022-05-10,8.499
2022-05-11,8.5249
2022-05-12,8.6228
2022-05-13,8.5846
2022-05-16,8.5953
2022-05-17,8.5148
2022-05-18,8.5345
2022-05-19,8.5777
2022-05-20,8.5485
2022-05-23,8.4851
2022-05-24,8.5209
2022-05-25,8.5263
2022-05-26,8.5003
2022-05-27,8.5388
2022-05-30,8.4852
2022-05-31,8.4712
2022-06-01,8.3537
2022-06-02,8.3512
2022-06-03,8.3027
2022-06-06,8.2524
2022-06-07,8.2773
2022-06-08,8.2223
2022-06-09,8.1453
2022-06-10,8.0625
2022-06-13,7.9291
2022-06-14,7.8267
2022-06-15,7.932
2022-06-16,7.8892
2022-06-17,7.932
2022-06-20,7.8809
2022-06-21,7.8706
2022-06-22,7.913
2022-06-23,8.0078
2022-06-24,8.067
2022-06-27,7.9994
2022-06-28,7.9443
2022-06-29,8.0049
2022-06-30,8.0805
2022-07-01,8.2212
2022-07-04,8.1348
2022-07-05,8.2188
2022-07-06,8.1602
2022-07-07,8.2161
2022-07-08,8.1794
2022-07-11,8.2418
2022-07-12,8.3349
2022-07-13,8.3375
2022-07-14,8.2848
2022-07-15,8.3458
2022-07-18,8.2918
2022-07-19,8.3032
2022-07-20,8.2991
2022-07-21,8.3222
2022-07-22,8.479
2022-07-25,8.4761
2022-07-26,8.4837
2022-07-27,8.5174
2022-07-28,8.6347
2022-07-29,8.6624
2022-08-01,8.698
2022-08-02,8.6807
2022-08-03,8.6454
2022-08-04,8.6654
2022-08-05,8.5611
2022-08-08,8.5969
2022-08-09,8.5537
2022-08-10,8.6081
2022-08-11,8.5525
2022-08-12,8.5322
2022-08-15,8.6056
2022-08-16,8.5124
2022-08-17,8.4337
2022-08-18,8.425
2022-08-19,8.3059
2022-08-22,8.2346
2022-08-23,8.2285
2022-08-24,8.1913
2022-08-25,8.2313
2022-08-26,8.1599
2022-08-29,8.059
2022-08-30,8.0683
2022-08-31,8.0506
2022-09-01,8.0159
2022-09-02,8.0622
2022-09-05,7.999
2022-09-06,8.0081
2022-09-07,8.0453
2022-09-08,8.0013
2022-09-09,7.9769
2022-09-12,8.0245
2022-09-13,7.9501
2022-09-14,7.98
2022-09-15,7.9633
2022-09-16,7.9434
2022-09-19,7.9288
2022-09-20,7.7941
2022-09-21,7.8735
2022-09-22,7.8061
2022-09-23,7.7672
2022-09-26,7.7144
2022-09-27,7.5857
2022-09-28,7.6393
2022-09-29,7.5753
2022-09-30,7.6476
2022-10-03,7.7903
2022-10-04,7.7978
2022-10-05,7.6684
2022-10-06,7.6314
2022-10-07,7.5454
2022-10-10,7.4598
2022-10-11,7.4604
2022-10-12,7.4103
2022-10-13,7.4609
2022-10-14,7.4139
2022-10-17,7.488
2022-10-18,7.4822
2022-10-19,7.4284
2022-10-20,7.4251
2022-10-21,7.3915
2022-10-24,7.4663
2022-10-25,7.5988
2022-10-26,7.6142
2022-10-27,7.7072
2022-10-28,7.6312
2022-10-31,7.5539
2022-11-01,7.575
2022-11-02,7.5881
2022-11-03,7.5189
2022-11-04,7.5157
2022-11-07,7.4798
2022-11-08,7.5502
2022-11-09,7.6008
2022-11-10,7.7415
2022-11-11,7.6538
2022-11-14,7.6476
2022-11-15,7.7014
2022-11-16,7.754
2022-11-17,7.7407
2022-11-18,7.7715
2022-11-21,7.7903
2022-11-22,7.7998
2022-11-23,7.8592
2022-11-24,7.9143
2022-11-25,7.8335
2022-11-28,7.8535
2022-11-29,7.8775
2022-11-30,7.8423
2022-12-01,7.9164
2022-12-02,7.9619
2022-12-05,7.9536
2022-12-06,7.9218
2022-12-07,7.9841
2022-12-08,7.9803
2022-12-09,7.9262
2022-12-12,7.8981
2022-12-13,7.8913
2022-12-14,7.8662
2022-12-15,7.8569
2022-12-16,7.7166
2022-12-19,7.6891
2022-12-20,7.6171
2022-12-21,7.606
2022-12-22,7.6317
2022-12-23,7.5825
2022-12-27,7.5511
2022-12-28,7.5511
2022-12-29,7.4991
2022-12-30,7.5257
2023-01-02,7.492
2023-01-03,7.4732
2023-01-04,7.4732
2023-01-05,7.6249
2023-01-06,7.6293
2023-01-09,7.668
2023-01-10,7.6561
2023-01-11,7.6561
2023-01-12,7.7431
2023-01-13,7.7532
2023-01-16,7.8236
2023-01-17,7.7225
2023-01-18,7.8725
2023-01-19,7.8725
2023-01-20,7.8081
2023-01-23,7.7381
2023-01-24,7.7226
2023-01-25,7.7729
2023-01-26,7.7517
2023-01-27,7.7003
2023-01-30,7.6693
2023-01-31,7.6839
2023-02-01,7.675
2023-02-02,7.7077
2023-02-03,7.8213
2023-02-06,7.8213
2023-02-07,7.6785
2023-02-08,7.6639
2023-02-09,7.692
2023-02-10,7.6623
2023-02-13,7.6316
2023-02-14,7.6662
2023-02-15,7.6156
2023-02-16,7.5877
2023-02-17,7.5346
2023-02-20,7.6107
2023-02-21,7.5297
2023-02-22,7.528
2023-02-23,7.5278
2023-02-24,7.5949
2023-02-27,7.5223
2023-02-28,7.4364
2023-03-01,7.4075
2023-03-02,7.3851
2023-03-03,7.4094
2023-03-06,7.4094
2023-03-07,7.4328
2023-03-08,7.4224
2023-03-09,7.4379
2023-03-10,7.5564
2023-03-13,7.5958
2023-03-14,7.595
2023-03-15,7.6368
2023-03-16,7.6305
2023-03-17,7.6492
2023-03-20,7.7118
2023-03-21,7.6743
2023-03-22,7.5903
2023-03-23,7.6481
2023-03-24,7.6938
2023-03-27,7.6508
2023-03-28,7.6181
2023-03-29,7.5927
2023-03-30,7.5789
2023-03-31,7.583
2023-04-03,7.6514
2023-04-04,7.6501
2023-04-05,7.7009
2023-04-06,7.698
2023-04-11,7.6639
2023-04-12,7.641
2023-04-13,7.6208
2023-04-14,7.5975
2023-04-17,7.5768
2023-04-18,7.5414
2023-04-19,7.5339
2023-04-20,7.5568
2023-04-21,7.57
2023-04-24,7.5474
2023-04-25,7.5883
2023-04-26,7.5913
2023-04-27,7.5697
2023-04-28,7.6243
2023-05-02,7.6484
2023-05-03,7.6428
2023-05-04,7.6386
2023-05-05,7.6457
2023-05-08,7.6035
2023-05-09,7.6159
2023-05-10,7.5838
2023-05-11,7.6949
2023-05-12,7.6594
2023-05-15,7.6194
2023-05-16,7.5953
2023-05-17,7.6039
2023-05-18,7.5437
2023-05-19,7.5704
2023-05-22,7.5447
