,SMC FP Equity_DX_SI_QTY,SMC FP Equity_DX_SHORT_INTEREST_VALUE,SMC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SMC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SMC FP Equity_DX_SI_MV,SMC FP Equity_DX_DSS,SMC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SMC FP Equity_DX_SUPPLY_SI_QTY,SMC FP Equity_DX_BROKER_SI_QTY,SMC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SMC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SMC FP Equity_DX_SUPPLY_SI_QTY_INC_x,SMC FP Equity_DX_BROKER_SI_MV_INC_x,SMC FP Equity_DX_SUPPLY_SI_MV_NEW,SMC FP Equity_DX_BROKER_SI_QTY_ADD,SMC FP Equity_DX_SUPPLY_SI_MV_DEC,SMC FP Equity_DX_BROKER_SI_QTY_INC,SMC FP Equity_DX_SUPPLY_SI_QTY_DEC,SMC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SMC FP Equity_DX_BROKER_SI_MV_INC_y,SMC FP Equity_DX_SUPPLY_SI_QTY_INC_y,SMC FP Equity_DX_BROKER_SI_MV_ADD,SMC FP Equity_DX_SUPPLY_SI_QTY_ADD,SMC FP Equity_DX_BROKER_SI_QTY_DEC,SMC FP Equity_DX_SUPPLY_SI_MV,SMC FP Equity_DX_BROKER_SI_MV_DEC,SMC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SMC FP Equity_DX_UTILIZATION_QUANTITY,SMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SMC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SMC FP Equity_DX_ACTIVE_UTILIZATION_MV,SMC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SMC FP Equity_DX_BROKER_SI_CON_RATIO,SMC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SMC FP Equity_DX_DEMAND_SUPPLY_RATIO,SMC FP Equity_PX_LAST
2005-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.88
2005-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15
2005-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15
2005-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.85
2005-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.85
2005-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.85
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.25
2005-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7
2005-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.55
2005-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.65
2005-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.65
2005-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05
2005-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2
2005-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8
2005-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.75
2005-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55
2005-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5
2005-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8
2005-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2
2005-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6
2005-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
2005-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2
