,GUARD FP Equity_DX_SI_QTY,GUARD FP Equity_DX_SHORT_INTEREST_VALUE,GUARD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GUARD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GUARD FP Equity_DX_SI_MV,GUARD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GUARD FP Equity_DX_SUPPLY_SI_QTY,GUARD FP Equity_DX_BROKER_SI_QTY,GUARD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GUARD FP Equity_DX_BROKER_SI_QTY_ADD,GUARD FP Equity_DX_SUPPLY_SI_MV_DEC,GUARD FP Equity_DX_SUPPLY_SI_QTY_DEC,GUARD FP Equity_DX_BROKER_SI_MV_ADD,GUARD FP Equity_DX_SUPPLY_SI_QTY_ADD,GUARD FP Equity_DX_BROKER_SI_QTY_DEC,GUARD FP Equity_DX_SUPPLY_SI_MV,GUARD FP Equity_DX_BROKER_SI_MV_DEC,GUARD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GUARD FP Equity_DX_UTILIZATION_QUANTITY,GUARD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GUARD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GUARD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GUARD FP Equity_DX_ACTIVE_UTILIZATION_MV,GUARD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GUARD FP Equity_DX_BROKER_SI_CON_RATIO,GUARD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GUARD FP Equity_DX_DEMAND_SUPPLY_RATIO,GUARD FP Equity_PX_LAST
2025-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64
2025-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76
2025-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.698
2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.708
2025-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.724
2025-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.926
2025-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.856
2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2025-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.764
2025-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.608
2025-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23
2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.316
2025-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.338
2025-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.346
2025-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.434
2025-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.392
2025-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2025-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37
2025-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.514
2025-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.348
2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.424
