,PABW FP Equity_DX_SI_QTY,PABW FP Equity_DX_SHORT_INTEREST_VALUE,PABW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PABW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PABW FP Equity_DX_SI_MV,PABW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PABW FP Equity_DX_SUPPLY_SI_QTY,PABW FP Equity_DX_BROKER_SI_QTY,PABW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PABW FP Equity_DX_BROKER_SI_QTY_ADD,PABW FP Equity_DX_SUPPLY_SI_MV_DEC,PABW FP Equity_DX_SUPPLY_SI_QTY_DEC,PABW FP Equity_DX_BROKER_SI_MV_ADD,PABW FP Equity_DX_SUPPLY_SI_QTY_ADD,PABW FP Equity_DX_BROKER_SI_QTY_DEC,PABW FP Equity_DX_SUPPLY_SI_MV,PABW FP Equity_DX_BROKER_SI_MV_DEC,PABW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PABW FP Equity_DX_UTILIZATION_QUANTITY,PABW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PABW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PABW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PABW FP Equity_DX_ACTIVE_UTILIZATION_MV,PABW FP Equity_DX_BROKER_SI_CON_RATIO,PABW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PABW FP Equity_DX_DEMAND_SUPPLY_RATIO,PABW FP Equity_PX_LAST
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,55.869
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,62.102
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,62.459
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,62.373
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,62.924
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,63.092
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,63.076
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,63.413
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,63.304
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,63.878
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,63.832
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,63.926
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,64.02
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,63.608
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,63.732
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,63.592
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,63.996
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,63.735
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,63.889
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,63.464
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,63.473
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,63.305
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,63.462
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,64.058
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,64.056
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,63.862
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,64.501
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,64.498
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,64.613
2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,64.16
2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,64.523
2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,64.649
2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,65.464
2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,65.541
2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,65.88
2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,66.197
2024-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,66.201
2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,66.443
2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,66.545
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,66.115
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,65.82
2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,66.831
2024-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,66.933
2024-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,67.055
2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,67.503
2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,67.422
2024-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,67.669
2024-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,68.215
2024-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,67.471
2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587
2024-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,67.894
2024-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,68.144
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,67.985
2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,67.379
2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,67.22
2024-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,68.295
