,MLCFM FP Equity_DX_SI_QTY,MLCFM FP Equity_DX_SHORT_INTEREST_VALUE,MLCFM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCFM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCFM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCFM FP Equity_DX_SI_MV,MLCFM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCFM FP Equity_DX_SUPPLY_SI_QTY,MLCFM FP Equity_DX_BROKER_SI_QTY,MLCFM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCFM FP Equity_DX_SUPPLY_SI_MV,MLCFM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCFM FP Equity_DX_UTILIZATION_QUANTITY,MLCFM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCFM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCFM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCFM FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCFM FP Equity_DX_BROKER_SI_CON_RATIO,MLCFM FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCFM FP Equity_PX_LAST
1992-02-11,,,,,,,,,,,,,,,,,,,,144.827
1992-02-20,,,,,,,,,,,,,,,,,,,,146.351
1992-04-14,,,,,,,,,,,,,,,,,,,,143.302
1992-04-24,,,,,,,,,,,,,,,,,,,,144.217
1992-05-11,,,,,,,,,,,,,,,,,,,,144.827
1992-05-12,,,,,,,,,,,,,,,,,,,,144.369
1992-05-19,,,,,,,,,,,,,,,,,,,,144.827
1992-05-20,,,,,,,,,,,,,,,,,,,,144.369
1992-05-22,,,,,,,,,,,,,,,,,,,,144.827
1992-05-29,,,,,,,,,,,,,,,,,,,,144.827
1992-06-01,,,,,,,,,,,,,,,,,,,,145.589
1992-06-04,,,,,,,,,,,,,,,,,,,,144.827
1992-06-11,,,,,,,,,,,,,,,,,,,,144.827
1992-06-12,,,,,,,,,,,,,,,,,,,,144.369
1992-06-25,,,,,,,,,,,,,,,,,,,,144.674
1992-06-26,,,,,,,,,,,,,,,,,,,,144.827
1992-07-02,,,,,,,,,,,,,,,,,,,,144.827
1992-07-15,,,,,,,,,,,,,,,,,,,,144.827
1992-07-24,,,,,,,,,,,,,,,,,,,,145.131
1992-08-18,,,,,,,,,,,,,,,,,,,,145.589
1992-08-27,,,,,,,,,,,,,,,,,,,,145.284
1992-08-31,,,,,,,,,,,,,,,,,,,,144.979
1992-09-04,,,,,,,,,,,,,,,,,,,,147.571
1992-09-07,,,,,,,,,,,,,,,,,,,,147.571
1992-09-08,,,,,,,,,,,,,,,,,,,,145.741
1992-09-15,,,,,,,,,,,,,,,,,,,,144.827
1992-09-21,,,,,,,,,,,,,,,,,,,,144.827
1992-09-29,,,,,,,,,,,,,,,,,,,,145.436
1992-10-02,,,,,,,,,,,,,,,,,,,,143.455
1992-10-13,,,,,,,,,,,,,,,,,,,,147.113
