,MLPSH FP Equity_PX_LAST
2012-05-24,4.0
2012-05-25,4.01
2012-06-04,4.2
2012-06-05,4.21
2012-06-07,4.4
2012-06-08,4.4
2012-06-12,4.4
2012-06-20,4.4
2012-06-22,4.4
2012-06-26,4.4
2012-07-03,4.4
2012-07-06,4.4
2012-07-10,4.4
2012-07-17,4.4
2012-07-24,4.4
2012-07-27,4.4
2012-07-30,4.4
2012-08-14,4.4
2012-08-17,4.4
2012-08-21,4.4
2012-08-24,4.4
2012-08-31,4.4
2012-09-04,4.4
2012-09-07,4.4
2012-09-12,4.4
2012-09-14,4.4
2012-09-18,4.4
2012-09-21,4.4
2012-09-24,4.4
2012-10-05,4.4
2012-10-09,4.4
2012-10-12,4.4
2012-10-16,4.4
2012-10-19,4.4
2012-10-23,4.4
2012-10-26,4.4
2012-10-31,4.4
2012-11-02,4.4
2012-11-06,4.4
2012-11-09,4.4
2012-11-13,4.4
2012-11-19,4.4
2012-11-23,4.4
2012-11-27,4.4
2012-11-29,4.4
2012-12-04,4.4
2012-12-07,4.4
2012-12-12,4.4
2012-12-14,4.4
2012-12-18,4.4
2012-12-20,4.4
2012-12-31,4.4
2013-01-04,4.4
2013-01-08,4.4
2013-01-10,4.4
2013-01-15,4.4
2013-01-18,4.4
2013-01-22,4.4
2013-01-25,4.4
2013-01-29,4.4
2013-02-01,4.4
2013-02-05,4.4
2013-02-08,4.4
2013-02-12,4.4
2013-02-15,4.4
2013-02-19,4.4
2013-02-22,4.4
2013-02-26,4.4
2013-03-01,4.4
2013-03-06,4.4
2013-03-08,4.4
2013-03-12,4.4
2013-03-15,4.4
2013-03-19,4.4
2013-04-03,4.4
2013-04-05,4.4
2013-04-09,4.4
2013-04-12,4.4
2013-04-16,4.4
2013-04-19,4.4
2013-04-23,4.4
2013-04-26,4.4
2013-04-30,4.4
2013-05-03,4.4
2013-05-10,4.4
2013-05-14,4.4
2013-05-17,4.4
2013-05-24,4.4
2013-05-31,4.4
2013-06-04,4.4
2013-06-07,4.4
