,MLIPP FP Equity_PX_LAST
1992-03-27,275.1705
1992-04-10,304.898
1992-05-20,275.1705
1992-05-21,248.4919
1992-05-22,224.405
1992-05-25,202.7572
1992-05-26,183.0913
1992-05-27,165.2547
1992-05-29,182.0241
1992-06-01,200.4705
1992-06-05,219.5266
1992-06-10,198.1837
1992-06-11,197.5739
1992-06-12,178.5178
1992-06-15,161.2911
1992-06-16,145.7413
1992-06-17,160.5288
1992-06-18,175.3164
1992-06-19,182.9388
1992-06-22,165.1023
1992-06-23,149.0951
1992-06-24,134.7649
1992-06-25,122.8739
1992-06-30,134.9174
1992-07-01,148.6378
1992-07-02,163.1204
1992-07-03,163.2729
1992-07-10,179.1276
1992-07-15,179.1276
1992-07-17,197.269
1992-07-20,207.0258
1992-07-21,198.1837
1992-08-03,198.1837
1992-08-11,178.9751
1992-08-12,161.7484
1992-08-13,146.0462
1992-08-14,132.0208
1992-08-17,133.3929
1992-08-19,146.656
1992-08-26,161.596
1992-08-27,175.3164
1992-09-04,158.3945
1992-09-07,143.1496
1992-09-08,129.5817
1992-09-21,117.0808
1992-09-22,111.2878
1992-09-23,100.7688
1992-09-25,110.9829
1992-09-28,122.2641
1992-09-29,128.0572
1992-10-01,141.0153
1992-10-02,137.2041
1992-10-05,137.2041
1992-10-07,137.2041
1992-10-08,137.2041
1992-10-09,150.9245
1992-10-12,158.3945
1992-10-13,150.9245
1992-10-14,150.1623
1992-10-15,165.4072
1992-10-16,149.4
1992-10-21,137.2041
1992-10-23,143.9119
1992-10-26,146.3511
1992-10-27,139.0335
1992-10-29,129.5817
1992-11-05,142.6923
1992-11-06,149.4
1992-11-23,134.9174
1992-11-24,141.93
1992-11-26,144.8266
1992-11-27,151.9917
1992-11-30,152.449
1992-12-07,137.6615
1992-12-10,124.3984
1992-12-11,112.5074
1992-12-14,116.7759
1992-12-15,128.0572
1992-12-16,134.1551
1992-12-18,121.197
1992-12-21,109.6108
1992-12-22,99.0919
1992-12-23,89.64
1992-12-24,89.9449
1992-12-29,90.8596
1992-12-30,100.0066
1992-12-31,110.0682
1993-01-04,115.5564
1993-01-08,115.4039
1993-02-12,104.2751
1993-02-15,94.2135
1993-02-16,99.2443
1993-02-17,89.64
1993-02-19,94.5184
1993-02-26,99.2443
1993-03-02,99.2443
1993-03-03,99.2443
1993-03-04,99.2443
1993-03-05,104.1227
1993-03-08,109.001
1993-03-09,109.001
1993-03-10,114.3368
1993-03-11,114.3368
1993-03-12,124.2459
1993-03-16,114.4892
1993-03-18,118.7578
1993-03-19,118.9102
1993-03-22,118.9102
1993-03-25,118.9102
1993-03-26,114.4892
1993-03-31,109.3059
1993-04-01,109.7633
1993-04-02,114.0319
1993-04-08,114.0319
1993-04-13,109.7633
1993-04-16,114.1843
1993-04-21,109.7633
1993-05-06,98.787
1993-05-07,89.0302
1993-05-10,80.1882
1993-05-11,78.0539
1993-05-18,70.2485
1993-05-19,63.2663
1993-05-24,68.6021
1993-05-25,68.6021
1993-05-26,68.6021
1993-05-27,75.4623
1993-05-28,82.9323
1993-06-01,91.1645
1993-06-02,82.17
1993-06-03,90.2498
1993-06-04,91.0121
1993-06-07,99.8541
1993-06-09,109.7633
1993-06-10,109.7633
1993-06-14,117.3857
1993-06-15,117.3857
1993-06-16,117.3857
1993-06-17,126.5327
1993-06-18,126.5327
1993-06-21,128.0572
1993-06-22,128.0572
1993-06-23,138.7286
1993-06-25,137.2041
1993-06-30,138.7286
1993-07-01,144.8266
1993-07-02,144.8266
1993-07-05,146.3511
1993-07-06,146.3511
1993-07-07,144.8266
1993-07-09,146.3511
1993-07-13,146.3511
1993-07-15,147.8755
1993-07-16,147.8755
1993-07-21,149.4
1993-07-23,149.4
1993-07-28,149.4
1993-07-29,149.4
1993-08-17,134.46
