,IQJP FP Equity_PX_LAST
2017-07-03,25.01
2017-07-04,25.0
2017-07-05,24.97
2017-07-06,24.895
2017-07-07,24.945
2017-07-10,24.85
2017-07-11,24.85
2017-07-12,25.125
2017-07-13,25.135
2017-07-14,25.085
2017-07-17,25.105
2017-07-18,24.965
2017-07-19,25.185
2017-07-20,25.005
2017-07-21,24.94
2017-07-24,24.905
2017-07-25,24.89
2017-07-26,24.87
2017-07-27,24.945
2017-07-28,24.79
2017-07-31,24.81
2017-08-01,25.045
2017-08-02,24.805
2017-08-03,24.785
2017-08-04,25.055
2017-08-07,24.945
2017-08-08,25.025
2017-08-09,24.86
2017-08-10,24.74
2017-08-11,24.52
2017-08-14,24.705
2017-08-15,24.79
2017-08-16,24.825
2017-08-17,24.72
2017-08-18,24.765
2017-08-21,24.595
2017-08-22,24.725
2017-08-23,24.675
2017-08-24,24.54
2017-08-25,24.475
2017-08-28,24.305
2017-08-29,24.18
2017-08-30,24.345
2017-08-31,24.6
2017-09-01,24.605
2017-09-04,24.36
2017-09-05,24.38
2017-09-06,24.445
2017-09-07,24.46
2017-09-08,24.51
2017-09-11,24.73
2017-09-12,24.705
2017-09-13,24.735
2017-09-14,24.795
2017-09-15,24.635
2017-09-18,24.72
2017-09-19,24.79
2017-09-20,24.805
2017-09-21,24.85
2017-09-22,24.79
2017-09-25,25.1
2017-09-26,25.36
2017-09-27,25.39
2017-09-28,25.435
2017-09-29,25.225
2017-10-02,25.37
2017-10-03,25.42
2017-10-04,25.51
2017-10-05,25.61
2017-10-06,25.55
2017-10-09,25.585
2017-10-10,25.64
2017-10-11,25.655
2017-10-12,25.68
2017-10-13,25.885
2017-10-16,26.105
2017-10-17,26.155
2017-10-18,26.13
2017-10-19,25.89
2017-10-20,26.045
2017-10-23,26.31
2017-10-24,26.33
2017-10-25,26.09
2017-10-26,26.545
2017-10-27,26.98
2017-10-30,26.865
2017-10-31,26.925
2017-11-01,27.195
2017-11-02,27.085
2017-11-03,27.26
2017-11-06,27.25
2017-11-07,27.545
2017-11-08,27.735
2017-11-09,27.16
2017-11-10,26.96
2017-11-13,26.83
2017-11-14,26.525
2017-11-15,26.2
2017-11-16,26.635
2017-11-17,26.465
2017-11-20,26.775
2017-11-21,26.925
2017-11-22,26.795
2017-11-23,26.725
2017-11-24,26.655
2017-11-27,26.335
2017-11-28,26.75
2017-11-29,26.855
2017-11-30,26.935
2017-12-01,26.615
2017-12-04,26.72
2017-12-05,26.88
2017-12-06,26.835
2017-12-07,26.99
2017-12-08,27.0
2017-12-11,27.04
2017-12-12,27.32
2017-12-13,27.285
2017-12-14,27.205
2017-12-15,27.13
2017-12-18,27.3
2017-12-19,27.02
2017-12-20,26.975
2017-12-21,27.06
2017-12-22,27.13
2017-12-27,27.04
2017-12-28,26.855
2017-12-29,26.77
2018-01-02,26.78
2018-01-03,27.165
2018-01-04,27.38
2018-01-05,27.475
2018-01-08,27.815
2018-01-09,27.925
2018-01-10,28.025
2018-01-11,27.835
2018-01-12,27.785
2018-01-15,27.52
2018-01-16,27.625
2018-01-17,27.7
2018-01-18,27.435
2018-01-19,27.58
2018-01-22,27.62
2018-01-23,27.805
2018-01-24,27.58
2018-01-25,27.32
2018-01-26,27.595
2018-01-29,27.57
2018-01-30,27.15
2018-01-31,26.85
2018-02-01,26.9
2018-02-02,26.775
2018-02-05,26.24
2018-02-06,25.755
2018-02-07,26.415
2018-02-08,25.85
2018-02-09,25.605
2018-02-12,25.935
2018-02-13,25.455
2018-02-14,25.37
2018-02-15,25.545
2018-02-16,26.16
2018-02-19,26.235
2018-02-20,26.355
2018-02-21,26.27
2018-02-22,26.19
2018-02-23,26.41
2018-02-26,26.685
2018-02-27,26.73
2018-02-28,26.515
2018-03-01,25.955
2018-03-02,25.285
2018-03-05,25.685
2018-03-06,25.685
2018-03-07,25.515
2018-03-08,25.785
2018-03-09,25.765
2018-03-12,25.945
2018-03-13,25.73
2018-03-14,25.775
2018-03-15,26.015
2018-03-16,25.935
2018-03-19,25.59
2018-03-20,25.93
2018-03-21,25.97
2018-03-22,25.69
2018-03-23,25.19
2018-03-26,24.89
2018-03-27,25.615
2018-03-28,25.49
2018-03-29,26.285
2018-04-03,25.825
2018-04-04,25.89
2018-04-05,26.39
2018-04-06,25.95
2018-04-09,26.12
2018-04-10,26.14
2018-04-11,25.99
2018-04-12,25.975
2018-04-13,25.93
2018-04-16,25.925
2018-04-17,26.065
2018-04-18,26.165
2018-04-19,26.15
2018-04-20,26.285
2018-04-23,26.365
2018-04-24,26.415
2018-04-25,26.45
2018-04-26,26.78
2018-04-27,26.84
2018-04-30,26.98
2018-05-02,26.865
2018-05-03,26.72
2018-05-04,27.105
2018-05-07,27.19
2018-05-08,27.305
2018-05-09,27.06
2018-05-10,27.24
2018-05-11,27.255
2018-05-14,27.305
2018-05-15,27.37
2018-05-16,27.56
2018-05-17,27.585
2018-05-18,27.565
2018-05-21,27.54
2018-05-22,27.445
2018-05-23,27.475
2018-05-24,27.155
2018-05-25,27.385
2018-05-28,27.475
2018-05-29,27.465
2018-05-30,27.27
2018-05-31,27.09
2018-06-01,27.32
2018-06-04,27.565
2018-06-05,27.495
2018-06-06,27.5
2018-06-07,27.395
2018-06-08,27.515
2018-06-11,27.565
2018-06-12,27.465
2018-06-13,27.555
2018-06-14,27.83
2018-06-15,27.605
2018-06-18,27.515
2018-06-19,27.27
2018-06-20,27.305
2018-06-21,27.095
2018-06-22,27.195
2018-06-25,26.67
2018-06-26,26.865
2018-06-27,27.005
2018-06-28,26.925
2018-06-29,26.71
2018-07-02,26.3
2018-07-03,26.28
2018-07-04,26.32
2018-07-05,26.175
2018-07-06,26.185
2018-07-09,26.385
2018-07-10,26.385
2018-07-11,26.12
2018-07-12,26.125
2018-07-13,26.395
2018-07-16,26.325
2018-07-17,26.635
2018-07-18,26.83
2018-07-19,26.765
2018-07-20,26.64
2018-07-23,26.77
2018-07-24,26.955
2018-07-25,26.995
2018-07-26,27.365
2018-07-27,27.49
2018-07-30,27.16
2018-07-31,26.97
2018-08-01,27.125
2018-08-02,27.08
2018-08-03,27.005
2018-08-06,27.0
2018-08-07,27.24
2018-08-08,27.245
2018-08-09,27.2
2018-08-10,27.23
2018-08-13,27.01
2018-08-14,27.265
2018-08-15,27.03
2018-08-16,27.015
2018-08-17,27.0
2018-08-20,27.03
2018-08-21,26.75
2018-08-22,26.83
2018-08-23,26.65
2018-08-24,26.61
2018-08-27,26.825
2018-08-28,26.76
2018-08-29,26.86
2018-08-30,26.785
2018-08-31,26.84
2018-09-03,26.75
2018-09-04,26.545
2018-09-05,26.14
2018-09-06,26.105
2018-09-07,26.295
2018-09-10,26.285
2018-09-11,26.31
2018-09-12,26.32
2018-09-13,26.465
2018-09-14,26.805
2018-09-17,26.775
2018-09-18,27.405
2018-09-19,27.585
2018-09-20,27.38
2018-09-21,27.49
2018-09-24,27.33
2018-09-25,27.735
2018-09-26,27.83
2018-09-27,27.97
2018-09-28,28.015
2018-10-01,28.265
2018-10-02,28.21
2018-10-03,28.01
2018-10-04,27.62
2018-10-05,27.615
2018-10-08,27.67
2018-10-09,27.655
2018-10-10,27.165
2018-10-11,26.565
2018-10-12,26.315
2018-10-15,26.36
2018-10-16,26.83
2018-10-17,26.875
2018-10-18,26.785
2018-10-19,26.78
2018-10-22,26.645
2018-10-23,26.05
2018-10-24,26.11
2018-10-25,26.22
2018-10-26,25.905
2018-10-29,25.93
2018-10-30,25.87
2018-10-31,26.365
2018-11-01,25.795
2018-11-02,25.905
2018-11-05,25.87
2018-11-06,26.1
2018-11-07,26.2
2018-11-08,26.295
2018-11-09,26.265
2018-11-12,26.215
2018-11-13,26.175
2018-11-14,26.085
2018-11-15,26.13
2018-11-16,26.12
2018-11-19,25.985
2018-11-20,25.86
2018-11-21,26.155
2018-11-22,25.985
2018-11-23,26.26
2018-11-26,26.49
2018-11-27,26.625
2018-11-28,26.595
2018-11-29,26.48
2018-11-30,26.655
2018-12-03,26.945
2018-12-04,26.48
2018-12-05,26.305
2018-12-06,25.605
2018-12-07,25.85
2018-12-10,25.48
2018-12-11,25.825
2018-12-12,26.12
2018-12-13,25.97
2018-12-14,25.945
2018-12-17,25.685
2018-12-18,25.6
2018-12-19,25.55
2018-12-20,24.925
2018-12-21,24.44
2018-12-24,23.92
2018-12-27,24.34
2018-12-28,24.795
2018-12-31,24.93
2019-01-02,25.0
2019-01-03,24.86
2019-01-04,25.685
2019-01-07,25.715
2019-01-08,25.775
2019-01-09,25.69
2019-01-10,25.96
2019-01-11,25.85
2019-01-14,25.795
2019-01-15,26.23
2019-01-16,26.405
2019-01-17,26.25
2019-01-18,26.705
2019-01-21,26.585
2019-01-22,26.425
2019-01-23,26.17
2019-01-24,26.45
2019-01-25,26.605
2019-01-28,26.235
2019-01-29,26.41
2019-01-30,26.44
2019-01-31,26.535
2019-02-01,26.375
2019-02-04,26.47
2019-02-05,26.66
2019-02-06,26.495
2019-02-07,26.125
2019-02-08,25.835
2019-02-11,26.115
2019-02-12,26.4
2019-02-13,26.495
2019-02-14,26.43
2019-02-15,26.795
2019-02-18,26.685
2019-02-19,26.74
2019-02-20,26.835
2019-02-21,26.735
2019-02-22,26.825
2019-02-25,26.955
2019-02-26,26.96
2019-02-27,26.86
2019-02-28,26.62
2019-03-01,26.465
2019-03-04,26.575
2019-03-05,26.655
2019-03-06,26.475
2019-03-07,26.39
2019-03-08,26.165
2019-03-11,26.605
2019-03-12,26.605
2019-03-13,26.59
2019-03-14,26.33
2019-03-15,26.58
2019-03-18,26.6
2019-03-19,26.695
2019-03-20,26.48
2019-03-21,26.675
2019-03-22,26.73
2019-03-25,26.585
2019-03-26,27.07
2019-03-27,26.89
2019-03-28,27.065
2019-03-29,27.06
2019-04-01,27.38
2019-04-02,27.295
2019-04-03,27.355
2019-04-04,27.28
2019-04-05,27.35
2019-04-08,27.125
2019-04-09,26.98
2019-04-10,26.975
2019-04-11,26.93
2019-04-12,26.93
2019-04-15,26.95
2019-04-16,27.15
2019-04-17,27.115
2019-04-18,27.32
2019-04-23,27.365
2019-04-24,27.055
2019-04-25,27.255
2019-04-26,27.34
2019-04-29,27.435
2019-04-30,27.325
2019-05-02,27.215
2019-05-03,27.49
2019-05-06,27.22
2019-05-07,26.98
2019-05-08,26.65
2019-05-09,26.1
2019-05-10,26.155
2019-05-13,26.04
2019-05-14,26.43
2019-05-15,26.43
2019-05-16,26.77
2019-05-17,26.69
2019-05-20,26.495
2019-05-21,26.6
2019-05-22,26.505
2019-05-23,26.295
2019-05-24,26.51
2019-05-27,26.635
2019-05-28,26.475
2019-05-29,26.405
2019-05-30,26.505
2019-05-31,26.22
2019-06-03,26.24
2019-06-04,26.37
2019-06-05,26.48
2019-06-06,26.45
2019-06-07,26.59
2019-06-10,26.83
2019-06-11,26.835
2019-06-12,26.69
2019-06-13,26.655
2019-06-14,26.755
2019-06-17,26.795
2019-06-18,27.055
2019-06-19,27.07
2019-06-20,27.13
2019-06-21,26.955
2019-06-24,26.745
2019-06-25,26.775
2019-06-26,26.63
2019-06-27,26.815
2019-06-28,26.885
2019-07-01,27.355
2019-07-02,27.475
2019-07-03,27.64
2019-07-04,27.705
2019-07-05,27.615
2019-07-08,27.57
2019-07-09,27.32
2019-07-10,27.415
2019-07-11,27.43
2019-07-12,27.445
2019-07-15,27.51
2019-07-16,27.51
2019-07-17,27.44
2019-07-18,27.09
2019-07-19,27.495
2019-07-22,27.48
2019-07-23,27.845
2019-07-24,27.825
2019-07-25,27.62
2019-07-26,27.69
2019-07-29,27.56
2019-07-30,27.365
2019-07-31,27.485
2019-08-01,27.745
2019-08-02,27.035
2019-08-05,26.425
2019-08-06,26.38
2019-08-07,26.51
2019-08-08,26.86
2019-08-09,26.6
2019-08-12,26.475
2019-08-13,26.7
2019-08-14,26.325
