,ALDBL FP Equity_DX_SI_QTY,ALDBL FP Equity_DX_SHORT_INTEREST_VALUE,ALDBL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDBL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDBL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDBL FP Equity_DX_SI_MV,ALDBL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDBL FP Equity_DX_SUPPLY_SI_QTY,ALDBL FP Equity_DX_BROKER_SI_QTY,ALDBL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDBL FP Equity_DX_SUPPLY_SI_MV,ALDBL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDBL FP Equity_DX_UTILIZATION_QUANTITY,ALDBL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDBL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDBL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDBL FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDBL FP Equity_DX_BROKER_SI_CON_RATIO,ALDBL FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,9981.69,0.01,0.0,0.0,0.0
2007-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,10133.7,0.01,0.0,0.0,0.0
2007-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,15763.53,0.02,0.0,0.0,0.0
2007-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995.0,16861.35,0.02,0.0,0.0,0.0
2007-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,21393.36,0.02,0.0,0.0,0.0
2007-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,21357.7,0.02,0.0,0.0,0.0
2007-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,21357.7,0.02,0.0,0.0,0.0
2007-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,21357.7,0.02,0.0,0.0,0.0
2007-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,20894.18,0.02,0.0,0.0,0.0
2007-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,21250.74,0.02,0.0,0.0,0.0
