,ALOSM FP Equity_DX_SI_QTY,ALOSM FP Equity_DX_SHORT_INTEREST_VALUE,ALOSM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOSM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOSM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOSM FP Equity_DX_SI_MV,ALOSM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOSM FP Equity_DX_SUPPLY_SI_QTY,ALOSM FP Equity_DX_BROKER_SI_QTY,ALOSM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOSM FP Equity_DX_SUPPLY_SI_MV,ALOSM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOSM FP Equity_DX_UTILIZATION_QUANTITY,ALOSM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOSM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOSM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOSM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOSM FP Equity_DX_BROKER_SI_CON_RATIO,ALOSM FP Equity_DX_DEMAND_SUPPLY_RATIO,ALOSM FP Equity_PX_LAST
2017-02-07,,,,,,,,,,,,,,,,,,,,10.5
2017-02-08,,,,,,,,,,,,,,,,,,,,10.62
2017-02-09,,,,,,,,,,,,,,,,,,,,10.99
2017-02-10,,,,,,,,,,,,,,,,,,,,11.5
2017-02-13,,,,,,,,,,,,,,,,,,,,11.95
2017-02-14,,,,,,,,,,,,,,,,,,,,11.98
2017-02-15,,,,,,,,,,,,,,,,,,,,12.05
2017-02-16,,,,,,,,,,,,,,,,,,,,11.71
2017-02-17,,,,,,,,,,,,,,,,,,,,11.2
2017-02-20,,,,,,,,,,,,,,,,,,,,10.86
2017-02-21,,,,,,,,,,,,,,,,,,,,11.71
2017-02-22,,,,,,,,,,,,,,,,,,,,12.1
2017-02-23,,,,,,,,,,,,,,,,,,,,12.29
2017-02-24,,,,,,,,,,,,,,,,,,,,12.01
2017-02-27,,,,,,,,,,,,,,,,,,,,12.3
2017-02-28,,,,,,,,,,,,,,,,,,,,12.5
2017-03-01,,,,,,,,,,,,,,,,,,,,12.29
2017-03-02,,,,,,,,,,,,,,,,,,,,12.15
2017-03-03,,,,,,,,,,,,,,,,,,,,12.06
2017-03-06,,,,,,,,,,,,,,,,,,,,11.9
2017-03-07,,,,,,,,,,,,,,,,,,,,11.9
2017-03-08,,,,,,,,,,,,,,,,,,,,11.85
2017-03-09,,,,,,,,,,,,,,,,,,,,11.85
2017-03-10,,,,,,,,,,,,,,,,,,,,11.81
2017-03-13,,,,,,,,,,,,,,,,,,,,11.8
2017-03-14,,,,,,,,,,,,,,,,,,,,11.8
2017-03-15,,,,,,,,,,,,,,,,,,,,11.8
2017-03-16,,,,,,,,,,,,,,,,,,,,11.94
2017-03-17,,,,,,,,,,,,,,,,,,,,12.0
2017-03-20,,,,,,,,,,,,,,,,,,,,11.92
2017-03-21,,,,,,,,,,,,,,,,,,,,11.8
2017-03-22,,,,,,,,,,,,,,,,,,,,11.8
2017-03-23,,,,,,,,,,,,,,,,,,,,11.78
2017-03-24,,,,,,,,,,,,,,,,,,,,11.78
2017-03-27,,,,,,,,,,,,,,,,,,,,12.09
2017-03-28,,,,,,,,,,,,,,,,,,,,12.08
2017-03-29,,,,,,,,,,,,,,,,,,,,12.0
2017-03-30,,,,,,,,,,,,,,,,,,,,12.14
2017-03-31,,,,,,,,,,,,,,,,,,,,12.0
2017-04-03,,,,,,,,,,,,,,,,,,,,12.14
2017-04-04,,,,,,,,,,,,,,,,,,,,12.14
2017-04-05,,,,,,,,,,,,,,,,,,,,12.21
2017-04-06,,,,,,,,,,,,,,,,,,,,12.3
2017-04-07,,,,,,,,,,,,,,,,,,,,12.4
2017-04-10,,,,,,,,,,,,,,,,,,,,12.41
2017-04-11,,,,,,,,,,,,,,,,,,,,12.59
2017-04-12,,,,,,,,,,,,,,,,,,,,12.6
2017-04-13,,,,,,,,,,,,,,,,,,,,12.65
2017-04-18,,,,,,,,,,,,,,,,,,,,12.71
2017-04-19,,,,,,,,,,,,,,,,,,,,12.5
2017-04-20,,,,,,,,,,,,,,,,,,,,12.36
2017-04-21,,,,,,,,,,,,,,,,,,,,12.32
2017-04-24,,,,,,,,,,,,,,,,,,,,12.34
2017-04-25,,,,,,,,,,,,,,,,,,,,12.33
2017-04-26,,,,,,,,,,,,,,,,,,,,12.3
2017-04-27,,,,,,,,,,,,,,,,,,,,12.18
2017-04-28,,,,,,,,,,,,,,,,,,,,12.1
2017-05-02,,,,,,,,,,,,,,,,,,,,12.24
2017-05-03,,,,,,,,,,,,,,,,,,,,12.18
2017-05-04,,,,,,,,,,,,,,,,,,,,12.05
2017-05-05,,,,,,,,,,,,,,,,,,,,12.0
2017-05-08,,,,,,,,,,,,,,,,,,,,12.06
2017-05-09,,,,,,,,,,,,,,,,,,,,12.0
2017-05-10,,,,,,,,,,,,,,,,,,,,12.05
2017-05-11,,,,,,,,,,,,,,,,,,,,12.4
2017-05-12,,,,,,,,,,,,,,,,,,,,12.25
2017-05-15,,,,,,,,,,,,,,,,,,,,12.29
2017-05-16,,,,,,,,,,,,,,,,,,,,12.4
2017-05-17,,,,,,,,,,,,,,,,,,,,12.1
2017-05-18,,,,,,,,,,,,,,,,,,,,12.15
2017-05-19,,,,,,,,,,,,,,,,,,,,12.29
2017-05-22,,,,,,,,,,,,,,,,,,,,12.3
2017-05-23,,,,,,,,,,,,,,,,,,,,12.5
2017-05-24,,,,,,,,,,,,,,,,,,,,12.49
2017-05-25,,,,,,,,,,,,,,,,,,,,12.49
2017-05-26,,,,,,,,,,,,,,,,,,,,12.3
2017-05-29,,,,,,,,,,,,,,,,,,,,12.17
2017-05-30,,,,,,,,,,,,,,,,,,,,12.17
2017-05-31,,,,,,,,,,,,,,,,,,,,12.0
2017-06-01,,,,,,,,,,,,,,,,,,,,11.8
2017-06-02,,,,,,,,,,,,,,,,,,,,12.0
2017-06-05,,,,,,,,,,,,,,,,,,,,12.03
2017-06-06,,,,,,,,,,,,,,,,,,,,12.0
2017-06-07,,,,,,,,,,,,,,,,,,,,12.11
2017-06-08,,,,,,,,,,,,,,,,,,,,12.0
2017-06-09,,,,,,,,,,,,,,,,,,,,12.0
2017-06-12,,,,,,,,,,,,,,,,,,,,12.0
2017-06-13,,,,,,,,,,,,,,,,,,,,12.0
2017-06-14,,,,,,,,,,,,,,,,,,,,12.0
2017-06-15,,,,,,,,,,,,,,,,,,,,12.0
2017-06-16,,,,,,,,,,,,,,,,,,,,12.01
2017-06-19,,,,,,,,,,,,,,,,,,,,11.9
2017-06-20,,,,,,,,,,,,,,,,,,,,11.85
2017-06-21,,,,,,,,,,,,,,,,,,,,11.94
2017-06-22,,,,,,,,,,,,,,,,,,,,11.93
2017-06-23,,,,,,,,,,,,,,,,,,,,11.94
2017-06-26,,,,,,,,,,,,,,,,,,,,11.99
2017-06-27,,,,,,,,,,,,,,,,,,,,11.86
2017-06-28,,,,,,,,,,,,,,,,,,,,11.85
2017-06-29,,,,,,,,,,,,,,,,,,,,11.63
2017-06-30,,,,,,,,,,,,,,,,,,,,11.67
2017-07-03,,,,,,,,,,,,,,,,,,,,11.42
2017-07-04,,,,,,,,,,,,,,,,,,,,11.27
2017-07-05,,,,,,,,,,,,,,,,,,,,11.22
2017-07-06,,,,,,,,,,,,,,,,,,,,11.17
2017-07-07,,,,,,,,,,,,,,,,,,,,11.2
2017-07-10,,,,,,,,,,,,,,,,,,,,10.92
2017-07-11,,,,,,,,,,,,,,,,,,,,10.84
2017-07-12,,,,,,,,,,,,,,,,,,,,10.8
2017-07-13,,,,,,,,,,,,,,,,,,,,10.7
2017-07-14,,,,,,,,,,,,,,,,,,,,10.81
2017-07-17,,,,,,,,,,,,,,,,,,,,10.94
2017-07-18,,,,,,,,,,,,,,,,,,,,10.85
2017-07-19,,,,,,,,,,,,,,,,,,,,10.9
2017-07-20,,,,,,,,,,,,,,,,,,,,10.8
2017-07-21,,,,,,,,,,,,,,,,,,,,10.8
2017-07-24,,,,,,,,,,,,,,,,,,,,10.84
2017-07-25,,,,,,,,,,,,,,,,,,,,10.8
2017-07-26,,,,,,,,,,,,,,,,,,,,10.81
2017-07-27,,,,,,,,,,,,,,,,,,,,10.8
2017-07-28,,,,,,,,,,,,,,,,,,,,10.8
2017-07-31,,,,,,,,,,,,,,,,,,,,10.89
2017-08-01,,,,,,,,,,,,,,,,,,,,10.85
2017-08-02,,,,,,,,,,,,,,,,,,,,10.86
2017-08-03,,,,,,,,,,,,,,,,,,,,10.8
2017-08-04,,,,,,,,,,,,,,,,,,,,10.83
2017-08-07,,,,,,,,,,,,,,,,,,,,10.89
2017-08-08,,,,,,,,,,,,,,,,,,,,10.88
2017-08-09,,,,,,,,,,,,,,,,,,,,10.8
2017-08-10,,,,,,,,,,,,,,,,,,,,10.81
2017-08-11,,,,,,,,,,,,,,,,,,,,10.83
2017-08-14,,,,,,,,,,,,,,,,,,,,10.83
2017-08-15,,,,,,,,,,,,,,,,,,,,10.9
2017-08-16,,,,,,,,,,,,,,,,,,,,10.88
2017-08-17,,,,,,,,,,,,,,,,,,,,10.89
2017-08-18,,,,,,,,,,,,,,,,,,,,10.95
2017-08-21,,,,,,,,,,,,,,,,,,,,10.94
2017-08-22,,,,,,,,,,,,,,,,,,,,10.93
2017-08-23,,,,,,,,,,,,,,,,,,,,10.94
2017-08-24,,,,,,,,,,,,,,,,,,,,10.94
2017-08-25,,,,,,,,,,,,,,,,,,,,10.94
2017-08-28,,,,,,,,,,,,,,,,,,,,10.91
2017-08-29,,,,,,,,,,,,,,,,,,,,10.95
2017-08-30,,,,,,,,,,,,,,,,,,,,10.93
2017-08-31,,,,,,,,,,,,,,,,,,,,10.8
2017-09-01,,,,,,,,,,,,,,,,,,,,10.8
2017-09-04,,,,,,,,,,,,,,,,,,,,10.71
2017-09-05,,,,,,,,,,,,,,,,,,,,10.62
2017-09-06,,,,,,,,,,,,,,,,,,,,10.49
2017-09-07,,,,,,,,,,,,,,,,,,,,10.45
2017-09-08,,,,,,,,,,,,,,,,,,,,10.45
2017-09-11,,,,,,,,,,,,,,,,,,,,10.45
2017-09-12,,,,,,,,,,,,,,,,,,,,10.3
2017-09-13,,,,,,,,,,,,,,,,,,,,10.1
2017-09-14,,,,,,,,,,,,,,,,,,,,10.2
2017-09-15,,,,,,,,,,,,,,,,,,,,10.29
2017-09-18,,,,,,,,,,,,,,,,,,,,10.29
2017-09-19,,,,,,,,,,,,,,,,,,,,10.2
2017-09-20,,,,,,,,,,,,,,,,,,,,10.25
2017-09-21,,,,,,,,,,,,,,,,,,,,10.73
2017-09-22,,,,,,,,,,,,,,,,,,,,10.75
2017-09-25,,,,,,,,,,,,,,,,,,,,10.52
2017-09-26,,,,,,,,,,,,,,,,,,,,10.2
2017-09-27,,,,,,,,,,,,,,,,,,,,10.04
2017-09-28,,,,,,,,,,,,,,,,,,,,10.06
2017-09-29,,,,,,,,,,,,,,,,,,,,10.09
2017-10-02,,,,,,,,,,,,,,,,,,,,9.69
2017-10-03,,,,,,,,,,,,,,,,,,,,9.21
2017-10-04,,,,,,,,,,,,,,,,,,,,9.06
2017-10-05,,,,,,,,,,,,,,,,,,,,9.1
2017-10-06,,,,,,,,,,,,,,,,,,,,8.97
2017-10-09,,,,,,,,,,,,,,,,,,,,9.0
2017-10-10,,,,,,,,,,,,,,,,,,,,8.95
2017-10-11,,,,,,,,,,,,,,,,,,,,8.9
2017-10-12,,,,,,,,,,,,,,,,,,,,8.88
2017-10-13,,,,,,,,,,,,,,,,,,,,8.9
2017-10-16,,,,,,,,,,,,,,,,,,,,8.94
2017-10-17,,,,,,,,,,,,,,,,,,,,8.98
2017-10-18,,,,,,,,,,,,,,,,,,,,9.02
2017-10-19,,,,,,,,,,,,,,,,,,,,9.05
2017-10-20,,,,,,,,,,,,,,,,,,,,9.2
2017-10-23,,,,,,,,,,,,,,,,,,,,9.21
2017-10-24,,,,,,,,,,,,,,,,,,,,9.21
2017-10-25,,,,,,,,,,,,,,,,,,,,9.21
2017-10-26,,,,,,,,,,,,,,,,,,,,9.19
2017-10-27,,,,,,,,,,,,,,,,,,,,9.25
2017-10-30,,,,,,,,,,,,,,,,,,,,9.2
2017-10-31,,,,,,,,,,,,,,,,,,,,9.26
2017-11-01,,,,,,,,,,,,,,,,,,,,9.29
2017-11-02,,,,,,,,,,,,,,,,,,,,9.25
2017-11-03,,,,,,,,,,,,,,,,,,,,9.25
2017-11-06,,,,,,,,,,,,,,,,,,,,9.2
2017-11-07,,,,,,,,,,,,,,,,,,,,9.17
2017-11-08,,,,,,,,,,,,,,,,,,,,9.2
2017-11-09,,,,,,,,,,,,,,,,,,,,9.15
2017-11-10,,,,,,,,,,,,,,,,,,,,9.15
2017-11-13,,,,,,,,,,,,,,,,,,,,9.1
2017-11-14,,,,,,,,,,,,,,,,,,,,9.02
2017-11-15,,,,,,,,,,,,,,,,,,,,9.0
2017-11-16,,,,,,,,,,,,,,,,,,,,8.95
2017-11-17,,,,,,,,,,,,,,,,,,,,9.01
2017-11-20,,,,,,,,,,,,,,,,,,,,8.95
2017-11-21,,,,,,,,,,,,,,,,,,,,8.85
2017-11-22,,,,,,,,,,,,,,,,,,,,8.8
2017-11-23,,,,,,,,,,,,,,,,,,,,8.76
2017-11-24,,,,,,,,,,,,,,,,,,,,8.8
2017-11-27,,,,,,,,,,,,,,,,,,,,8.7
2017-11-28,,,,,,,,,,,,,,,,,,,,8.7
2017-11-29,,,,,,,,,,,,,,,,,,,,8.69
2017-11-30,,,,,,,,,,,,,,,,,,,,8.63
2017-12-01,,,,,,,,,,,,,,,,,,,,8.65
2017-12-04,,,,,,,,,,,,,,,,,,,,8.7
2017-12-05,,,,,,,,,,,,,,,,,,,,8.7
2017-12-06,,,,,,,,,,,,,,,,,,,,8.69
2017-12-07,,,,,,,,,,,,,,,,,,,,8.58
2017-12-08,,,,,,,,,,,,,,,,,,,,8.51
2017-12-11,,,,,,,,,,,,,,,,,,,,8.51
2017-12-12,,,,,,,,,,,,,,,,,,,,8.51
2017-12-13,,,,,,,,,,,,,,,,,,,,8.57
2017-12-14,,,,,,,,,,,,,,,,,,,,8.53
2017-12-15,,,,,,,,,,,,,,,,,,,,8.5
2017-12-18,,,,,,,,,,,,,,,,,,,,8.44
2017-12-19,,,,,,,,,,,,,,,,,,,,8.46
2017-12-20,,,,,,,,,,,,,,,,,,,,8.46
2017-12-21,,,,,,,,,,,,,,,,,,,,7.92
2017-12-22,,,,,,,,,,,,,,,,,,,,7.81
2017-12-27,,,,,,,,,,,,,,,,,,,,7.59
2017-12-28,,,,,,,,,,,,,,,,,,,,7.44
2017-12-29,,,,,,,,,,,,,,,,,,,,7.49
2018-01-02,,,,,,,,,,,,,,,,,,,,7.5
2018-01-03,,,,,,,,,,,,,,,,,,,,8.04
2018-01-04,,,,,,,,,,,,,,,,,,,,8.02
2018-01-05,,,,,,,,,,,,,,,,,,,,8.0
2018-01-08,,,,,,,,,,,,,,,,,,,,8.04
2018-01-09,,,,,,,,,,,,,,,,,,,,8.0
2018-01-10,,,,,,,,,,,,,,,,,,,,8.28
2018-01-11,,,,,,,,,,,,,,,,,,,,8.76
2018-01-12,,,,,,,,,,,,,,,,,,,,8.92
2018-01-15,,,,,,,,,,,,,,,,,,,,9.02
2018-01-16,,,,,,,,,,,,,,,,,,,,9.0
2018-01-17,,,,,,,,,,,,,,,,,,,,8.96
2018-01-18,,,,,,,,,,,,,,,,,,,,8.92
2018-01-19,,,,,,,,,,,,,,,,,,,,8.8
2018-01-22,,,,,,,,,,,,,,,,,,,,8.88
2018-01-23,,,,,,,,,,,,,,,,,,,,9.0
2018-01-24,,,,,,,,,,,,,,,,,,,,9.06
2018-01-25,,,,,,,,,,,,,,,,,,,,9.0
2018-01-26,,,,,,,,,,,,,,,,,,,,8.9
2018-01-29,,,,,,,,,,,,,,,,,,,,9.0
2018-01-30,,,,,,,,,,,,,,,,,,,,9.0
2018-01-31,,,,,,,,,,,,,,,,,,,,8.98
2018-02-01,,,,,,,,,,,,,,,,,,,,8.98
2018-02-02,,,,,,,,,,,,,,,,,,,,8.72
2018-02-05,,,,,,,,,,,,,,,,,,,,8.86
2018-02-06,,,,,,,,,,,,,,,,,,,,8.94
2018-02-07,,,,,,,,,,,,,,,,,,,,8.86
2018-02-08,,,,,,,,,,,,,,,,,,,,8.86
2018-02-09,,,,,,,,,,,,,,,,,,,,8.86
2018-02-12,,,,,,,,,,,,,,,,,,,,8.86
2018-02-13,,,,,,,,,,,,,,,,,,,,8.86
2018-02-14,,,,,,,,,,,,,,,,,,,,8.86
2018-02-15,,,,,,,,,,,,,,,,,,,,8.84
2018-02-16,,,,,,,,,,,,,,,,,,,,8.84
2018-02-19,,,,,,,,,,,,,,,,,,,,8.88
2018-02-20,,,,,,,,,,,,,,,,,,,,8.82
2018-02-21,,,,,,,,,,,,,,,,,,,,9.1
2018-02-22,,,,,,,,,,,,,,,,,,,,9.1
2018-02-23,,,,,,,,,,,,,,,,,,,,9.08
2018-02-26,,,,,,,,,,,,,,,,,,,,9.0
2018-02-27,,,,,,,,,,,,,,,,,,,,9.0
2018-02-28,,,,,,,,,,,,,,,,,,,,8.98
2018-03-01,,,,,,,,,,,,,,,,,,,,8.98
2018-03-02,,,,,,,,,,,,,,,,,,,,8.94
2018-03-05,,,,,,,,,,,,,,,,,,,,8.94
2018-03-06,,,,,,,,,,,,,,,,,,,,8.94
2018-03-07,,,,,,,,,,,,,,,,,,,,8.94
2018-03-08,,,,,,,,,,,,,,,,,,,,8.92
2018-03-09,,,,,,,,,,,,,,,,,,,,8.86
2018-03-12,,,,,,,,,,,,,,,,,,,,8.86
2018-03-13,,,,,,,,,,,,,,,,,,,,8.9
2018-03-14,,,,,,,,,,,,,,,,,,,,8.9
2018-03-15,,,,,,,,,,,,,,,,,,,,8.86
2018-03-16,,,,,,,,,,,,,,,,,,,,8.8
2018-03-19,,,,,,,,,,,,,,,,,,,,8.72
2018-03-20,,,,,,,,,,,,,,,,,,,,8.7
2018-03-21,,,,,,,,,,,,,,,,,,,,8.74
2018-03-22,,,,,,,,,,,,,,,,,,,,8.74
2018-03-23,,,,,,,,,,,,,,,,,,,,8.7
2018-03-26,,,,,,,,,,,,,,,,,,,,8.7
2018-03-27,,,,,,,,,,,,,,,,,,,,8.7
2018-03-28,,,,,,,,,,,,,,,,,,,,8.7
2018-03-29,,,,,,,,,,,,,,,,,,,,8.7
2018-04-03,,,,,,,,,,,,,,,,,,,,8.7
2018-04-04,,,,,,,,,,,,,,,,,,,,8.86
2018-04-05,,,,,,,,,,,,,,,,,,,,8.74
2018-04-06,,,,,,,,,,,,,,,,,,,,8.72
2018-04-09,,,,,,,,,,,,,,,,,,,,8.72
2018-04-10,,,,,,,,,,,,,,,,,,,,8.88
2018-04-11,,,,,,,,,,,,,,,,,,,,8.72
2018-04-12,,,,,,,,,,,,,,,,,,,,8.8
2018-04-13,,,,,,,,,,,,,,,,,,,,8.8
2018-04-16,,,,,,,,,,,,,,,,,,,,8.8
2018-04-17,,,,,,,,,,,,,,,,,,,,8.78
2018-04-18,,,,,,,,,,,,,,,,,,,,8.78
2018-04-19,,,,,,,,,,,,,,,,,,,,8.78
2018-04-20,,,,,,,,,,,,,,,,,,,,8.78
2018-04-23,,,,,,,,,,,,,,,,,,,,8.7
2018-04-24,,,,,,,,,,,,,,,,,,,,8.72
2018-04-25,,,,,,,,,,,,,,,,,,,,8.8
2018-04-26,,,,,,,,,,,,,,,,,,,,8.84
2018-04-27,,,,,,,,,,,,,,,,,,,,8.88
2018-04-30,,,,,,,,,,,,,,,,,,,,8.72
2018-05-02,,,,,,,,,,,,,,,,,,,,8.78
2018-05-03,,,,,,,,,,,,,,,,,,,,8.78
2018-05-04,,,,,,,,,,,,,,,,,,,,8.64
2018-05-07,,,,,,,,,,,,,,,,,,,,8.64
2018-05-08,,,,,,,,,,,,,,,,,,,,8.68
2018-05-09,,,,,,,,,,,,,,,,,,,,8.72
2018-05-10,,,,,,,,,,,,,,,,,,,,8.72
2018-05-11,,,,,,,,,,,,,,,,,,,,8.6
2018-05-14,,,,,,,,,,,,,,,,,,,,8.26
2018-05-15,,,,,,,,,,,,,,,,,,,,8.42
2018-05-16,,,,,,,,,,,,,,,,,,,,8.66
2018-05-17,,,,,,,,,,,,,,,,,,,,8.0
2018-05-18,,,,,,,,,,,,,,,,,,,,8.1
2018-05-21,,,,,,,,,,,,,,,,,,,,8.3
2018-05-22,,,,,,,,,,,,,,,,,,,,8.2
2018-05-23,,,,,,,,,,,,,,,,,,,,8.18
2018-05-24,,,,,,,,,,,,,,,,,,,,8.1
2018-05-25,,,,,,,,,,,,,,,,,,,,8.1
2018-05-28,,,,,,,,,,,,,,,,,,,,7.96
2018-05-29,,,,,,,,,,,,,,,,,,,,7.9
2018-05-30,,,,,,,,,,,,,,,,,,,,7.8
