,BNKE FP Equity_DX_SI_QTY,BNKE FP Equity_DX_SHORT_INTEREST_VALUE,BNKE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BNKE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BNKE FP Equity_DX_SI_MV,BNKE FP Equity_DX_DSS,BNKE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BNKE FP Equity_DX_SUPPLY_SI_QTY,BNKE FP Equity_DX_BROKER_SI_QTY,BNKE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BNKE FP Equity_DX_BROKER_SI_MV_NEW_x,BNKE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BNKE FP Equity_DX_SUPPLY_SI_QTY_INC_x,BNKE FP Equity_DX_BROKER_SI_MV_INC_x,BNKE FP Equity_DX_SUPPLY_SI_MV_NEW,BNKE FP Equity_DX_BROKER_SI_QTY_ADD,BNKE FP Equity_DX_BROKER_SI_QTY_NEW,BNKE FP Equity_DX_SUPPLY_SI_MV_DEC,BNKE FP Equity_DX_BROKER_SI_QTY_INC,BNKE FP Equity_DX_SUPPLY_SI_QTY_DEC,BNKE FP Equity_DX_BROKER_SI_MV_NEW_y,BNKE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BNKE FP Equity_DX_BROKER_SI_MV_INC_y,BNKE FP Equity_DX_SUPPLY_SI_QTY_INC_y,BNKE FP Equity_DX_BROKER_SI_MV_ADD,BNKE FP Equity_DX_SUPPLY_SI_QTY_ADD,BNKE FP Equity_DX_BROKER_SI_QTY_DEC,BNKE FP Equity_DX_SUPPLY_SI_MV,BNKE FP Equity_DX_BROKER_SI_MV_DEC,BNKE FP Equity_DX_SUPPLY_SI_MV_RMV,BNKE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BNKE FP Equity_DX_UTILIZATION_QUANTITY,BNKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BNKE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BNKE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BNKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BNKE FP Equity_DX_ACTIVE_UTILIZATION_MV,BNKE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BNKE FP Equity_DX_BROKER_SI_CON_RATIO,BNKE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BNKE FP Equity_DX_DEMAND_SUPPLY_RATIO,BNKE FP Equity_PX_LAST
2014-01-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28782.5,,0.03,0.0,,0.0,,0.0,115.13
2014-01-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28512.5,,0.03,0.0,,0.0,,0.0,114.05
2014-01-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28487.5,,0.03,0.0,,0.0,,0.0,113.95
2014-01-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27625.0,,0.03,0.0,,0.0,,0.0,110.5
2014-01-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27417.5,,0.03,0.0,,0.0,,0.0,109.67
2014-01-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27902.5,,0.03,0.0,,0.0,,0.0,111.61
2014-01-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27812.5,,0.03,0.0,,0.0,,0.0,111.25
2014-01-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27900.0,,0.03,0.0,,0.0,,0.0,111.6
2014-01-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27745.0,,0.03,0.0,,0.0,,0.0,110.98
2014-02-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,26975.0,,0.03,0.0,,0.0,,0.0,107.9
2014-02-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27297.5,,0.03,0.0,,0.0,,0.0,109.19
2014-02-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,27635.0,,0.03,0.0,,0.0,,0.0,110.54
2014-02-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28280.0,,0.03,0.0,,0.0,,0.0,113.12
2014-02-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28530.0,,0.03,0.0,,0.0,,0.0,114.12
2014-02-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28400.0,,0.03,0.0,,0.0,,0.0,113.6
2014-02-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28812.5,,0.03,0.0,,0.0,,0.0,115.25
2014-02-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29100.0,,0.03,0.0,,0.0,,0.0,116.4
2014-02-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28877.5,,0.03,0.0,,0.0,,0.0,115.51
2014-02-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29055.0,,0.03,0.0,,0.0,,0.0,116.22
2014-02-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29157.5,,0.03,0.0,,0.0,,0.0,116.63
2014-02-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29080.0,,0.03,0.0,,0.0,,0.0,116.32
2014-02-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28985.0,,0.03,0.0,,0.0,,0.0,115.94
2014-02-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28872.5,,0.03,0.0,,0.0,,0.0,115.49
2014-02-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29017.5,,0.03,0.0,,0.0,,0.0,116.07
2014-02-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29280.0,,0.03,0.0,,0.0,,0.0,117.12
2014-02-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29357.5,,0.03,0.0,,0.0,,0.0,117.43
2014-02-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29270.0,,0.03,0.0,,0.0,,0.0,117.08
2014-02-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29302.5,,0.03,0.0,,0.0,,0.0,117.21
2014-02-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29215.0,,0.03,0.0,,0.0,,0.0,116.86
2014-03-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28242.5,,0.03,0.0,,0.0,,0.0,112.97
2014-03-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29055.0,,0.03,0.0,,0.0,,0.0,116.22
2014-03-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29382.5,,0.03,0.0,,0.0,,0.0,117.53
2014-03-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29642.5,,0.03,0.0,,0.0,,0.0,118.57
2014-03-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29087.5,,0.03,0.0,,0.0,,0.0,116.35
2014-03-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29240.0,,0.03,0.0,,0.0,,0.0,116.96
2014-03-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,29200.0,,0.03,0.0,,0.0,,0.0,116.8
2014-03-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28930.0,,0.03,0.0,,0.0,,0.0,115.72
2014-03-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28512.5,,0.03,0.0,,0.0,,0.0,114.05
2014-03-14,3500.0,391195.0,0.45,0.4,0.4,0.0,391195.0,0.0,3500.0,0.0,,,,,,3500.0,,,,,,,,,0.4,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.0,111.77
2014-03-17,3500.0,398930.0,0.5,0.4,0.39,0.0,398930.0,0.0,3500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.0,113.98
2014-03-18,3500.0,404740.0,0.51,0.4,0.39,0.0,404740.0,0.0,3500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,14.0,115.64
2014-03-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3500.0,0.0,0.39,,0.0,0.0,250.0,28897.5,,0.03,0.0,,0.0,,0.0,115.59
2014-03-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28945.0,,0.03,0.0,,0.0,,0.0,115.78
2014-03-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28915.0,,0.03,0.0,,0.0,,0.0,115.66
2014-03-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28240.0,,0.03,0.0,,0.0,,0.0,112.96
2014-03-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28420.0,,0.03,0.0,,0.0,,0.0,113.68
2014-03-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28777.5,,0.03,0.0,,0.0,,0.0,115.11
2014-03-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,250.0,28770.0,,0.03,0.0,,0.0,,0.0,115.08
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.31
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.63
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.96
2014-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.88
2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.47
2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.42
2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.78
2014-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.76
2014-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.27
2014-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.14
2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.67
2014-04-16,6100.0,710833.0,0.71,0.73,0.69,,710833.0,0.0,6100.0,0.0,,,,,,6100.0,,,,,,,,,0.69,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,116.53
2014-04-17,6100.0,718275.0,0.7,0.68,0.71,,718275.0,0.0,6100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,117.75
2014-04-18,6100.0,718275.0,0.52,0.68,0.71,,718275.0,0.0,6100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2014-04-21,6100.0,718275.0,0.52,0.68,0.71,,718275.0,0.0,6100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,
2014-04-22,6100.0,729194.0,0.52,0.68,0.72,,729194.0,0.0,6100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,119.54
2014-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.19
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.76
2014-04-25,4000.0,464960.0,0.25,0.45,0.47,,464960.0,0.0,4000.0,0.0,,,,,,4000.0,,,,,,,,,0.47,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.88,0.5,50.12,0.0,116.24
2014-04-28,8000.0,931600.0,0.49,0.89,0.93,,931600.0,0.0,8000.0,0.0,,,,0.46,,,,,4000.0,,,,0.46,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.31,0.6219,74.69,0.0,116.45
2014-04-29,8000.0,949360.0,0.5,0.89,0.94,,949360.0,0.0,8000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.28,0.6222,74.72,0.0,118.67
2014-04-30,8000.0,940000.0,0.49,0.89,0.95,,940000.0,0.0,8000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,24.92,0.6258,75.08,0.0,117.5
2014-05-01,8000.0,940000.0,0.48,0.89,0.95,,940000.0,0.0,8000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,24.92,0.6258,75.08,0.0,
2014-05-02,8000.0,937520.0,0.48,0.89,0.94,,937520.0,0.0,8000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.11,0.6239,74.89,0.0,117.19
2014-05-05,4000.0,466680.0,0.24,0.45,0.47,,466680.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,,,4000.0,0.0,0.47,,0.0,0.0,0.0,0.0,,0.0,0.0,49.79,0.5,50.21,0.0,116.67
2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.69
2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.96
2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.94
2014-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.65
2014-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.39
2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.22
2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.38
2014-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19
2014-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.75
2014-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.65
2014-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.14
2014-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.07
2014-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.49
2014-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0
2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.31
2014-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.84
2014-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.96
2014-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.29
2014-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.36
2014-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.78
2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.14
2014-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.75
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.16
2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1
2014-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.4
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.39
2014-06-11,2100.0,257082.0,0.15,0.19,0.26,,257082.0,0.0,2100.0,0.0,,,,,,2100.0,,,,,,,,,0.26,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,122.42
2014-06-12,5100.0,619242.0,0.37,0.47,0.62,,619242.0,0.0,5100.0,0.0,,,,0.36,,,,,3000.0,,,,0.36,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,121.42
2014-06-13,5100.0,620007.0,0.38,0.47,0.62,,620007.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,121.57
2014-06-16,5100.0,614244.0,0.38,0.47,0.62,,614244.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,120.44
2014-06-17,5100.0,616692.0,0.38,0.47,0.61,,616692.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,120.92
2014-06-18,5100.0,611643.0,0.38,0.47,0.62,,611643.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,119.93
2014-06-19,5100.0,617814.0,0.37,0.47,0.61,,617814.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,121.14
2014-06-20,44100.0,5251869.0,3.16,4.03,5.35,,5251869.0,0.0,44100.0,0.0,,,,1.46,,27000.0,,,12000.0,,,,1.46,,3.27,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,38.78,0.5252,61.22,0.0,119.09
2014-06-23,49100.0,5814422.0,3.5,4.48,5.87,,5814422.0,0.0,49100.0,0.0,,,,,,5000.0,,,,,,,,,0.59,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.7,0.4354,55.21,0.0,118.42
2014-06-24,49100.0,5752065.0,3.32,4.48,5.85,,5752065.0,0.0,49100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.67,0.4361,55.3,0.0,117.15
2014-06-25,49100.0,5673014.0,3.32,4.48,5.79,,5673014.0,0.0,49100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.59,0.4369,55.44,0.0,115.54
2014-06-26,49100.0,5621950.0,3.27,4.48,5.74,,5621950.0,0.0,49100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.45,0.4374,55.57,0.0,114.5
2014-06-27,49100.0,5608202.0,3.19,4.48,5.72,,5608202.0,0.0,49100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.25,0.4382,55.75,0.0,114.22
