,CHINU FP Equity_PX_LAST
2021-07-27,8.1767
2021-07-28,8.6946
2021-07-29,8.8077
2021-07-30,8.79
2021-08-02,8.9641
2021-08-03,8.838
2021-08-04,9.0441
2021-08-05,8.9993
2021-08-06,8.8417
2021-08-09,8.9336
2021-08-10,8.9935
2021-08-11,9.0379
2021-08-12,8.9514
2021-08-13,8.9081
2021-08-16,8.6875
2021-08-17,8.5452
2021-08-18,8.6024
2021-08-19,8.4377
2021-08-20,8.3718
2021-08-23,8.4647
2021-08-24,8.8458
2021-08-25,8.7793
2021-08-26,8.7195
2021-08-27,8.6713
2021-08-30,8.6696
2021-08-31,8.858
2021-09-01,8.9859
2021-09-02,8.9721
2021-09-03,8.8595
2021-09-06,9.029
2021-09-07,9.0868
2021-09-08,8.9555
2021-09-09,8.8908
2021-09-10,8.8615
2021-09-13,8.7726
2021-09-14,8.6662
2021-09-15,8.4977
2021-09-16,8.3838
2021-09-17,8.4489
2021-09-20,8.1891
2021-09-21,8.1903
2021-09-22,8.3807
2021-09-23,8.3238
2021-09-24,8.2583
2021-09-27,8.3608
2021-09-28,8.317
2021-09-29,8.3322
2021-09-30,8.4971
2021-10-01,8.3736
2021-10-04,8.1329
2021-10-05,8.2743
2021-10-06,8.1672
2021-10-07,8.5385
2021-10-08,8.5156
2021-10-11,8.5803
2021-10-12,8.4511
2021-10-13,8.572
2021-10-14,8.5777
2021-10-15,8.7831
2021-10-18,8.858
2021-10-19,8.9903
2021-10-20,9.0421
2021-10-21,8.9717
2021-10-22,9.0162
2021-10-25,9.0964
2021-10-26,9.0315
2021-10-27,8.8847
2021-10-28,8.8707
2021-10-29,8.789
2021-11-01,8.8422
2021-11-02,8.6494
2021-11-03,8.674
2021-11-04,8.7222
2021-11-05,8.6341
2021-11-08,8.6377
2021-11-09,8.6059
2021-11-10,8.6818
2021-11-11,8.8711
2021-11-12,8.8688
2021-11-15,8.8272
2021-11-16,8.9509
2021-11-17,8.912
2021-11-18,8.712
2021-11-19,8.7387
2021-11-22,8.7687
2021-11-23,8.71
2021-11-24,8.7264
2021-11-25,8.7541
2021-11-26,8.4362
2021-11-29,8.4423
2021-11-30,8.4022
2021-12-01,8.5649
2021-12-02,8.4404
2021-12-03,8.1803
2021-12-06,8.1848
2021-12-07,8.3568
2021-12-08,8.444
2021-12-09,8.4766
2021-12-10,8.3944
2021-12-13,8.288
2021-12-14,8.213
2021-12-15,7.9421
2021-12-16,8.1307
2021-12-17,7.9999
2021-12-20,7.76
2021-12-21,7.988
2021-12-22,8.0275
2021-12-23,8.0819
2021-12-24,8.0209
2021-12-27,8.0895
2021-12-28,7.9827
2021-12-29,7.8451
2021-12-30,8.1002
2021-12-31,8.1262
2022-01-03,8.1379
2022-01-04,7.9858
2022-01-05,7.8395
2022-01-06,7.7731
2022-01-07,7.8724
2022-01-10,7.8818
2022-01-11,8.102
2022-01-12,8.2406
2022-01-13,8.19
2022-01-14,8.1765
2022-01-17,8.1154
2022-01-18,8.034
2022-01-19,8.0378
2022-01-20,8.3708
2022-01-21,8.1491
2022-01-24,7.8379
2022-01-25,7.891
2022-01-26,7.9111
2022-01-27,7.6955
2022-01-28,7.5081
2022-01-31,7.7378
2022-02-01,7.9149
2022-02-02,7.8809
2022-02-03,7.9016
2022-02-04,7.9104
2022-02-07,7.8796
2022-02-08,7.8805
2022-02-09,8.0444
2022-02-10,8.006
2022-02-11,7.9372
2022-02-14,7.7381
2022-02-15,7.9183
2022-02-16,7.9262
2022-02-17,8.0495
2022-02-18,7.7283
2022-02-21,7.6276
2022-02-22,7.5232
2022-02-23,7.4794
2022-02-24,7.1783
2022-02-25,7.3848
2022-02-28,7.4383
2022-03-01,7.4049
2022-03-02,7.3699
2022-03-03,7.1518
2022-03-04,6.9018
2022-03-07,6.6958
2022-03-08,6.503
2022-03-09,6.6302
2022-03-10,6.39
2022-03-11,6.1988
2022-03-14,5.7819
2022-03-15,5.6524
2022-03-16,6.3507
2022-03-17,6.4797
2022-03-18,6.9125
2022-03-21,6.5291
2022-03-22,6.759
2022-03-23,6.8375
2022-03-24,6.6996
2022-03-25,6.506
2022-03-28,6.6088
2022-03-29,6.7966
2022-03-30,6.8766
2022-03-31,6.6549
2022-04-01,6.8407
2022-04-04,7.101
2022-04-05,6.9815
2022-04-06,6.7856
2022-04-07,6.6438
2022-04-08,6.7619
2022-04-11,6.5434
2022-04-12,6.572
2022-04-13,6.6025
2022-04-14,6.6196
2022-04-19,6.4751
2022-04-20,6.3377
2022-04-21,6.1463
2022-04-22,6.1938
2022-04-25,5.9509
2022-04-26,5.9174
2022-04-27,6.029
2022-04-28,6.0323
2022-04-29,6.398
2022-05-02,6.2824
2022-05-03,6.4102
2022-05-04,6.2918
2022-05-05,6.0886
2022-05-06,5.9751
2022-05-09,5.754
2022-05-10,5.7463
2022-05-11,5.9871
2022-05-12,5.8493
2022-05-13,6.097
2022-05-16,6.0862
2022-05-17,6.2653
2022-05-18,6.23
2022-05-19,6.3219
2022-05-20,6.327
2022-05-23,6.3223
2022-05-24,6.0471
2022-05-25,6.1342
2022-05-26,6.25
2022-05-27,6.3386
2022-05-30,6.463
2022-05-31,6.5995
2022-06-01,6.4514
2022-06-02,6.6068
2022-06-03,6.5535
2022-06-06,6.7683
2022-06-07,6.7589
2022-06-08,6.9604
2022-06-09,6.7684
2022-06-10,6.712
2022-06-13,6.405
2022-06-14,6.6169
2022-06-15,6.6911
2022-06-16,6.4597
2022-06-17,6.6083
2022-06-20,6.6873
2022-06-21,6.8155
2022-06-22,6.7472
2022-06-23,6.7964
2022-06-24,7.0361
2022-06-27,7.0783
2022-06-28,7.0803
2022-06-29,6.9569
2022-06-30,6.9261
2022-07-01,6.9601
2022-07-04,7.0026
2022-07-05,6.8508
2022-07-06,6.8253
2022-07-07,7.0132
2022-07-08,6.9864
2022-07-11,6.6443
2022-07-12,6.6106
2022-07-13,6.5496
2022-07-14,6.5082
2022-07-15,6.4193
2022-07-18,6.6189
2022-07-19,6.6003
2022-07-20,6.5916
2022-07-21,6.5942
2022-07-22,6.5467
2022-07-25,6.5202
2022-07-26,6.4709
2022-07-27,6.4726
2022-07-28,6.4296
2022-07-29,6.3035
2022-08-01,6.2893
2022-08-02,6.2528
2022-08-03,6.1918
2022-08-04,6.3123
2022-08-05,6.2652
2022-08-08,6.2822
2022-08-09,6.2205
2022-08-10,6.1843
2022-08-11,6.3264
2022-08-12,6.2568
2022-08-15,6.2653
2022-08-16,6.2526
2022-08-17,6.2113
2022-08-18,6.1635
2022-08-19,6.0517
2022-08-22,6.1346
2022-08-23,6.0923
2022-08-24,6.0667
2022-08-25,6.2302
2022-08-26,6.2765
2022-08-29,6.2165
2022-08-30,6.0417
2022-08-31,6.1247
2022-09-01,5.9845
2022-09-02,5.9762
2022-09-05,5.8824
2022-09-06,5.8015
2022-09-07,5.8161
2022-09-08,5.7955
2022-09-09,5.9286
2022-09-12,5.9493
2022-09-13,5.8061
2022-09-14,5.7153
2022-09-15,5.7457
2022-09-16,5.6052
2022-09-19,5.5947
2022-09-20,5.6261
2022-09-21,5.473
2022-09-22,5.4082
2022-09-23,5.3122
2022-09-26,5.3965
2022-09-27,5.4039
2022-09-28,5.3521
2022-09-29,5.2178
2022-09-30,5.2413
2022-10-03,5.2044
2022-10-04,5.4358
2022-10-05,5.4016
2022-10-06,5.3761
2022-10-07,5.2561
2022-10-10,5.0371
2022-10-11,4.9489
2022-10-12,4.9104
2022-10-13,4.8614
2022-10-14,4.8663
2022-10-17,4.9904
2022-10-18,4.9313
2022-10-19,4.8189
2022-10-20,4.8112
2022-10-21,4.7569
2022-10-24,4.3305
2022-10-25,4.4219
2022-10-26,4.6243
2022-10-27,4.5321
2022-10-28,4.2851
2022-10-31,4.2606
2022-11-01,4.4727
2022-11-02,4.562
2022-11-03,4.5924
2022-11-04,4.8088
2022-11-07,4.9106
2022-11-08,4.9094
2022-11-09,4.7614
2022-11-10,4.9469
2022-11-11,5.1743
2022-11-14,5.2533
2022-11-15,5.4886
2022-11-16,5.3163
2022-11-17,5.3276
2022-11-18,5.2462
2022-11-21,5.1499
2022-11-22,5.0756
2022-11-23,5.1113
2022-11-24,5.1297
2022-11-25,5.0529
2022-11-28,5.1057
2022-11-29,5.3346
2022-11-30,5.5152
2022-12-01,5.5523
2022-12-02,5.6079
2022-12-05,5.6639
2022-12-06,5.7312
2022-12-07,5.6171
2022-12-08,5.8243
2022-12-09,5.8816
2022-12-12,5.6877
2022-12-13,5.8145
2022-12-14,5.7845
2022-12-15,5.7101
2022-12-16,5.7142
2022-12-19,5.6857
2022-12-20,5.5727
2022-12-21,5.6451
2022-12-22,5.6464
2022-12-23,5.6857
2022-12-27,5.8146
2022-12-28,5.7569
2022-12-29,5.7569
2022-12-30,5.7773
2023-01-02,5.7773
2023-01-03,5.9621
2023-01-04,6.1283
2023-01-05,6.2369
2023-01-06,6.1751
2023-01-09,6.2459
2023-01-10,6.2287
2023-01-11,6.3143
2023-01-12,6.3143
2023-01-13,6.3832
2023-01-16,6.3597
2023-01-17,6.2624
2023-01-18,6.262
2023-01-19,6.315
2023-01-20,6.3877
2023-01-23,6.5958
2023-01-24,6.5354
2023-01-25,6.5256
2023-01-26,6.6372
2023-01-27,6.6769
2023-01-30,6.4728
2023-01-31,6.4577
2023-02-01,6.5345
2023-02-02,6.4976
2023-02-03,6.4165
2023-02-06,6.1815
2023-02-07,6.2491
2023-02-08,6.2471
2023-02-09,6.3504
2023-02-10,6.1831
2023-02-13,6.2726
2023-02-14,6.1923
2023-02-15,6.1029
2023-02-16,6.1076
2023-02-17,5.9741
2023-02-20,6.1137
2023-02-21,6.0207
2023-02-22,5.8924
2023-02-23,5.8924
2023-02-24,5.735
2023-02-27,5.7882
2023-02-28,5.7654
2023-03-01,5.9813
2023-03-02,6.0614
2023-03-03,6.0719
2023-03-06,6.0565
2023-03-07,5.9142
2023-03-08,5.7838
2023-03-09,5.6293
2023-03-10,5.5642
2023-03-13,5.63
2023-03-14,5.6701
2023-03-15,5.5385
2023-03-16,5.6451
2023-03-17,5.848
2023-03-20,5.6986
2023-03-21,5.7488
2023-03-22,5.8271
2023-03-23,5.9872
2023-03-24,5.9274
2023-03-27,5.7928
2023-03-28,5.9545
2023-03-29,5.9639
2023-03-30,6.0136
2023-03-31,5.989
2023-04-03,5.9683
2023-04-04,5.904
2023-04-05,5.8583
2023-04-06,5.9055
2023-04-11,5.9333
2023-04-12,5.802
2023-04-13,5.9163
2023-04-14,5.8598
2023-04-17,5.976
2023-04-18,5.9806
2023-04-19,5.8807
2023-04-20,5.9072
2023-04-21,5.7689
2023-04-24,5.7295
2023-04-25,5.544
2023-04-26,5.6392
2023-04-27,5.6746
2023-04-28,5.7025
2023-05-02,5.565
2023-05-03,5.6057
2023-05-04,5.6671
2023-05-05,5.7648
2023-05-08,5.771
2023-05-09,5.6827
2023-05-10,5.6982
2023-05-11,5.703
2023-05-12,5.6484
2023-05-15,5.7887
2023-05-16,5.7871
2023-05-17,5.6921
2023-05-18,5.6281
2023-05-19,5.6153
2023-05-22,5.7238
2023-05-23,5.5954
2023-05-24,5.4404
2023-05-25,5.3907
2023-05-26,5.4455
2023-05-29,5.327
2023-05-30,5.299
2023-05-31,5.1998
2023-06-01,5.2148
2023-06-02,5.5316
2023-06-05,5.5005
2023-06-06,5.5657
2023-06-07,5.618
2023-06-08,5.6319
2023-06-09,5.6366
2023-06-12,5.6224
2023-06-13,5.7303
2023-06-14,5.8245
2023-06-15,5.9689
2023-06-16,5.9489
2023-06-19,5.9073
2023-06-20,5.7066
2023-06-21,5.6647
2023-06-22,5.6078
2023-06-23,5.4875
2023-06-26,5.5517
2023-06-27,5.6541
2023-06-28,5.6221
2023-06-29,5.532
2023-06-30,5.6032
2023-07-03,5.7376
2023-07-04,5.7901
2023-07-05,5.6779
2023-07-06,5.5426
2023-07-07,5.5927
2023-07-10,5.6273
2023-07-11,5.6529
2023-07-12,5.793
2023-07-13,5.9142
2023-07-14,5.8319
2023-07-17,5.762
2023-07-18,5.7425
2023-07-19,5.776
2023-07-20,5.717
2023-07-21,5.6992
2023-07-24,5.8411
2023-07-25,5.9444
2023-07-26,5.9451
2023-07-27,6.0269
2023-07-28,6.2226
2023-07-31,6.2896
2023-08-01,6.1788
2023-08-02,6.0528
2023-08-03,6.2171
2023-08-04,6.456
2023-08-07,6.0692
2023-08-08,5.9601
2023-08-09,5.9424
2023-08-10,6.056
2023-08-11,5.7556
2023-08-14,5.6976
2023-08-15,5.6335
2023-08-16,5.5446
2023-08-17,5.5917
2023-08-18,5.4721
2023-08-21,5.3717
2023-08-22,5.4393
2023-08-23,5.5241
2023-08-24,5.533
2023-08-25,5.5431
2023-08-28,5.6683
2023-08-29,5.8129
2023-08-30,5.7322
2023-08-31,5.6837
2023-09-01,5.8485
2023-09-04,5.7713
2023-09-05,5.6869
2023-09-06,5.7102
2023-09-07,5.4783
2023-09-08,5.5352
2023-09-11,5.6051
2023-09-12,5.668
2023-09-13,5.6326
2023-09-14,5.6374
2023-09-15,5.6025
2023-09-18,5.6076
2023-09-19,5.5364
2023-09-20,5.5106
2023-09-21,5.3743
2023-09-22,5.5681
2023-09-25,5.4336
2023-09-26,5.3795
2023-09-27,5.3848
2023-09-28,5.3785
2023-09-29,5.4177
2023-10-02,5.422
2023-10-03,5.2707
2023-10-04,5.2773
2023-10-05,5.2647
2023-10-06,5.3805
2023-10-09,5.3815
2023-10-10,5.4881
2023-10-11,5.5872
2023-10-12,5.5509
2023-10-13,5.3931
2023-10-16,5.4698
2023-10-17,5.4225
2023-10-18,5.2938
2023-10-19,5.2442
2023-10-20,5.1174
2023-10-23,5.1168
2023-10-24,5.326
2023-10-25,5.2014
2023-10-26,5.2259
2023-10-27,5.2511
2023-10-30,5.28
2023-10-31,5.1687
2023-11-01,5.1365
2023-11-02,5.2571
2023-11-03,5.4095
2023-11-06,5.4683
2023-11-07,5.4314
2023-11-08,5.3843
2023-11-09,5.3528
2023-11-10,5.2669
2023-11-13,5.3776
2023-11-14,5.4645
2023-11-15,5.5987
2023-11-16,5.3618
2023-11-17,5.4271
2023-11-20,5.5477
2023-11-21,5.4403
2023-11-22,5.4676
2023-11-23,5.558
2023-11-24,5.4873
2023-11-27,5.4174
2023-11-28,5.3472
2023-11-29,5.2122
2023-11-30,5.1535
2023-12-01,5.0914
2023-12-04,4.9997
2023-12-05,4.8965
2023-12-06,4.9646
2023-12-07,4.9098
2023-12-08,4.829
2023-12-11,4.8825
2023-12-12,4.8937
2023-12-13,4.8036
2023-12-14,4.9502
2023-12-15,4.9523
2023-12-18,4.8749
2023-12-19,4.8846
2023-12-20,4.7875
2023-12-21,4.8878
2023-12-22,4.7352
2023-12-27,4.8008
2023-12-28,4.9246
2023-12-29,4.9345
2024-01-02,4.8303
2024-01-03,4.8564
2024-01-04,4.8066
2024-01-05,4.8104
2024-01-08,4.7135
2024-01-09,4.6479
2024-01-10,4.6184
2024-01-11,4.6592
2024-01-12,4.716
2024-01-15,4.6205
2024-01-16,4.5388
2024-01-17,4.3745
2024-01-18,4.3954
2024-01-19,4.3662
2024-01-22,4.309
2024-01-23,4.4991
2024-01-24,4.638
2024-01-25,4.585
2024-01-26,4.5272
2024-01-29,4.4095
2024-01-30,4.3585
2024-01-31,4.3373
2024-02-01,4.3421
2024-02-02,4.2067
2024-02-05,4.2932
