,MLFDV FP Equity_PX_LAST
2014-11-17,4.01
2014-11-21,5.3
2014-11-26,6.0
2014-12-01,7.0
2014-12-02,7.4
2014-12-03,7.4
2014-12-05,7.5
2014-12-08,7.66
2014-12-11,7.95
2014-12-12,8.01
2014-12-18,8.5
2014-12-19,9.01
2015-01-21,9.12
2015-01-22,9.1
2015-01-23,9.1
2015-01-27,9.1
2015-01-29,9.1
2015-02-02,9.01
2015-02-05,8.0
2015-02-06,8.0
2015-02-09,8.0
2015-03-13,5.78
2015-03-19,4.01
2015-04-08,5.0
2015-04-20,5.1
2015-05-29,6.05
2015-06-01,6.05
2015-06-17,4.78
2015-06-23,6.95
2015-08-26,5.1
2015-10-20,2.22
2015-10-21,2.44
2015-10-23,2.94
2015-10-27,3.0
2015-10-29,3.3
2015-10-30,3.35
2015-11-02,3.4
2015-11-03,3.45
2015-11-04,3.45
2015-11-11,3.79
2015-11-12,4.0
2015-11-16,4.4
2015-12-08,2.9
2016-01-21,3.5
2016-02-15,3.47
2016-03-21,6.1
2016-04-12,3.49
2016-04-29,10.99
2016-05-16,4.0
2016-07-28,6.0
2016-10-28,5.0
2016-11-01,6.04
2016-12-13,5.33
2017-01-03,6.44
2017-01-05,6.44
2017-01-18,6.32
2017-02-09,4.17
2017-02-14,5.49
2017-02-16,6.32
2017-03-07,9.23
2017-04-13,3.6
2017-05-05,5.0
2017-05-08,5.01
2017-07-26,3.3
2017-08-16,3.05
2017-10-02,3.2
2018-03-13,2.98
2018-12-31,1.32
2019-01-07,1.5
2019-01-17,4.5
2019-02-18,3.98
2019-04-11,1.95
2019-04-29,3.96
2019-05-02,3.58
2019-11-12,1.3
2019-11-27,1.1
2019-12-04,0.39
2019-12-06,0.26
2019-12-09,0.31
2019-12-13,0.59
2019-12-16,0.59
2019-12-27,2.14
2020-01-07,1.67
2020-01-08,1.68
2020-01-16,2.86
2020-01-27,2.72
2020-01-28,2.7
2020-01-29,2.68
2020-02-03,2.82
2020-02-11,2.28
2020-02-13,2.06
2020-02-17,2.72
2020-02-20,1.8
2020-02-27,2.78
2020-02-28,2.52
2020-03-05,2.5
2020-03-10,1.5
2020-03-11,1.6
2020-03-17,2.7
2020-03-24,2.2
2020-04-01,2.5
2020-04-06,2.46
2020-04-15,1.98
2020-04-17,2.5
2020-04-23,2.0
2020-04-27,1.44
2020-04-28,1.43
2020-05-04,1.45
