,LOUP FP Equity_DX_SI_QTY,LOUP FP Equity_DX_SHORT_INTEREST_VALUE,LOUP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LOUP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LOUP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LOUP FP Equity_DX_SI_MV,LOUP FP Equity_DX_DSS,LOUP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LOUP FP Equity_DX_SUPPLY_SI_QTY,LOUP FP Equity_DX_BROKER_SI_QTY,LOUP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LOUP FP Equity_DX_BROKER_SI_MV_NEW_x,LOUP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LOUP FP Equity_DX_SUPPLY_SI_QTY_INC_x,LOUP FP Equity_DX_BROKER_SI_MV_INC_x,LOUP FP Equity_DX_SUPPLY_SI_MV_NEW,LOUP FP Equity_DX_BROKER_SI_QTY_ADD,LOUP FP Equity_DX_BROKER_SI_QTY_NEW,LOUP FP Equity_DX_SUPPLY_SI_MV_DEC,LOUP FP Equity_DX_BROKER_SI_QTY_INC,LOUP FP Equity_DX_SUPPLY_SI_QTY_DEC,LOUP FP Equity_DX_BROKER_SI_MV_NEW_y,LOUP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LOUP FP Equity_DX_BROKER_SI_MV_INC_y,LOUP FP Equity_DX_SUPPLY_SI_QTY_INC_y,LOUP FP Equity_DX_BROKER_SI_MV_ADD,LOUP FP Equity_DX_SUPPLY_SI_QTY_ADD,LOUP FP Equity_DX_BROKER_SI_QTY_DEC,LOUP FP Equity_DX_SUPPLY_SI_MV,LOUP FP Equity_DX_BROKER_SI_MV_DEC,LOUP FP Equity_DX_SUPPLY_SI_MV_RMV,LOUP FP Equity_DX_BROKER_SI_MV_RMV,LOUP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LOUP FP Equity_DX_UTILIZATION_QUANTITY,LOUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LOUP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LOUP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LOUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LOUP FP Equity_DX_ACTIVE_UTILIZATION_MV,LOUP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LOUP FP Equity_DX_BROKER_SI_CON_RATIO,LOUP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LOUP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,2001.0,,,,,0.09,,500.0,0.13,0.03,,,0.0,0.0,0.0,0.0,,0.82,13.9,40.58,0.5178,59.42,0.0
2006-01-11,4201.0,225036.81,0.2,0.41,0.05,0.29,0.0,123097.98,2854.0,2298.0,152881.47,,,2854.0,0.0,,1000.0,,,1298.0,,,,0.0,2854.0,0.07,,,0.2,,,,15.25,15.25,15861.0,849633.16,,1.1,15.25,30.91,0.3573,45.29,0.2245
2006-01-18,4204.0,221811.09,0.2,0.43,0.05,0.29,0.0,121352.4,2856.0,2300.0,150688.03,,,3.0,0.0,,,,,2.0,,,,0.0,3.0,,,,0.2,,,,20.84,20.84,10848.0,572361.25,,0.74,20.84,30.92,0.3573,45.29,0.3068
2006-01-25,4348.0,224330.29,0.21,0.49,0.05,0.28,0.0,121142.48,3000.0,2348.0,154781.71,,3000.0,,0.0,0.19,,,,48.0,,,3000.0,0.0,,,,,0.19,,0.2,,18.82,18.82,12937.0,667470.32,2856.0,0.83,18.81,30.92,0.3573,45.28,0.2728
2006-02-01,4348.0,224155.17,0.21,0.49,0.05,0.29,0.0,121047.91,3000.0,2348.0,154660.88,,,,,,,,,,,,,,,,,0.0,0.2,0.0,,,13.1,13.1,19903.0,1026071.82,,1.3,13.04,30.92,0.3573,45.29,0.1898
2006-02-08,3387.0,171883.82,0.16,0.44,0.04,0.21,0.0,70387.62,2000.0,1387.0,101496.2,,,,0.0,,,,0.07,39.0,1000.0,,,0.0,,,,1000.0,0.13,0.07,,,8.64,8.64,21136.0,1072611.86,,1.33,8.64,40.96,0.5164,59.04,0.1464
2006-02-15,5365.0,276369.12,0.26,0.75,0.07,0.33,0.0,173342.42,2000.0,3365.0,103026.7,,,,,,2000.0,,,,,,,,,0.12,,22.0,0.12,0.0,,,8.56,8.56,21370.0,1100840.29,,1.32,8.56,37.27,0.3427,37.28,0.2296
2006-02-22,12708.0,603960.4,0.61,2.27,0.16,0.75,0.0,159924.99,9343.0,3365.0,444035.41,,,5000.0,0.0,,,,,1.0,,,,0.0,5000.0,,2343.0,,0.55,,,,39.13,39.13,14532.0,690647.82,,0.86,39.13,18.44,0.3737,55.08,0.5323
2006-03-01,31174.0,1431352.6,1.5,4.96,0.38,1.78,0.0,843779.0,17815.0,18377.0,817974.8,,5018.0,3017.0,0.0,0.29,15000.0,,,12.0,,,5018.0,0.0,3017.0,0.85,437.0,,1.02,,,,29.72,25.96,42132.0,1934488.6,,0.0,239.07,32.2,0.3485,48.04,0.4543
2006-03-08,46058.0,2072084.66,2.21,6.25,0.56,2.56,0.0,1487682.83,27936.0,33068.0,1256801.36,,,10160.0,0.8,,,,0.01,14700.0,39.0,,,0.8,10160.0,,,10.0,1.55,0.0,,,47.67,41.66,30670.0,1379800.18,,0.0,365.1,21.63,0.4703,64.54,0.6869
2006-03-15,44087.0,2024252.32,2.12,6.0,0.54,2.5,0.0,1426485.61,28047.0,31068.0,1287776.55,,,111.0,0.0,,,,,8.0,,,,0.0,111.0,,,2008.0,1.59,0.11,,,47.87,41.84,30543.0,1402380.27,,0.0,365.28,22.72,0.5107,67.34,0.6577
2006-03-22,43669.0,2084206.98,2.1,5.86,0.54,2.59,0.0,1482460.16,27568.0,31061.0,1315748.42,,,,,,,,0.0,,479.0,,,,,,,7.0,1.63,0.0,,,47.52,41.24,30446.0,1453107.82,,0.0,379.51,22.83,0.52,68.07,0.6533
2006-03-29,43619.0,2150336.22,2.1,6.06,0.53,2.66,0.0,1531151.4,27388.0,31059.0,1350177.87,,,,,,,,0.0,,181.0,,,,,,,2.0,1.67,0.0,,,46.92,40.54,30985.0,1527503.33,,0.0,377.46,22.76,0.5211,68.17,0.6456
2006-04-05,44405.0,2325008.12,2.13,6.77,0.54,2.88,0.0,1689315.67,12883.0,32264.0,674542.95,,,460.0,0.01,,13244.0,,0.92,13.0,15451.0,,,0.01,460.0,0.86,486.0,12052.0,0.84,0.67,,,21.9,19.07,45937.0,2405222.34,,0.0,166.11,22.77,0.5428,69.9,0.6574
2006-04-12,43921.0,2368656.28,2.11,5.57,0.54,2.95,0.0,1661419.23,14069.0,30807.0,758740.13,,,1213.0,,,,,0.0,,27.0,,,,1213.0,,,1457.0,0.94,0.06,,,23.93,21.22,44729.0,2412231.66,,0.0,157.11,25.2,0.5204,67.42,0.6623
2006-04-19,43914.0,2410727.39,2.11,6.23,0.54,3.08,0.0,1700256.15,13897.0,30972.0,762897.45,,,,0.02,,,,0.0,165.0,172.0,,,0.02,,,,,0.95,,,,24.19,21.39,43551.0,2390799.94,,0.0,157.24,24.28,0.5254,68.11,0.676
2006-04-26,44012.0,2389517.66,2.12,6.49,0.54,2.96,0.0,1685019.31,13931.0,31036.0,756347.6,,,34.0,0.0,,,,,64.0,,,,0.0,34.0,,,,0.94,,,,81.35,56.54,3194.0,173409.97,,0.0,155.37,25.26,0.5182,67.22,1.7863
