,BYBE FP Equity_DX_SI_QTY,BYBE FP Equity_DX_SHORT_INTEREST_VALUE,BYBE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BYBE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BYBE FP Equity_DX_SI_MV,BYBE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BYBE FP Equity_DX_SUPPLY_SI_QTY,BYBE FP Equity_DX_BROKER_SI_QTY,BYBE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BYBE FP Equity_DX_BROKER_SI_QTY_ADD,BYBE FP Equity_DX_BROKER_SI_MV_ADD,BYBE FP Equity_DX_BROKER_SI_QTY_DEC,BYBE FP Equity_DX_SUPPLY_SI_MV,BYBE FP Equity_DX_BROKER_SI_MV_DEC,BYBE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BYBE FP Equity_DX_UTILIZATION_QUANTITY,BYBE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BYBE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BYBE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BYBE FP Equity_DX_ACTIVE_UTILIZATION_MV,BYBE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BYBE FP Equity_DX_BROKER_SI_CON_RATIO,BYBE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BYBE FP Equity_DX_DEMAND_SUPPLY_RATIO,BYBE FP Equity_PX_LAST
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,108.66
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,,,108.97
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,,,109.22
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,,,109.24
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,,,110.26
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,110.57
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,110.17
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,111.42
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,111.25
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,111.82
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,111.18
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,112.06
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,112.65
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,113.3
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,113.18
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,113.15
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,114.65
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,115.46
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,115.39
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,115.95
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,115.77
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,115.09
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,116.2
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,115.39
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,114.39
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,114.04
