,MLHYD FP Equity_PX_LAST
1992-06-15,107.4766
1992-08-03,106.7143
1992-08-04,96.3478
1992-08-05,87.0484
1992-08-06,78.6637
1992-08-07,78.6637
1992-08-12,86.7435
1992-08-13,95.4331
1992-08-14,105.0374
1992-10-07,78.6637
1992-10-09,86.591
1992-10-12,95.2806
1992-11-13,70.9955
1992-11-17,57.8544
1992-11-18,52.229
1992-11-19,57.5647
1992-11-20,63.4493
1992-11-23,69.9436
1992-11-24,76.9868
1992-12-15,79.2735
1992-12-29,87.3533
1993-01-05,78.8161
1993-01-08,71.148
1993-01-11,64.2267
1993-01-12,57.9611
1993-01-14,60.9796
1993-01-19,55.0341
1993-01-21,49.6831
1993-01-22,44.8505
1993-01-25,40.4904
1993-01-26,36.542
1993-01-27,32.99
1993-01-28,30.6423
1993-02-02,33.7827
1993-02-03,37.2433
1993-02-04,41.0545
1993-02-05,45.2621
1993-02-08,49.8965
1993-02-09,54.9884
1993-02-11,57.6257
1993-02-15,63.5255
1993-02-18,63.5255
1993-02-22,62.3516
1993-04-28,68.724
1993-05-10,64.7908
1993-05-11,71.2699
1993-05-12,73.1755
1993-06-08,65.858
1993-06-09,59.2721
1993-06-24,65.858
1993-06-25,59.2721
1993-06-28,58.6929
1993-08-10,52.8236
1993-08-11,47.5488
1993-08-13,47.5488
1993-08-17,45.7347
1993-08-18,50.3082
1993-09-07,50.3082
1993-09-08,53.3572
1993-12-08,53.3572
1993-12-24,53.3572
1994-01-21,48.0214
1994-01-24,52.8236
1994-01-25,53.3572
1994-01-26,53.3572
1994-01-28,48.0214
1994-01-31,43.2193
1994-02-08,43.2193
1994-02-16,39.6367
1994-08-05,39.7892
1994-08-22,39.7892
1994-12-27,35.8255
1994-12-28,39.4081
1995-03-29,41.9235
1995-03-30,43.448
1995-04-04,47.7928
1995-04-05,52.5644
1995-04-06,57.8087
1995-04-07,63.5865
1995-04-10,69.8216
1995-04-20,62.8395
1995-04-21,56.5586
1995-04-24,50.9027
1995-04-25,45.8262
1995-04-26,43.448
1995-05-22,47.7928
1995-05-23,51.0857
1995-05-26,45.9786
1995-05-29,50.5673
1995-05-30,45.5213
1995-05-31,40.9783
1995-06-01,36.8927
1995-06-07,45.9786
1995-06-08,41.3899
1995-06-09,37.2585
1995-06-12,40.9783
1995-06-13,45.0639
1995-06-14,49.5612
1995-06-15,44.6066
1995-06-16,49.0581
1995-06-19,44.1645
1995-06-20,39.7892
1995-07-21,35.8103
1995-07-24,33.5388
1995-07-26,30.1849
1995-07-27,30.1849
1995-07-28,28.9653
1995-08-02,26.2212
1995-09-15,23.7058
1996-04-01,23.7058
1997-01-29,24.4071
1997-02-25,24.712
1997-03-12,27.1817
1997-03-13,29.8953
1997-03-14,32.8833
1997-03-17,36.1609
1997-03-18,39.7739
1997-03-19,43.7376
1997-03-24,48.0977
1997-03-25,52.8998
1997-03-26,18.5073
1997-03-27,47.6098
1997-04-04,57.5952
1997-04-07,63.3426
1997-04-08,69.3643
1997-04-10,69.3643
1997-04-23,69.3795
