,EFG FP Equity_DX_SI_QTY,EFG FP Equity_DX_SHORT_INTEREST_VALUE,EFG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EFG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EFG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EFG FP Equity_DX_SI_MV,EFG FP Equity_DX_DSS,EFG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EFG FP Equity_DX_SUPPLY_SI_QTY,EFG FP Equity_DX_BROKER_SI_QTY,EFG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EFG FP Equity_DX_BROKER_SI_MV_NEW_x,EFG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EFG FP Equity_DX_SUPPLY_SI_QTY_INC_x,EFG FP Equity_DX_BROKER_SI_MV_INC_x,EFG FP Equity_DX_SUPPLY_SI_MV_NEW,EFG FP Equity_DX_BROKER_SI_QTY_ADD,EFG FP Equity_DX_BROKER_SI_QTY_NEW,EFG FP Equity_DX_SUPPLY_SI_MV_DEC,EFG FP Equity_DX_BROKER_SI_QTY_INC,EFG FP Equity_DX_SUPPLY_SI_QTY_DEC,EFG FP Equity_DX_BROKER_SI_MV_NEW_y,EFG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EFG FP Equity_DX_BROKER_SI_MV_INC_y,EFG FP Equity_DX_SUPPLY_SI_QTY_INC_y,EFG FP Equity_DX_BROKER_SI_MV_ADD,EFG FP Equity_DX_SUPPLY_SI_QTY_ADD,EFG FP Equity_DX_BROKER_SI_QTY_DEC,EFG FP Equity_DX_SUPPLY_SI_MV,EFG FP Equity_DX_BROKER_SI_MV_DEC,EFG FP Equity_DX_SUPPLY_SI_MV_RMV,EFG FP Equity_DX_BROKER_SI_MV_RMV,EFG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EFG FP Equity_DX_UTILIZATION_QUANTITY,EFG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EFG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EFG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EFG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EFG FP Equity_DX_ACTIVE_UTILIZATION_MV,EFG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EFG FP Equity_DX_BROKER_SI_CON_RATIO,EFG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EFG FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-02-14,64000.0,1437311.09,0.49,0.98,0.49,1.52,0.0,1437311.09,0.0,64000.0,0.0,,,,,,64000.0,,,,,,,,,1.52,,,0.0,,,,0.0,0.0,76345.0,1714554.92,,1.81,0.0,,1.0,100.0,0.8383
2007-02-15,64000.0,1435466.01,0.49,0.9,0.49,1.52,0.0,1435466.01,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,76345.0,1712353.95,,1.79,0.0,,1.0,100.0,0.8383
2007-02-16,64000.0,1448381.52,0.49,0.9,0.49,1.52,0.0,1448381.52,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,76345.0,1727760.74,,1.78,0.0,,1.0,100.0,0.8383
2007-02-19,64000.0,1448381.52,0.49,0.89,0.49,1.52,0.0,1448381.52,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1157460.51,,1.2,0.0,,1.0,100.0,1.2513
2007-02-20,64000.0,1439156.16,0.49,0.88,0.49,1.52,0.0,1439156.16,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1150088.15,,1.2,0.0,,1.0,100.0,1.2513
2007-02-21,64000.0,1445306.4,0.49,0.88,0.49,1.52,0.0,1445306.4,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1155003.06,,1.2,0.0,,1.0,100.0,1.2513
2007-02-22,64000.0,1437926.11,0.49,0.88,0.49,1.52,0.0,1437926.11,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1149105.17,,1.2,0.0,,1.0,100.0,1.2513
2007-02-23,64000.0,1414555.2,0.49,0.87,0.49,1.52,0.0,1414555.2,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1130428.53,,1.19,0.0,,1.0,100.0,1.2513
2007-02-26,64000.0,1409635.01,0.49,0.85,0.49,1.52,0.0,1409635.01,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1126496.6,,1.17,0.0,,1.0,100.0,1.2513
2007-02-27,64000.0,1353052.8,0.49,0.83,0.49,1.52,0.0,1353052.8,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1081279.46,,1.17,0.0,,1.0,100.0,1.2513
