,ALLAM FP Equity_DX_SI_QTY,ALLAM FP Equity_DX_SHORT_INTEREST_VALUE,ALLAM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLAM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLAM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLAM FP Equity_DX_SI_MV,ALLAM FP Equity_DX_DSS,ALLAM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLAM FP Equity_DX_SUPPLY_SI_QTY,ALLAM FP Equity_DX_BROKER_SI_QTY,ALLAM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLAM FP Equity_DX_BROKER_SI_MV_NEW_x,ALLAM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLAM FP Equity_DX_BROKER_SI_MV_INC_x,ALLAM FP Equity_DX_BROKER_SI_QTY_ADD,ALLAM FP Equity_DX_BROKER_SI_QTY_NEW,ALLAM FP Equity_DX_SUPPLY_SI_MV_DEC,ALLAM FP Equity_DX_BROKER_SI_QTY_INC,ALLAM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLAM FP Equity_DX_BROKER_SI_MV_NEW_y,ALLAM FP Equity_DX_BROKER_SI_MV_INC_y,ALLAM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLAM FP Equity_DX_BROKER_SI_MV_ADD,ALLAM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLAM FP Equity_DX_BROKER_SI_QTY_DEC,ALLAM FP Equity_DX_SUPPLY_SI_MV,ALLAM FP Equity_DX_BROKER_SI_MV_DEC,ALLAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLAM FP Equity_DX_UTILIZATION_QUANTITY,ALLAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLAM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLAM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLAM FP Equity_DX_BROKER_SI_CON_RATIO,ALLAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLAM FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,833952.0,0.85,0.0,,0.0,,0.0
2021-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,818315.4,0.83,0.0,,0.0,,0.0
2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,813103.2,0.82,0.0,,0.0,,0.0
2021-04-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,813103.2,0.81,0.0,,0.0,,0.0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,807891.0,0.81,0.0,,0.0,,0.0
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,800072.7,0.82,0.0,,0.0,,0.0
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,787042.2,0.8,0.0,,0.0,,0.0
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,750556.8,0.79,0.0,,0.0,,0.0
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,766193.4,0.75,0.0,,0.0,,0.0
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,768799.5,0.77,0.0,,0.0,,0.0
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,776617.8,0.77,0.0,,0.0,,0.0
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,742738.5,0.78,0.0,,0.0,,0.0
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,776617.8,0.74,0.0,,0.0,,0.0
2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,763587.3,0.78,0.0,,0.0,,0.0
2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,802678.8,0.76,0.0,,0.0,,0.0
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,763587.3,0.77,0.0,,0.0,,0.0
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,792254.4,0.76,0.0,,0.0,,0.0
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,792254.4,0.79,0.0,,0.0,,0.0
2021-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,797466.6,0.79,0.0,,0.0,,0.0
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,792254.4,0.8,0.0,,0.0,,0.0
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,792254.4,0.79,0.0,,0.0,,0.0
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,802678.8,0.79,0.0,,0.0,,0.0
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,807891.0,0.8,0.0,,0.0,,0.0
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,810497.1,0.81,0.0,,0.0,,0.0
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,813103.2,0.81,0.0,,0.0,,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,815709.3,0.81,0.0,,0.0,,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,823527.6,0.82,0.0,,0.0,,0.0
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,815709.3,0.82,0.0,,0.0,,0.0
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,792254.4,0.82,0.0,,0.0,,0.0
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,260610.0,774011.7,0.79,0.0,,0.0,,0.0
