,3CAC FP Equity_DX_SI_QTY,3CAC FP Equity_DX_SHORT_INTEREST_VALUE,3CAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3CAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3CAC FP Equity_DX_SI_MV,3CAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3CAC FP Equity_DX_SUPPLY_SI_QTY,3CAC FP Equity_DX_BROKER_SI_QTY,3CAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3CAC FP Equity_DX_SUPPLY_SI_MV,3CAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3CAC FP Equity_DX_UTILIZATION_QUANTITY,3CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3CAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3CAC FP Equity_DX_ACTIVE_UTILIZATION_MV,3CAC FP Equity_DX_BROKER_SI_CON_RATIO,3CAC FP Equity_DX_DEMAND_SUPPLY_RATIO,3CAC FP Equity_PX_LAST
2023-08-11,,,,,,,,,,,,,,,,,,,50.0
2023-08-14,,,,,,,,,,,,,,,,,,,51.39
2023-08-15,,,,,,,,,,,,,,,,,,,49.76
2023-08-16,,,,,,,,,,,,,,,,,,,49.595
2023-08-17,,,,,,,,,,,,,,,,,,,48.175
2023-08-18,,,,,,,,,,,,,,,,,,,47.635
2023-08-21,,,,,,,,,,,,,,,,,,,48.295
2023-08-22,,,,,,,,,,,,,,,,,,,49.195
2023-08-23,,,,,,,,,,,,,,,,,,,49.285
2023-08-24,,,,,,,,,,,,,,,,,,,48.705
2023-08-25,,,,,,,,,,,,,,,,,,,48.945
2023-08-28,,,,,,,,,,,,,,,,,,,50.91
2023-08-29,,,,,,,,,,,,,,,,,,,51.81
2023-08-30,,,,,,,,,,,,,,,,,,,51.72
2023-08-31,,,,,,,,,,,,,,,,,,,50.84
2023-09-01,,,,,,,,,,,,,,,,,,,50.22
2023-09-04,,,,,,,,,,,,,,,,,,,49.675
2023-09-05,,,,,,,,,,,,,,,,,,,49.055
2023-09-06,,,,,,,,,,,,,,,,,,,47.91
2023-09-07,,,,,,,,,,,,,,,,,,,47.855
2023-09-08,,,,,,,,,,,,,,,,,,,48.87
2023-09-11,,,,,,,,,,,,,,,,,,,49.62
2023-09-12,,,,,,,,,,,,,,,,,,,48.99
2023-09-13,,,,,,,,,,,,,,,,,,,48.615
2023-09-14,,,,,,,,,,,,,,,,,,,50.46
2023-09-15,,,,,,,,,,,,,,,,,,,51.59
2023-09-18,,,,,,,,,,,,,,,,,,,49.165
2023-09-19,,,,,,,,,,,,,,,,,,,49.405
2023-09-20,,,,,,,,,,,,,,,,,,,50.61
2023-09-21,,,,,,,,,,,,,,,,,,,48.11
2023-09-22,,,,,,,,,,,,,,,,,,,47.68
2023-09-25,,,,,,,,,,,,,,,,,,,46.255
2023-09-26,,,,,,,,,,,,,,,,,,,45.305
2023-09-27,,,,,,,,,,,,,,,,,,,45.265
