,EJAP FP Equity_DX_SI_QTY,EJAP FP Equity_DX_SHORT_INTEREST_VALUE,EJAP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EJAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EJAP FP Equity_DX_SI_MV,EJAP FP Equity_DX_DSS,EJAP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EJAP FP Equity_DX_SUPPLY_SI_QTY,EJAP FP Equity_DX_BROKER_SI_QTY,EJAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EJAP FP Equity_DX_BROKER_SI_MV_NEW_x,EJAP FP Equity_DX_SUPPLY_SI_QTY_INC_x,EJAP FP Equity_DX_BROKER_SI_MV_INC_x,EJAP FP Equity_DX_BROKER_SI_QTY_ADD,EJAP FP Equity_DX_BROKER_SI_QTY_NEW,EJAP FP Equity_DX_SUPPLY_SI_MV_DEC,EJAP FP Equity_DX_BROKER_SI_QTY_INC,EJAP FP Equity_DX_SUPPLY_SI_QTY_DEC,EJAP FP Equity_DX_BROKER_SI_MV_NEW_y,EJAP FP Equity_DX_BROKER_SI_MV_INC_y,EJAP FP Equity_DX_SUPPLY_SI_QTY_INC_y,EJAP FP Equity_DX_BROKER_SI_MV_ADD,EJAP FP Equity_DX_SUPPLY_SI_QTY_ADD,EJAP FP Equity_DX_BROKER_SI_QTY_DEC,EJAP FP Equity_DX_SUPPLY_SI_MV,EJAP FP Equity_DX_BROKER_SI_MV_DEC,EJAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EJAP FP Equity_DX_UTILIZATION_QUANTITY,EJAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EJAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EJAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EJAP FP Equity_DX_ACTIVE_UTILIZATION_MV,EJAP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EJAP FP Equity_DX_BROKER_SI_CON_RATIO,EJAP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EJAP FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-10-05,3200.0,395718.4,2.12,3.71,0.4,0.0,395718.4,0.0,3200.0,0.0,,,,3200.0,,,,,,,,0.4,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2017-04-03,6000.0,814746.0,7.66,4.01,0.81,1.0,814746.0,0.0,6000.0,0.0,,,,6000.0,,,,,,,,0.81,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2017-04-04,7600.0,1031760.8,9.7,5.08,1.03,2.0,1031760.8,0.0,7600.0,0.0,,,0.22,,,,1600.0,,,0.22,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,0.0
2017-04-05,7600.0,1029663.2,9.7,5.08,1.03,2.0,1029663.2,0.0,7600.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,0.0
2017-04-06,7600.0,1020307.6,9.7,5.08,1.03,2.0,1020307.6,0.0,7600.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,0.0
2017-04-07,7600.0,1027968.4,9.7,5.08,1.02,2.0,1027968.4,0.0,7600.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.83,0.5,50.17,0.0
2017-04-10,7600.0,1025346.4,9.7,5.08,1.03,2.0,1025346.4,0.0,7600.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.96,0.5,50.04,0.0
2017-04-11,1600.0,215960.0,2.04,1.07,0.22,1.0,215960.0,0.0,1600.0,0.0,,,,,,,,,,,,,,6000.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,49.89,0.5,50.11,0.0
2017-04-12,1600.0,215710.4,2.04,1.07,0.22,1.0,215710.4,0.0,1600.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,0.0
2017-04-13,1600.0,214368.0,2.05,1.07,0.22,1.0,214368.0,0.0,1600.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.97,0.5,50.03,0.0
