,MLJSA FP Equity_PX_LAST
2008-11-28,10.75
2008-12-01,9.7
2008-12-04,11.95
2008-12-05,13.0
2008-12-08,14.3
2008-12-10,15.73
2008-12-11,14.4
2008-12-15,11.9
2008-12-16,13.0
2008-12-17,13.0
2008-12-18,13.5
2008-12-19,13.5
2008-12-22,13.75
2008-12-23,13.9
2008-12-24,13.9
2008-12-29,14.25
2008-12-30,14.35
2009-01-02,14.35
2009-01-05,14.4
2009-01-07,14.0
2009-01-08,14.6
2009-01-09,14.99
2009-01-12,14.01
2009-01-13,14.5
2009-01-14,14.2
2009-01-15,14.6
2009-01-16,13.8
2009-01-19,14.55
2009-01-20,14.0
2009-01-23,14.0
2009-01-26,14.5
2009-01-28,14.65
2009-01-29,14.01
2009-01-30,14.02
2009-02-02,13.8
2009-02-03,12.85
2009-02-04,12.6
2009-02-05,13.6
2009-02-06,12.99
2009-02-10,12.99
2009-02-11,12.51
2009-02-13,12.2
2009-02-16,12.0
2009-02-17,11.99
2009-02-19,12.0
2009-02-20,11.98
2009-02-23,11.0
2009-02-24,11.99
2009-02-25,11.99
2009-02-26,12.55
2009-02-27,11.5
2009-03-02,11.8
2009-03-04,11.9
2009-03-05,12.37
2009-03-06,12.0
2009-03-09,12.36
2009-03-10,11.75
2009-03-11,11.7
2009-03-12,11.7
2009-03-13,11.7
2009-03-17,11.69
2009-03-18,11.5
2009-03-19,11.68
2009-03-20,11.69
2009-03-23,11.5
2009-03-24,11.51
2009-03-25,11.4
2009-03-26,11.19
2009-03-27,11.0
2009-03-31,11.51
2009-04-02,10.5
2009-04-08,10.6
2009-04-09,10.4
2009-04-14,10.0
2009-04-15,9.15
2009-04-17,8.8
2009-04-20,8.2
2009-04-21,7.5
2009-04-22,8.0
2009-04-23,8.0
2009-04-28,7.8
2009-04-29,7.49
2009-04-30,6.8
2009-05-04,7.4
2009-05-05,8.0
2009-05-06,8.75
2009-05-07,8.0
2009-05-08,8.0
2009-05-11,7.5
2009-05-12,8.2
2009-05-13,8.8
2009-05-14,8.84
2009-05-15,8.84
2009-05-20,7.4
2009-05-21,6.85
2009-05-22,7.21
2009-05-25,7.05
2009-05-28,7.01
2009-06-02,6.94
2009-06-03,6.82
2009-06-04,6.3
2009-06-05,6.3
2009-06-09,5.4
2009-06-15,5.48
2009-06-16,5.2
2009-06-19,4.0
2009-06-22,4.0
2009-06-24,3.58
2009-06-26,3.0
2009-06-29,3.0
2009-06-30,3.0
2009-07-01,3.3
2009-07-03,3.63
2009-07-06,3.99
2009-07-07,4.3
2009-07-08,4.7
2009-07-09,4.99
2009-07-10,4.99
2009-07-16,5.39
2009-07-17,5.0
2009-07-21,5.35
2009-07-22,5.0
2009-07-23,4.99
2009-07-28,4.59
2009-07-30,4.0
2009-07-31,3.6
2009-08-03,3.6
2009-08-04,3.55
2009-08-05,3.54
2009-08-06,3.5
2009-08-07,3.5
2009-08-10,3.6
2009-08-11,3.5
2009-08-12,3.5
2009-08-13,3.5
2009-08-14,3.5
2009-08-18,3.5
2009-08-21,3.5
2009-08-24,3.5
2009-08-26,3.6
2009-08-27,3.6
2009-08-28,3.61
2009-08-31,3.61
2009-09-02,3.9
2009-09-03,3.8
2009-09-09,3.74
2009-09-10,3.65
2009-09-11,3.5
2009-09-16,3.45
2009-09-17,3.45
2009-09-18,3.75
2009-09-21,3.6
2009-09-22,3.9
2009-09-23,3.9
2009-09-24,3.99
2009-09-29,3.76
2009-09-30,3.51
2009-10-01,3.5
2009-10-02,3.49
2009-10-05,3.49
2009-10-06,3.48
2009-10-07,3.2
2009-10-09,3.2
2009-10-12,2.9
2009-10-13,3.19
2009-10-15,3.1
2009-10-16,2.89
2009-10-19,2.85
2009-10-20,2.85
2009-10-21,3.13
2009-10-30,3.18
2009-11-02,3.18
2009-11-03,3.48
2009-11-04,3.46
2009-11-06,3.39
2009-11-09,3.2
2009-11-12,2.9
2009-11-13,2.84
2009-11-19,3.1
2009-11-20,3.25
2009-11-23,3.15
2009-11-25,3.01
2009-11-27,3.02
2009-11-30,3.02
2009-12-02,3.02
2009-12-03,3.31
2009-12-07,2.81
2009-12-10,3.09
2009-12-14,2.99
2009-12-15,2.75
2009-12-17,2.38
2009-12-22,2.61
2009-12-23,2.69
2009-12-24,2.95
2009-12-28,2.75
2009-12-29,2.75
2009-12-30,2.74
2009-12-31,2.5
2010-01-04,2.46
2010-01-05,2.46
2010-01-06,2.4
2010-01-07,2.35
2010-01-08,2.35
2010-01-11,2.2
2010-01-12,2.2
2010-01-13,2.01
2010-01-14,1.97
2010-01-15,1.98
2010-01-18,1.85
2010-01-19,1.85
2010-01-20,1.75
2010-01-21,1.76
2010-01-22,1.9
2010-01-25,1.95
2010-01-26,1.95
2010-01-27,1.95
2010-02-01,1.95
2010-02-02,1.94
2010-02-03,1.95
2010-02-04,2.14
2010-02-08,1.9
2010-02-09,1.9
2010-02-10,1.75
2010-02-11,1.81
2010-02-12,1.81
2010-02-15,1.81
2010-02-16,1.81
2010-02-17,1.82
2010-02-18,1.9
2010-02-19,1.94
2010-02-22,2.0
2010-02-23,1.99
2010-02-24,2.04
2010-02-25,2.04
2010-02-26,1.84
2010-03-01,1.84
2010-03-02,1.84
2010-03-03,1.75
2010-03-04,1.7
2010-03-05,1.61
2010-03-08,1.6
2010-03-09,1.61
2010-03-10,1.7
2010-03-11,1.6
2010-03-12,1.7
2010-03-15,1.75
2010-03-16,1.85
2010-03-17,1.95
2010-03-18,1.95
2010-03-19,1.89
2010-03-22,1.89
2010-03-23,1.89
2010-03-24,1.89
2010-03-25,1.94
2010-03-26,2.05
2010-03-29,2.04
2010-03-30,1.84
2010-03-31,1.95
2010-04-01,1.76
2010-04-06,1.76
2010-04-07,1.7
2010-04-08,1.8
2010-04-09,1.9
2010-04-12,1.88
2010-04-13,1.91
2010-04-14,1.8
2010-04-15,1.89
2010-04-16,1.9
2010-04-19,1.77
2010-04-20,1.9
2010-04-21,1.9
2010-04-22,2.02
2010-04-23,1.93
2010-04-26,1.93
2010-04-27,1.93
2010-04-28,2.05
2010-04-29,1.99
2010-04-30,1.98
2010-05-03,1.9
2010-05-04,1.9
2010-05-05,1.9
2010-05-06,1.9
2010-05-07,1.91
2010-05-10,1.93
2010-05-11,1.93
2010-05-12,1.9
2010-05-13,1.9
2010-05-14,1.91
2010-05-17,1.91
2010-05-18,1.91
2010-05-19,1.91
2010-05-20,1.99
2010-05-21,1.98
2010-05-24,1.98
2010-05-25,1.94
2010-05-26,1.8
2010-05-27,1.8
2010-05-28,1.8
2010-05-31,1.86
2010-06-01,1.86
2010-06-02,1.9
2010-06-03,1.85
2010-06-04,1.9
2010-06-07,1.9
2010-06-08,1.95
2010-06-09,1.94
2010-06-10,1.94
2010-06-11,1.94
2010-06-14,1.85
2010-06-15,1.9
2010-06-16,1.94
2010-06-17,1.94
2010-06-18,1.94
2010-06-21,1.94
2010-06-22,1.94
2010-06-23,1.94
2010-06-24,1.94
2010-06-25,1.92
2010-06-28,1.92
2010-06-29,1.95
2010-06-30,1.85
2010-07-01,1.74
2010-07-02,1.8
2010-07-05,1.85
2010-07-06,1.79
2010-07-07,1.79
2010-07-08,1.79
2010-07-09,1.74
2010-07-12,1.79
2010-07-13,1.73
2010-07-14,1.79
2010-07-15,1.64
2010-07-16,1.5
2010-07-19,1.6
2010-07-20,1.73
2010-07-21,1.63
2010-07-22,1.49
2010-07-23,1.6
2010-07-26,1.5
2010-07-27,1.55
2010-07-28,1.6
2010-07-30,1.58
2010-08-02,1.65
2010-08-03,1.5
2010-08-04,1.6
2010-08-05,1.58
2010-08-06,1.5
2010-08-09,1.48
2010-08-10,1.48
2010-08-11,1.48
2010-08-12,1.49
2010-08-13,1.45
2010-08-16,1.44
2010-08-17,1.44
2010-08-18,1.4
2010-08-19,1.39
2010-08-20,1.26
2010-08-23,1.37
2010-08-24,1.37
2010-08-25,1.45
2010-08-27,1.3
2010-08-30,1.17
2010-09-01,1.16
2010-09-02,1.14
2010-09-03,1.13
2010-09-06,1.1
2010-09-07,1.0
2010-09-08,0.99
2010-09-09,0.98
2010-09-10,0.9
2010-09-13,0.81
2010-09-14,0.81
2010-09-15,0.8
2010-09-16,0.72
2010-09-17,0.65
