,MLJSA FP Equity_PX_LAST
2010-09-20,0.7
2010-09-21,0.71
2010-09-22,0.64
2010-09-23,0.59
2010-09-24,0.59
2010-09-27,0.59
2010-09-28,0.59
2010-09-29,0.59
2010-09-30,0.54
2010-10-01,0.52
2010-10-04,0.51
2010-10-06,0.52
2010-10-08,0.57
2010-10-11,0.61
2010-10-12,0.61
2010-10-13,0.61
2010-10-14,0.62
2010-10-15,0.65
2010-10-18,0.62
2010-10-19,0.62
2010-10-20,0.65
2010-10-21,0.61
2010-10-22,0.65
2010-10-25,0.66
2010-10-26,0.7
2010-10-27,0.75
2010-10-28,0.8
2010-10-29,0.79
2010-11-02,0.73
2010-11-03,0.72
2010-11-04,0.72
2010-11-05,0.72
2010-11-08,0.72
2010-11-09,0.72
2010-11-10,0.66
2010-11-11,0.72
2010-11-15,0.65
2010-11-16,0.64
2010-11-17,0.63
2010-11-18,0.62
2010-11-19,0.61
2010-11-22,0.61
2010-11-23,0.6
2010-11-24,0.6
2010-11-25,0.61
2010-11-26,0.55
2010-11-29,0.55
2010-11-30,0.57
2010-12-01,0.54
2010-12-02,0.5
2010-12-03,0.5
2010-12-06,0.53
2010-12-07,0.54
2010-12-08,0.56
2010-12-09,0.56
2010-12-10,0.56
2010-12-13,0.56
2010-12-14,0.56
2010-12-15,0.56
2010-12-16,0.54
2010-12-17,0.55
2010-12-21,0.6
2010-12-22,0.6
2010-12-23,0.64
2010-12-24,0.64
2010-12-27,0.63
2010-12-28,0.63
2010-12-29,0.62
2010-12-30,0.62
2010-12-31,0.62
2011-01-03,0.62
2011-01-05,0.56
2011-01-07,0.48
2011-01-10,0.49
2011-01-11,0.48
2011-01-12,0.48
2011-01-13,0.48
2011-01-14,0.51
2011-01-17,0.51
2011-01-18,0.49
2011-01-19,0.45
2011-01-20,0.47
2011-01-21,0.43
2011-01-24,0.42
2011-01-25,0.4
2011-01-26,0.36
2011-01-27,0.36
2011-01-28,0.36
2011-01-31,0.36
2011-02-01,0.36
2011-02-02,0.36
2011-02-03,0.37
2011-02-04,0.37
2011-02-07,0.35
2011-02-08,0.36
2011-02-09,0.36
2011-02-10,0.36
2011-02-11,0.36
2011-02-14,0.36
2011-02-15,0.37
2011-02-16,0.4
2011-02-17,0.37
2011-02-18,0.4
2011-02-21,0.36
2011-02-22,0.36
2011-02-23,0.36
2011-02-24,0.36
2011-02-25,0.36
2011-02-28,0.33
2011-03-01,0.33
2011-03-02,0.35
2011-03-03,0.35
2011-03-04,0.35
2011-03-07,0.35
2011-03-08,0.35
2011-03-09,0.35
2011-03-10,0.37
2011-03-14,0.34
2011-03-15,0.34
2011-03-16,0.34
2011-03-17,0.34
2011-03-18,0.34
2011-03-21,0.31
2011-03-22,0.31
2011-03-23,0.28
2011-03-24,0.29
2011-03-28,0.32
2011-03-29,0.32
2011-03-30,0.31
2011-03-31,0.31
2011-04-01,0.31
2011-04-05,0.37
2011-04-06,0.36
2011-04-07,0.35
2011-04-08,0.34
2011-04-11,0.34
2011-04-13,0.28
2011-04-14,0.27
2011-04-15,0.26
2011-04-18,0.26
2011-04-19,0.25
2011-04-21,0.27
2011-04-27,0.28
2011-04-28,0.28
2011-04-29,0.27
2011-05-02,0.28
2011-05-03,0.27
2011-05-04,0.27
2011-05-05,0.25
2011-05-06,0.24
2011-05-12,0.26
2011-05-13,0.26
2011-05-16,0.24
2011-05-17,0.24
2011-05-18,0.24
2011-05-19,0.23
2011-05-20,0.23
2011-05-23,0.23
2011-05-24,0.23
2011-05-25,0.23
2011-05-26,0.23
2011-05-27,0.23
2011-05-30,0.23
2011-05-31,0.23
2011-06-01,0.23
2011-06-02,0.23
2011-06-03,0.25
2011-06-06,0.27
2011-06-07,0.29
2011-06-08,0.29
2011-06-09,0.29
2011-06-10,0.29
2011-06-13,0.29
2011-06-14,0.3
2011-06-16,0.33
2011-06-17,0.36
2011-06-20,0.37
2011-06-21,0.37
2011-06-22,0.37
2011-06-23,0.36
2011-06-24,0.36
2011-06-27,0.36
2011-06-28,0.35
2011-06-29,0.34
2011-06-30,0.34
2011-07-01,0.34
2011-07-04,0.31
2011-07-05,0.31
2011-07-06,0.31
2011-07-07,0.31
2011-07-08,0.31
2011-07-11,0.31
2011-07-12,0.31
2011-07-13,0.31
2011-07-14,0.31
2011-07-15,0.31
2011-07-18,0.31
2011-07-19,0.31
2011-07-20,0.31
2011-07-21,0.31
2011-07-22,0.31
2011-07-25,0.31
2011-07-26,0.31
2011-07-27,0.31
2011-07-28,0.31
2011-07-29,0.31
2011-08-01,0.31
2011-08-02,0.31
2011-08-03,0.31
2011-08-04,0.29
2011-08-05,0.29
2011-08-08,0.29
2011-08-09,0.29
2011-08-12,0.23
2011-08-18,0.3
2011-08-19,0.29
2011-08-22,0.29
2011-08-23,0.29
2011-08-24,0.29
2011-08-25,0.3
2011-08-26,0.29
2011-08-29,0.29
2011-08-30,0.3
2011-08-31,0.29
2011-09-01,0.29
2011-09-02,0.29
2011-09-05,0.29
2011-09-06,0.3
2011-09-07,0.29
2011-09-08,0.29
2011-09-09,0.28
2011-09-12,0.28
2011-09-13,0.28
2011-09-14,0.28
2011-09-15,0.28
2011-09-16,0.28
2011-09-19,0.27
2011-09-20,0.27
2011-09-21,0.27
2011-09-22,0.27
2011-09-23,0.27
2011-09-26,0.27
2011-09-27,0.27
2011-09-28,0.26
2011-09-29,0.26
2011-09-30,0.26
2011-10-03,0.26
2011-10-04,0.26
2011-10-05,0.26
2011-10-06,0.26
2011-10-07,0.26
2011-10-10,0.26
2011-10-11,0.26
2011-10-12,0.26
2011-10-13,0.26
2011-10-14,0.26
2011-10-17,0.26
2011-10-18,0.26
2011-10-19,0.26
2011-10-20,0.26
2011-10-21,0.26
2011-10-24,0.25
2011-10-25,0.25
2011-10-26,0.25
2011-10-27,0.24
2011-10-28,0.24
2011-10-31,0.23
2011-11-01,0.23
2011-11-02,0.22
2011-11-03,0.2
2011-11-04,0.22
2011-11-07,0.21
2011-11-08,0.21
2011-11-09,0.19
2011-11-11,0.18
2011-11-14,0.17
2011-11-16,0.16
2011-11-17,0.15
2011-11-18,0.15
2011-11-21,0.15
2011-11-22,0.15
2011-11-23,0.15
2011-11-24,0.16
2011-11-25,0.17
2011-11-28,0.17
2011-11-29,0.18
2011-11-30,0.18
2011-12-01,0.18
2011-12-02,0.18
2011-12-05,0.18
2011-12-06,0.18
2011-12-07,0.18
2011-12-08,0.18
2011-12-09,0.18
2011-12-12,0.18
2011-12-13,0.18
2011-12-14,0.18
2011-12-15,0.18
2011-12-16,0.18
2011-12-19,0.18
2011-12-20,0.18
2011-12-21,0.18
2011-12-22,0.18
2011-12-23,0.18
2011-12-27,0.17
2011-12-28,0.17
2011-12-29,0.17
2011-12-30,0.18
2012-01-02,0.18
2012-01-03,0.17
2012-01-04,0.17
2012-01-05,0.17
2012-01-06,0.17
2012-01-10,0.18
2012-01-11,0.18
2012-01-12,0.18
2012-01-13,0.18
2012-01-16,0.17
2012-01-17,0.17
2012-01-18,0.18
2012-01-19,0.18
2012-01-20,0.18
2012-01-23,0.18
2012-01-24,0.18
2012-01-25,0.18
2012-01-26,0.19
2012-01-27,0.2
2012-01-30,0.19
2012-01-31,0.19
2012-02-01,0.19
2012-02-02,0.19
2012-02-03,0.19
2012-02-06,0.19
2012-02-07,0.19
2012-02-08,0.19
2012-02-09,0.19
2012-02-10,0.19
2012-02-13,0.19
2012-02-14,0.18
2012-02-15,0.19
2012-02-16,0.19
2012-02-17,0.2
2012-02-20,0.19
2012-02-21,0.18
2012-02-22,0.19
2012-02-23,0.19
2012-02-24,0.19
2012-02-27,0.19
2012-02-28,0.19
2012-03-01,0.18
2012-03-02,0.18
2012-03-05,0.18
2012-03-06,0.19
2012-03-07,0.2
2012-03-08,0.18
2012-03-09,0.18
2012-03-12,0.18
2012-03-13,0.18
2012-03-14,0.19
2012-03-15,0.2
2012-03-16,0.2
2012-03-19,0.21
2012-03-21,0.19
2012-03-22,0.19
2012-03-23,0.19
2012-03-26,0.2
2012-03-28,0.18
2012-03-29,0.19
2012-03-30,0.19
2012-04-02,0.2
2012-04-03,0.2
2012-04-04,0.2
2012-04-12,0.15
2012-04-16,0.15
2012-04-18,0.13
2012-04-19,0.14
2012-04-20,0.15
2012-04-24,0.14
2012-04-25,0.14
2012-04-26,0.14
2012-04-27,0.15
2012-04-30,0.15
2012-05-02,0.15
2012-05-03,0.15
2012-05-07,0.14
2012-05-08,0.14
2012-05-09,0.14
2012-05-10,0.14
2012-05-11,0.13
2012-05-14,0.13
2012-05-17,0.11
2012-05-18,0.11
2012-05-21,0.1
2012-05-22,0.1
2012-05-23,0.1
2012-05-24,0.1
2012-05-25,0.1
2012-05-28,0.1
2012-05-29,0.1
2012-05-30,0.1
2012-05-31,0.1
2012-06-04,0.09
2012-06-05,0.09
2012-06-06,0.09
2012-06-07,0.09
2012-06-08,0.09
2012-06-11,0.09
2012-06-12,0.09
2012-06-13,0.09
2012-06-14,0.09
2012-06-18,0.07
2012-06-19,0.08
2012-06-22,0.05
2012-06-25,0.05
2012-06-26,0.05
2012-06-28,0.03
2012-06-29,0.04
2012-07-02,0.05
2012-07-03,0.05
2012-07-04,0.05
2012-07-05,0.05
2012-07-09,0.06
2012-07-10,0.07
2012-07-11,0.08
2012-07-12,0.08
2012-07-13,0.09
2012-07-16,0.1
2012-07-17,0.11
2012-07-20,0.14
2012-07-23,0.13
2012-07-24,0.13
2012-07-25,0.13
2012-07-26,0.13
2012-07-27,0.13
2012-07-30,0.13
2012-07-31,0.13
2012-08-03,0.11
2012-08-07,0.1
2012-08-10,0.07
2012-08-13,0.06
2012-08-14,0.07
2012-08-15,0.08
2012-08-16,0.09
2012-08-17,0.1
2012-08-21,0.11
2012-08-22,0.11
2012-08-23,0.11
2012-08-24,0.11
2012-08-27,0.11
2012-08-28,0.11
2012-08-29,0.11
2012-08-30,0.11
2012-08-31,0.11
2012-09-03,0.11
2012-09-04,0.11
2012-09-10,0.07
2012-09-11,0.08
2012-09-12,0.08
2012-09-13,0.08
2012-09-14,0.08
2012-09-17,0.08
2012-09-18,0.08
2012-09-19,0.07
2012-09-20,0.08
2012-09-21,0.08
2012-09-24,0.08
2012-09-25,0.09
2012-09-26,0.09
2012-09-27,0.09
2012-09-28,0.09
2012-10-01,0.08
2012-10-02,0.08
2012-10-03,0.09
2012-10-05,0.11
2012-10-08,0.1
2012-10-09,0.1
2012-10-10,0.1
2012-10-11,0.1
2012-10-12,0.1
2012-10-15,0.1
2012-10-18,0.07
2012-10-19,0.07
2012-10-22,0.07
2012-10-23,0.08
2012-10-24,0.07
2012-10-25,0.07
2012-10-26,0.07
2012-10-29,0.07
2012-10-30,0.07
2012-11-01,0.07
2012-11-05,0.06
2012-11-06,0.06
2012-11-07,0.06
2012-11-08,0.05
2012-11-09,0.05
2012-11-12,0.06
2012-11-14,0.04
2012-11-16,0.05
2012-11-19,0.05
2012-11-20,0.04
2012-11-21,0.05
2012-11-22,0.05
2012-11-23,0.05
2012-11-26,0.05
2012-11-27,0.05
2012-11-28,0.05
2012-11-29,0.05
2012-11-30,0.05
2012-12-03,0.04
2012-12-04,0.04
2012-12-10,0.08
2012-12-11,0.07
2012-12-12,0.08
2012-12-13,0.07
2012-12-14,0.08
2012-12-17,0.08
2012-12-18,0.08
2012-12-19,0.09
2012-12-20,0.09
2012-12-21,0.09
2012-12-24,0.09
2012-12-27,0.09
2012-12-28,0.09
2012-12-31,0.09
2013-01-02,0.1
2013-01-03,0.1
2013-01-04,0.1
2013-01-07,0.1
2013-01-08,0.1
2013-01-09,0.1
2013-01-10,0.1
2013-01-11,0.1
2013-01-14,0.09
2013-01-15,0.09
2013-01-16,0.09
2013-01-17,0.09
2013-01-18,0.09
2013-01-21,0.09
2013-01-22,0.09
2013-01-23,0.09
2013-01-24,0.09
2013-01-25,0.08
2013-01-28,0.08
2013-01-29,0.09
2013-01-30,0.09
2013-01-31,0.09
2013-02-01,0.08
2013-02-04,0.08
2013-02-05,0.08
2013-02-06,0.08
2013-02-07,0.07
2013-02-08,0.07
2013-02-11,0.07
2013-02-12,0.07
2013-02-13,0.08
2013-02-14,0.08
2013-02-15,0.08
2013-02-18,0.09
2013-02-19,0.09
2013-02-20,0.08
2013-02-21,0.08
2013-02-22,0.08
2013-02-25,0.07
2013-02-26,0.07
2013-02-27,0.07
2013-02-28,0.07
2013-03-01,0.07
2013-03-06,0.1
2013-03-07,0.1
2013-03-08,0.11
2013-03-11,0.11
2013-03-12,0.11
2013-03-14,0.13
2013-03-19,0.1
2013-03-20,0.11
2013-03-21,0.11
2013-03-22,0.1
2013-03-25,0.1
2013-03-26,0.1
2013-03-27,0.09
2013-03-28,0.09
2013-04-02,0.09
2013-04-03,0.1
2013-04-04,0.1
2013-04-05,0.11
2013-04-08,0.11
2013-04-09,0.1
2013-04-10,0.11
2013-04-11,0.11
2013-04-12,0.1
2013-04-15,0.1
2013-04-16,0.11
2013-04-18,0.1
2013-04-19,0.1
2013-04-22,0.1
2013-04-23,0.11
2013-04-24,0.1
2013-04-25,0.09
2013-04-26,0.1
2013-04-29,0.1
2013-04-30,0.1
2013-05-02,0.11
2013-05-03,0.1
2013-05-06,0.1
2013-05-07,0.1
2013-05-08,0.1
2013-05-09,0.1
2013-05-10,0.11
2013-05-13,0.1
2013-05-14,0.1
2013-05-15,0.1
2013-05-16,0.1
2013-05-17,0.09
2013-05-20,0.09
2013-05-21,0.1
2013-05-22,0.1
2013-05-23,0.1
2013-05-24,0.09
2013-05-27,0.09
2013-05-28,0.09
2013-05-29,0.1
2013-05-30,0.09
2013-05-31,0.09
2013-06-03,0.08
2013-06-04,0.08
2013-06-05,0.09
2013-06-06,0.09
2013-06-07,0.09
2013-06-12,0.07
2013-06-13,0.06
2013-06-14,0.07
2013-06-17,0.07
2013-06-18,0.07
2013-06-19,0.08
2013-06-20,0.09
2013-06-21,0.1
2013-06-24,0.1
2013-06-25,0.1
2013-06-26,0.1
2013-06-27,0.1
2013-06-28,0.1
2013-07-01,0.1
2013-07-02,0.1
2013-07-03,0.1
2013-07-04,0.09
2013-07-05,0.09
2013-07-08,0.09
2013-07-09,0.09
2013-07-10,0.08
2013-07-11,0.07
2013-07-15,0.06
2013-07-16,0.07
2013-07-17,0.07
2013-07-18,0.07
2013-07-19,0.07
2013-07-22,0.07
2013-07-24,0.07
2013-07-25,0.07
2013-07-26,0.07
2013-07-29,0.07
2013-07-31,0.05
2013-08-01,0.04
2013-08-02,0.05
2013-08-05,0.05
2013-08-06,0.06
2013-08-07,0.06
2013-08-08,0.06
2013-08-09,0.06
2013-09-11,0.42
2013-09-30,0.17
2013-10-01,0.17
2013-10-03,0.16
2013-10-04,0.16
2013-10-08,0.17
2013-10-09,0.17
2013-10-10,0.17
2013-10-14,0.18
2013-10-15,0.17
2013-10-16,0.17
2013-10-17,0.17
2013-10-18,0.17
2013-10-21,0.17
2013-10-22,0.17
2013-10-23,0.17
2013-10-24,0.17
2013-10-25,0.17
2013-10-28,0.17
2013-10-29,0.16
2013-10-30,0.16
2013-10-31,0.16
2013-11-01,0.16
2013-11-04,0.16
2013-11-05,0.17
2013-11-06,0.17
2013-11-07,0.18
2013-11-08,0.18
2013-11-11,0.18
2013-11-13,0.19
2013-11-19,0.16
2013-11-20,0.17
2013-11-21,0.18
2013-11-22,0.19
2013-11-26,0.18
2013-11-27,0.18
2013-11-29,0.19
2013-12-02,0.19
2013-12-03,0.19
2013-12-04,0.19
2013-12-05,0.2
2013-12-06,0.2
2013-12-09,0.2
2013-12-10,0.2
2013-12-11,0.2
2013-12-12,0.2
2013-12-13,0.2
2013-12-16,0.2
2013-12-17,0.2
2013-12-18,0.2
2013-12-19,0.2
2013-12-24,0.16
2013-12-27,0.15
2013-12-30,0.15
2014-01-02,0.17
2014-01-03,0.17
2014-01-06,0.17
2014-01-07,0.17
2014-01-08,0.17
2014-01-16,0.11
2014-01-21,0.13
2014-01-22,0.13
2014-01-23,0.13
2014-01-24,0.13
2014-01-27,0.13
2014-01-29,0.12
2014-01-30,0.12
2014-01-31,0.12
2014-02-04,0.1
2014-02-05,0.1
2014-02-06,0.11
2014-02-07,0.11
2014-02-10,0.12
2014-02-11,0.12
2014-02-12,0.12
2014-02-14,0.12
2014-02-17,0.12
2014-02-18,0.12
2014-02-19,0.12
2014-02-26,0.07
2019-02-07,0.0005
2019-03-08,0.15
2019-03-11,0.15
2019-03-12,0.17
2019-03-13,0.2
2019-03-15,0.2
2019-03-18,0.242
2019-03-28,1.07
2019-03-29,1.28
2019-04-02,1.35
2019-04-03,1.15
2019-04-04,1.38
2019-04-05,1.37
2019-04-09,1.3
2019-04-30,1.2
2019-05-21,0.39
2019-05-27,0.68
2019-05-29,1.0
2019-06-04,0.84
2019-06-10,0.5
2019-06-11,0.5
2019-06-13,0.5
2019-06-17,0.366
2019-06-19,0.5
2019-07-01,0.5
2019-07-05,0.8
2019-07-08,0.8
2019-07-24,0.75
2019-08-09,0.8
2019-09-13,0.432
2019-09-16,0.44
2019-09-20,0.615
2019-10-07,0.55
2019-10-09,0.65
2019-11-11,0.206
2019-11-12,0.22
2019-11-13,0.23
2019-11-15,0.302
2019-11-22,0.296
2019-12-05,0.62
2019-12-10,0.585
2020-01-06,0.56
2020-01-27,0.45
2020-01-30,0.46
2020-02-05,0.51
2020-02-07,0.55
2020-02-12,0.496
2020-02-25,0.36
2020-02-27,0.3
2020-03-05,0.3
2020-03-09,0.362
2020-03-18,0.478
2020-03-26,0.45
2020-04-23,0.4
2020-06-04,0.3
2020-06-05,0.316
2020-06-08,0.32
2020-06-09,0.318
2020-06-12,0.32
2020-06-18,0.24
2020-06-26,0.25
2020-07-03,0.25
2020-07-23,0.322
2020-07-30,0.45
2020-07-31,0.4
2020-08-13,0.27
2020-08-17,0.39
2020-08-21,0.424
2020-08-25,0.424
2020-08-26,0.424
2020-08-27,0.424
2020-08-28,0.424
2020-09-17,0.675
2020-09-18,0.81
2020-09-21,0.8
2020-10-02,0.428
2020-10-05,0.55
2020-10-06,0.55
2020-10-13,0.448
2020-11-12,0.44
2020-12-04,0.635
2020-12-07,0.695
2020-12-09,0.915
2020-12-11,0.7
2020-12-14,0.7
2020-12-15,0.7
2020-12-16,0.7
2020-12-21,0.7
2020-12-22,0.7
2020-12-23,0.84
2020-12-24,0.84
2021-01-04,0.5
2021-01-05,0.505
2021-01-06,0.55
2021-01-08,0.5
2021-01-11,0.55
2021-01-12,0.55
2021-01-15,0.65
2021-01-18,0.63
2021-01-21,0.62
2021-01-25,0.56
2021-02-02,0.56
2021-02-03,0.56
2021-02-08,0.56
2021-02-09,0.64
2021-02-10,0.63
2021-02-15,0.64
2021-02-19,0.64
2021-02-22,0.64
2021-02-24,0.47
2021-03-02,0.5
2021-03-04,0.635
2021-03-08,0.635
2021-03-09,0.65
2021-03-12,0.65
2021-03-15,0.65
2021-03-16,0.65
2021-03-18,0.65
2021-03-22,0.65
2021-03-24,0.645
2021-03-29,0.64
2021-04-01,0.65
2021-04-06,0.65
2021-04-07,0.57
2021-04-12,0.645
2021-04-14,0.484
2021-04-16,0.635
2021-04-19,0.54
2021-04-26,0.64
2021-04-27,0.54
2021-04-28,0.63
2021-04-29,0.65
2021-05-03,0.7
2021-05-04,0.8
2021-05-05,0.78
2021-05-06,0.78
2021-05-10,0.75
2021-05-19,0.655
2021-05-20,0.78
2021-05-21,0.78
2021-05-26,0.8
2021-06-03,0.8
2021-06-07,0.8
2021-06-14,0.9
2021-06-21,0.85
2021-06-24,0.75
