,TE FP Equity_DX_SI_QTY,TE FP Equity_DX_SHORT_INTEREST_VALUE,TE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TE FP Equity_DX_SI_MV,TE FP Equity_DX_DSS,TE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TE FP Equity_DX_SUPPLY_SI_QTY,TE FP Equity_DX_BROKER_SI_QTY,TE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TE FP Equity_DX_BROKER_SI_MV_NEW_x,TE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,TE FP Equity_DX_SUPPLY_SI_QTY_INC_x,TE FP Equity_DX_BROKER_SI_MV_INC_x,TE FP Equity_DX_SUPPLY_SI_MV_NEW,TE FP Equity_DX_BROKER_SI_QTY_ADD,TE FP Equity_DX_BROKER_SI_QTY_NEW,TE FP Equity_DX_SUPPLY_SI_MV_DEC,TE FP Equity_DX_BROKER_SI_QTY_INC,TE FP Equity_DX_SUPPLY_SI_QTY_DEC,TE FP Equity_DX_BROKER_SI_MV_NEW_y,TE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,TE FP Equity_DX_BROKER_SI_MV_INC_y,TE FP Equity_DX_SUPPLY_SI_QTY_INC_y,TE FP Equity_DX_BROKER_SI_MV_ADD,TE FP Equity_DX_SUPPLY_SI_QTY_ADD,TE FP Equity_DX_BROKER_SI_QTY_DEC,TE FP Equity_DX_SUPPLY_SI_MV,TE FP Equity_DX_BROKER_SI_MV_DEC,TE FP Equity_DX_SUPPLY_SI_MV_RMV,TE FP Equity_DX_BROKER_SI_MV_RMV,TE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TE FP Equity_DX_UTILIZATION_QUANTITY,TE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TE FP Equity_DX_ACTIVE_UTILIZATION_MV,TE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TE FP Equity_DX_BROKER_SI_CON_RATIO,TE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TE FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-02-16,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,62558.0,794486.6,,0.8,0.0,,0.0,,0.0
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,65784.0,843350.88,,0.84,0.0,,0.0,,0.0
2021-02-18,62487.0,793584.9,0.03,0.16,0.03,0.79,0.0,0.0,62487.0,0.0,793584.9,,,,,,,,,,,,,,,,62487.0,,0.79,,,,29.55,29.55,148961.0,1891804.7,,1.98,28.58,,1.0,100.0,0.2955
2021-02-19,104320.0,1282092.8,0.06,0.24,0.06,1.39,0.0,0.0,104320.0,0.0,1282092.8,,,,,,,,0.79,,62487.0,,,,,,104320.0,,1.39,,,,70.03,70.03,44641.0,548637.89,,0.59,70.09,,1.0,100.0,0.7003
2021-02-22,104320.0,1204896.0,0.06,0.21,0.06,1.28,0.0,0.0,104320.0,0.0,1204896.0,,,,,,,,,,,,,,,,,,1.28,,,,16.03,16.03,546467.0,6311693.85,,6.67,16.12,,1.0,100.0,0.1603
2021-02-23,1853206.0,21747372.41,1.03,3.32,1.03,21.76,1.0,13535125.53,762295.0,1153398.0,8945531.82,,,,,,1153398.0,,,,,,,,,13.57,657975.0,,8.93,,,,59.83,59.83,511781.0,6005750.04,,6.04,59.68,34.63,0.2834,35.67,1.4545
2021-02-24,3541413.0,39876310.38,3.93,5.41,1.97,41.57,1.0,14785967.66,2596127.0,1313141.0,29232390.02,,,58500.0,1.68,,29400.0,,0.01,130343.0,10.0,,,1.68,58500.0,0.35,1775342.0,,30.2,,,,57.78,57.78,1897348.0,21364138.48,,20.73,59.3,22.66,0.3873,56.84,0.7881
2021-02-25,4393371.0,44373047.1,4.88,6.41,2.44,49.14,1.0,14967624.3,3449003.0,1481943.0,34834930.3,,,170864.0,0.66,,108686.0,,0.0,79916.0,9.0,,,0.66,170864.0,1.27,682021.0,19800.0,38.14,0.23,,,60.43,60.43,2258014.0,22805941.4,,23.47,61.91,18.27,0.3882,58.28,0.7698
2021-02-26,4967924.0,53082267.94,5.51,6.17,2.76,51.22,1.0,21755792.61,3501195.0,2036106.0,37410268.58,,,9737.0,3.01,,114499.0,,0.7,439664.0,64342.0,,,3.01,9737.0,1.22,106797.0,,35.97,,,,53.28,53.28,3069839.0,32801229.72,,30.02,54.51,22.66,0.3402,52.32,0.756
2021-03-01,5075511.0,59205835.82,5.63,5.7,2.82,56.11,1.0,29585799.52,3191510.0,2536288.0,37228964.15,,,17757.0,6.09,,18010.0,,5.23,501800.0,502445.0,,,6.09,17757.0,0.19,175003.0,19628.0,35.32,0.1,,,45.64,45.64,3801259.0,44341686.24,,40.46,46.61,21.83,0.2517,42.05,0.7258
2021-03-02,4967483.0,56703818.45,5.52,5.17,2.76,57.34,1.0,28180667.1,3136130.0,2468740.0,35798923.95,,,119.0,1.73,,,,0.5,32963.0,64746.0,,,1.73,119.0,,9247.0,100511.0,35.73,0.81,,,35.86,35.86,5609883.0,64036814.45,,63.26,36.1,23.59,0.2522,41.28,0.568
2021-03-03,4716727.0,52921676.94,5.24,4.66,2.62,53.67,1.0,25481495.16,3063216.0,2271078.0,34369283.52,,,,0.0,,,,0.96,200.0,81414.0,,,0.0,,,8500.0,197862.0,34.66,2.67,,,31.83,31.83,6560346.0,73607082.12,,72.94,32.21,21.21,0.2599,43.33,0.4901
2021-03-04,5148931.0,56766964.28,5.72,4.95,2.86,58.22,1.0,30124180.8,3664254.0,2732352.0,40398400.35,,,606783.0,0.11,,613000.0,,2.67,16000.0,234225.0,,,0.11,606783.0,6.99,228480.0,167726.0,41.34,2.12,,,38.66,38.66,5814914.0,64109426.85,,64.0,39.25,17.07,0.1948,35.93,0.5432
2021-03-05,5035467.0,58663190.55,5.59,4.73,2.8,56.82,1.0,32472883.8,3489138.0,2787372.0,40648457.7,,,67215.0,3.2,,,,3.86,270095.0,340183.0,,,3.2,67215.0,,97852.0,215075.0,39.04,2.56,,,35.77,35.77,6264299.0,72979083.35,,68.72,36.23,17.27,0.1859,33.8,0.5163
2021-03-08,4730402.0,57900120.48,5.25,4.26,2.63,56.16,1.0,29801156.4,3280808.0,2434735.0,40157089.92,,,14142.0,,,,,2.5,,234598.0,,,,14142.0,,12126.0,352637.0,37.7,2.7,,,33.06,33.06,6643028.0,81310662.72,,76.54,33.0,18.49,0.1872,32.81,0.4767
2021-03-09,4200942.0,53267944.56,4.67,3.62,2.34,51.15,1.0,22807592.08,2826841.0,1798706.0,35844343.88,,,21998.0,1.28,,,,5.86,52221.0,506814.0,,,1.28,21998.0,,30849.0,688250.0,32.95,7.92,,,27.25,27.25,7547066.0,95696796.88,,90.85,26.61,21.44,0.2149,36.11,0.405
2021-03-10,4150577.0,52567057.71,4.61,3.44,2.31,49.43,1.0,23580140.28,2693491.0,1861835.0,34113063.52,,,80245.0,2.94,,,,2.63,229363.0,218295.0,,,2.94,80245.0,,4700.0,166234.0,29.8,1.69,,,26.01,26.01,7660157.0,97015888.41,,94.27,24.02,21.07,0.2085,33.81,0.4009
2021-03-11,2757496.0,34261887.8,3.06,2.24,1.53,35.58,1.0,27168641.68,886286.0,2186611.0,11012103.55,,,,3.86,,,,19.3,324776.0,1862826.0,,,3.86,,,55621.0,,11.19,,,,6.84,6.84,12073265.0,150010317.63,,149.72,6.96,26.52,0.2201,35.73,0.2128
2021-03-12,2821510.0,35551026.0,3.13,2.24,1.57,36.21,1.0,26331631.2,1011357.0,2089812.0,12743098.2,,,99289.0,,,,,2.31,,181799.0,,,,99289.0,,207581.0,96799.0,12.57,1.2,,,7.62,7.62,12253112.0,154389211.2,,151.82,7.65,23.82,0.2044,34.08,0.2127
2021-03-15,2613897.0,34006799.97,2.9,2.04,1.45,34.3,1.0,26191458.79,872991.0,2013179.0,11357612.91,,,,0.15,,,,1.7,11622.0,138366.0,,,0.15,,,,88255.0,11.0,1.01,,,6.58,6.58,12388021.0,161168153.21,,157.13,6.55,21.61,0.2102,36.27,0.1971
2021-03-16,2786282.0,39063673.64,3.1,2.12,1.55,38.21,1.0,30105959.16,908341.0,2147358.0,12734940.82,,,81470.0,2.96,,,,0.78,134179.0,63896.0,,,2.96,81470.0,,17776.0,,11.84,,,,6.85,6.85,12356462.0,173237597.24,,165.44,6.68,20.93,0.2239,38.91,0.2101
2021-03-17,2414643.0,35483178.89,2.68,1.78,1.34,34.47,1.0,29463724.82,667624.0,2005017.0,9810734.68,,,13700.0,,,,,3.18,,254417.0,,,,13700.0,,,142341.0,9.34,2.15,,,5.04,5.04,12574403.0,184780852.09,,178.27,4.98,23.01,0.2765,45.37,0.1823
2021-03-18,2398772.0,32623299.2,2.66,1.71,1.33,34.05,1.0,26785540.0,646240.0,1969525.0,8788864.0,,,31531.0,0.14,,,,0.93,8553.0,67445.0,,,0.14,31531.0,,14530.0,44045.0,9.48,0.27,,,4.86,4.86,12638477.0,171883287.2,,177.02,5.08,22.56,0.2539,42.69,0.1806
