,EKI FP Equity_DX_SI_QTY,EKI FP Equity_DX_SHORT_INTEREST_VALUE,EKI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EKI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EKI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EKI FP Equity_DX_SI_MV,EKI FP Equity_DX_DSS,EKI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EKI FP Equity_DX_SUPPLY_SI_QTY,EKI FP Equity_DX_BROKER_SI_QTY,EKI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EKI FP Equity_DX_BROKER_SI_MV_NEW_x,EKI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EKI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EKI FP Equity_DX_BROKER_SI_MV_INC_x,EKI FP Equity_DX_SUPPLY_SI_MV_NEW,EKI FP Equity_DX_BROKER_SI_QTY_ADD,EKI FP Equity_DX_BROKER_SI_QTY_NEW,EKI FP Equity_DX_SUPPLY_SI_MV_DEC,EKI FP Equity_DX_BROKER_SI_QTY_INC,EKI FP Equity_DX_SUPPLY_SI_QTY_DEC,EKI FP Equity_DX_BROKER_SI_MV_NEW_y,EKI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EKI FP Equity_DX_BROKER_SI_MV_INC_y,EKI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EKI FP Equity_DX_BROKER_SI_MV_ADD,EKI FP Equity_DX_SUPPLY_SI_QTY_ADD,EKI FP Equity_DX_BROKER_SI_QTY_DEC,EKI FP Equity_DX_SUPPLY_SI_MV,EKI FP Equity_DX_BROKER_SI_MV_DEC,EKI FP Equity_DX_BROKER_SI_MV_RMV,EKI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EKI FP Equity_DX_UTILIZATION_QUANTITY,EKI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EKI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EKI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EKI FP Equity_DX_ACTIVE_UTILIZATION_MV,EKI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EKI FP Equity_DX_BROKER_SI_CON_RATIO,EKI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EKI FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-10-26,20983.0,142264.74,0.57,0.25,0.35,0.14,0.0,142264.74,0.0,20983.0,0.0,,,,0.0,,10000.0,,,100.0,,,,0.0,,0.07,,1000.0,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,35.15,0.3641,47.47,0.0
2016-10-27,19483.0,146901.82,0.53,0.25,0.32,0.13,0.0,146901.82,0.0,19483.0,0.0,,,,,,,,,,,,,,,,,1500.0,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,29.77,0.3635,50.5,0.0
2016-10-28,13063.0,99409.43,0.36,0.17,0.22,0.1,0.0,99409.43,0.0,13063.0,0.0,,,,,,,,,,,,,,,,,6420.0,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,15.29,0.6063,75.83,0.0
2016-10-31,14063.0,111097.7,0.38,0.19,0.23,0.11,0.0,111097.7,0.0,14063.0,0.0,,,,0.01,,,,,1000.0,,,,0.01,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.91,0.5403,70.48,0.0
2016-11-01,14000.0,110880.0,0.38,0.25,0.23,0.11,0.0,110880.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,63.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.5494,71.29,0.0
2016-11-02,14000.0,105980.0,0.38,0.26,0.23,0.11,0.0,105980.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.51,0.5537,71.66,0.0
2016-11-03,14000.0,103040.0,0.38,0.27,0.23,0.11,0.0,103040.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.5599,72.2,0.0
2016-11-04,14000.0,101500.0,0.38,0.26,0.23,0.1,0.0,101500.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.64,0.5498,71.32,0.0
2016-11-07,14000.0,97160.0,0.38,0.27,0.23,0.1,0.0,97160.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.94,0.5514,71.45,0.0
2016-11-08,14000.0,96180.0,0.28,0.26,0.19,0.1,0.0,96180.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.19,0.5438,70.79,0.0
2016-11-09,14000.0,96180.0,0.28,0.27,0.19,0.1,0.0,96180.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.18,0.5429,70.71,0.0
2016-11-10,14000.0,102060.0,0.28,0.25,0.19,0.1,0.0,102060.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.94,0.5416,70.6,0.0
2016-11-11,14000.0,100660.0,0.28,0.24,0.19,0.1,0.0,100660.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.24,0.5535,71.65,0.0
2016-11-14,14000.0,103320.0,0.28,0.25,0.19,0.1,0.0,103320.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.53,0.5492,71.27,0.0
2016-11-15,14000.0,108920.0,0.28,0.24,0.19,0.1,0.0,108920.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.89,0.5422,70.65,0.0
2016-11-16,14000.0,106540.0,0.28,0.24,0.19,0.11,0.0,106540.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.31,0.5542,71.71,0.0
2016-11-17,14000.0,104440.0,0.28,0.23,0.19,0.11,0.0,104440.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.16,0.5579,72.02,0.0
2016-11-18,14000.0,108220.0,0.28,0.23,0.19,0.11,0.0,108220.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.17,0.5554,71.81,0.0
2016-11-21,14000.0,105280.0,0.28,0.23,0.19,0.11,0.0,105280.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.54,0.5539,71.68,35.0877
2016-11-22,14000.0,104160.0,0.28,0.23,0.19,0.11,0.0,104160.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.22,0.5588,72.1,35.0877
2016-11-23,14000.0,103740.0,0.28,0.23,0.19,0.11,0.0,103740.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.5605,72.25,35.0877
2016-11-24,14000.0,103460.0,0.28,0.25,0.19,0.11,0.0,103460.0,0.0,14000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.5604,72.24,35.0877
2016-11-25,15000.0,108000.0,0.3,0.27,0.2,0.12,0.0,108000.0,0.0,15000.0,0.0,,,,,,1000.0,,,,,,,,,0.01,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.27,0.4991,67.96,37.594
2016-11-28,15000.0,105750.0,0.3,0.26,0.2,0.11,0.0,105750.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.4819,66.4,37.594
2016-11-29,15000.0,106500.0,0.3,0.26,0.2,0.11,0.0,106500.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.4802,66.27,37.594
2016-11-30,15000.0,108900.0,0.3,0.26,0.2,0.11,0.0,108900.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.4786,66.12,37.594
2016-12-01,15000.0,106950.0,0.3,0.26,0.2,0.11,0.0,106950.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.71,0.4847,66.67,37.594
2016-12-02,15000.0,105150.0,0.3,0.26,0.2,0.11,0.0,105150.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.67,0.4847,66.68,37.594
2016-12-05,15000.0,109650.0,0.3,0.25,0.2,0.11,0.0,109650.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.73,0.4748,65.77,37.594
2016-12-06,15000.0,118350.0,0.3,0.25,0.2,0.11,0.0,118350.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,14.11,0.4711,65.44,37.594
2016-12-07,15000.0,115500.0,0.3,0.22,0.2,0.12,0.0,115500.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.27,0.4889,67.07,37.594
2016-12-08,15000.0,118200.0,0.3,0.21,0.2,0.12,0.0,118200.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.51,0.4819,66.45,37.594
2016-12-09,15000.0,119700.0,0.3,0.22,0.2,0.12,0.0,119700.0,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.57,0.4812,66.37,37.594
2016-12-12,20000.0,159800.0,0.4,0.29,0.27,0.15,0.0,159800.0,0.0,20000.0,0.0,,,,,,5000.0,,,,,,,,,0.03,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.3402,51.5,50.1253
2016-12-13,19000.0,150290.0,0.38,0.28,0.26,0.15,0.0,150290.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,1000.0,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,23.66,0.3766,54.47,47.619
2016-12-14,19000.0,165300.0,0.38,0.29,0.26,0.15,0.0,165300.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.48,0.3695,53.69,47.619
2016-12-15,19000.0,160740.0,0.38,0.18,0.26,0.16,0.0,160740.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22.25,0.387,56.03,0.0
2016-12-16,19000.0,159600.0,0.38,0.17,0.26,0.15,0.0,159600.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.3816,55.28,0.0
2016-12-19,19000.0,156750.0,0.38,0.16,0.26,0.15,0.0,156750.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.21,0.3803,55.02,0.0
2016-12-20,19000.0,155990.0,0.35,0.16,0.26,0.15,0.0,155990.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.54,0.3779,54.66,0.0
2016-12-21,19000.0,156560.0,0.35,0.16,0.26,0.15,0.0,156560.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.57,0.3766,54.5,0.0
2016-12-22,19000.0,152000.0,0.35,0.16,0.26,0.15,0.0,152000.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.3778,54.65,0.0
2016-12-23,19000.0,151810.0,0.35,0.16,0.26,0.15,0.0,151810.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.89,0.3735,54.05,0.0
2016-12-26,19000.0,151810.0,0.35,0.16,0.26,0.15,0.0,151810.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.3734,54.03,0.0
2016-12-27,19000.0,152760.0,0.35,0.16,0.26,0.15,0.0,152760.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.89,0.3731,54.0,0.0
2016-12-28,19000.0,161500.0,0.35,0.16,0.26,0.15,0.0,161500.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.3711,53.82,0.0
2016-12-29,19000.0,158460.0,0.35,0.15,0.26,0.15,0.0,158460.0,0.0,19000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22.91,0.3802,55.09,0.0
2016-12-30,9000.0,75600.0,0.17,0.07,0.12,0.08,0.0,75600.0,0.0,9000.0,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,0.08,,0.0,0.0,0.0,0.0,0.0,0.0,22.51,0.4052,55.22,0.0
2017-01-02,9000.0,80910.0,0.17,0.07,0.12,0.08,0.0,80910.0,0.0,9000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23.58,0.3991,54.25,0.0
2017-01-03,4000.0,34920.0,0.07,0.03,0.05,0.04,0.0,34920.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,,,5000.0,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.5004,51.4,0.0
2017-01-04,4000.0,35240.0,0.07,0.03,0.05,0.04,0.0,35240.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.23,0.5001,50.77,0.0
2017-01-05,4000.0,34880.0,0.07,0.03,0.05,0.04,0.0,34880.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,48.87,0.5003,51.13,0.0
2017-01-06,4000.0,34400.0,0.07,0.03,0.05,0.04,0.0,34400.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,48.9,0.5002,51.1,0.0
2017-01-09,4000.0,34240.0,0.07,0.03,0.05,0.04,0.0,34240.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,48.73,0.5003,51.27,0.0
2017-01-10,7700.0,65758.0,0.14,0.06,0.1,0.07,0.0,34160.0,3700.0,4000.0,31598.0,,,,,,,,,,,,,,,,3700.0,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,26.91,0.363,47.39,2.0811
2017-01-11,7700.0,65065.0,0.14,0.06,0.1,0.07,0.0,33800.0,3700.0,4000.0,31265.0,,,,,,,,,,,,,,,,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,27.1,0.3643,47.67,2.0811
2017-01-12,7700.0,65142.0,0.14,0.06,0.1,0.07,0.0,33840.0,3700.0,4000.0,31302.0,,,,,,,,,,,,,,,,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,27.03,0.3626,47.29,2.0811
2017-01-13,10700.0,90736.0,0.2,0.08,0.15,0.09,0.0,59360.0,3700.0,7000.0,31376.0,,,,,,3000.0,,,,,,,,,0.03,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,27.73,0.2664,34.21,2.8919
2017-01-16,11700.0,96525.0,0.22,0.09,0.16,0.1,0.0,66000.0,3700.0,8000.0,30525.0,,,,0.01,,,,,1000.0,,,,0.01,,,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,31.48,0.2749,34.15,3.1622
2017-01-17,11800.0,103368.0,0.22,0.08,0.16,0.1,0.0,70956.0,3700.0,8100.0,32412.0,,,,,,100.0,,,,,,,,,0.0,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,30.97,0.2674,33.23,3.1892
2017-01-18,9100.0,69342.0,0.17,0.06,0.12,0.08,0.0,41148.0,3700.0,5400.0,28194.0,,,,0.0,,,,,300.0,,,,0.0,,,,3000.0,0.03,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,22.65,0.2826,42.09,2.4595
2017-01-19,9100.0,67704.0,0.17,0.06,0.12,0.07,0.0,40176.0,3700.0,5400.0,27528.0,,,,,,,,,,,,,,,,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,22.9,0.2706,39.71,2.4595
2017-01-20,61100.0,444808.0,1.14,0.39,0.83,0.46,0.0,315952.0,17700.0,43400.0,128856.0,,,14000.0,,,39000.0,,,,,,,,14000.0,0.3,,1000.0,0.13,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,41.17,0.3836,45.64,3.452
