,EKI FP Equity_DX_SI_QTY,EKI FP Equity_DX_SHORT_INTEREST_VALUE,EKI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EKI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EKI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EKI FP Equity_DX_SI_MV,EKI FP Equity_DX_DSS,EKI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EKI FP Equity_DX_SUPPLY_SI_QTY,EKI FP Equity_DX_BROKER_SI_QTY,EKI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EKI FP Equity_DX_BROKER_SI_MV_NEW_x,EKI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EKI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EKI FP Equity_DX_BROKER_SI_MV_INC_x,EKI FP Equity_DX_SUPPLY_SI_MV_NEW,EKI FP Equity_DX_BROKER_SI_QTY_ADD,EKI FP Equity_DX_BROKER_SI_QTY_NEW,EKI FP Equity_DX_SUPPLY_SI_MV_DEC,EKI FP Equity_DX_BROKER_SI_QTY_INC,EKI FP Equity_DX_SUPPLY_SI_QTY_DEC,EKI FP Equity_DX_BROKER_SI_MV_NEW_y,EKI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EKI FP Equity_DX_BROKER_SI_MV_INC_y,EKI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EKI FP Equity_DX_BROKER_SI_MV_ADD,EKI FP Equity_DX_SUPPLY_SI_QTY_ADD,EKI FP Equity_DX_BROKER_SI_QTY_DEC,EKI FP Equity_DX_SUPPLY_SI_MV,EKI FP Equity_DX_BROKER_SI_MV_DEC,EKI FP Equity_DX_BROKER_SI_MV_RMV,EKI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EKI FP Equity_DX_UTILIZATION_QUANTITY,EKI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EKI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EKI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EKI FP Equity_DX_ACTIVE_UTILIZATION_MV,EKI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EKI FP Equity_DX_BROKER_SI_CON_RATIO,EKI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EKI FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-04-14,67.0,314.9,0.0,0.0,0.0,0.0,0.0,314.9,0.0,67.0,0.0,,,,,,67.0,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2016-04-15,67.0,314.9,0.0,0.0,0.0,0.0,0.0,314.9,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-04-18,67.0,313.56,0.0,0.0,0.0,0.0,0.0,313.56,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-04-19,67.0,319.59,0.0,0.0,0.0,0.0,0.0,319.59,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-04-20,67.0,318.25,0.0,0.0,0.0,0.0,0.0,318.25,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-04-21,67.0,314.9,0.0,0.0,0.0,0.0,0.0,314.9,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-16,10000.0,69500.0,0.27,0.06,0.17,0.07,0.0,69500.0,0.0,10000.0,0.0,,,,,,10000.0,,,,,,,,,0.07,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-19,10000.0,79900.0,0.27,0.06,0.17,0.07,0.0,79900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-20,89.0,671.06,0.0,0.0,0.0,0.0,0.0,671.06,0.0,89.0,0.0,,,,,,,,,,,,,,,,,9911.0,0.0,0.07,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-23,3000.0,21750.0,0.08,0.02,0.05,0.02,0.0,21750.0,0.0,3000.0,0.0,,,,,,3000.0,,,,,,,,,0.02,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-26,6000.0,42300.0,0.16,0.03,0.1,0.04,0.0,42300.0,0.0,6000.0,0.0,,,,0.02,,,,,3000.0,,,,0.02,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-27,6000.0,42300.0,0.16,0.04,0.1,0.04,0.0,42300.0,0.0,6000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2016-09-28,6320.0,46199.2,0.17,0.04,0.1,0.05,0.0,46199.2,0.0,6320.0,0.0,,,,,,320.0,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.9027,94.87,0.0
2016-09-29,3320.0,25198.8,0.09,0.02,0.05,0.03,0.0,25198.8,0.0,3320.0,0.0,,,,,,,,,,,,,,,,,3000.0,0.0,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,9.42,0.8294,90.58,0.0
2016-09-30,3320.0,24302.4,0.09,0.02,0.05,0.02,0.0,24302.4,0.0,3320.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.41,0.8135,89.59,0.0
2016-10-03,3997.0,28698.46,0.11,0.03,0.07,0.03,0.0,28698.46,0.0,3997.0,0.0,,,,0.01,,,,,677.0,,,,0.01,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.94,0.6064,73.06,0.0
2016-10-04,3997.0,29178.1,0.11,0.03,0.07,0.03,0.0,29178.1,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.71,0.6085,73.29,0.0
2016-10-05,3997.0,28858.34,0.11,0.03,0.07,0.03,0.0,28858.34,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.86,0.6071,73.14,0.0
2016-10-06,3997.0,28298.76,0.11,0.03,0.07,0.03,0.0,28298.76,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,27.19,0.604,72.81,0.0
2016-10-07,3997.0,28058.94,0.11,0.04,0.07,0.03,0.0,28058.94,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,27.44,0.6018,72.56,0.0
2016-10-10,3997.0,29178.1,0.11,0.04,0.07,0.03,0.0,29178.1,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.58,0.6097,73.42,0.0
2016-10-11,3997.0,29018.22,0.11,0.04,0.07,0.03,0.0,29018.22,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.73,0.6083,73.27,0.0
2016-10-12,3997.0,29337.98,0.11,0.04,0.07,0.03,0.0,29337.98,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.51,0.6104,73.49,0.0
2016-10-13,3997.0,28058.94,0.11,0.04,0.07,0.03,0.0,28058.94,0.0,3997.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,27.44,0.6018,72.56,0.0
2016-10-14,4283.0,30580.62,0.12,0.05,0.07,0.03,0.0,30580.62,0.0,4283.0,0.0,,,,0.0,,,,,286.0,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.04,0.5645,67.96,0.0
2016-10-17,4283.0,30666.28,0.12,0.05,0.07,0.03,0.0,30666.28,0.0,4283.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.06,0.5644,67.94,0.0
2016-10-18,4483.0,31022.36,0.12,0.05,0.07,0.03,0.0,31022.36,0.0,4483.0,0.0,,,,0.0,,,,,200.0,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.92,0.5396,64.08,0.0
2016-10-19,4483.0,30977.53,0.12,0.05,0.07,0.03,0.0,30977.53,0.0,4483.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.93,0.5396,64.07,0.0
2016-10-20,11883.0,81636.21,0.32,0.14,0.2,0.08,0.0,81636.21,0.0,11883.0,0.0,,,,,,7400.0,,,,,,,,,0.05,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,24.72,0.4568,61.34,0.0
2016-10-21,4983.0,34382.7,0.14,0.06,0.08,0.03,0.0,34382.7,0.0,4983.0,0.0,,,,0.0,,,,,100.0,,,,0.0,,,,7000.0,0.0,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,32.72,0.466,59.39,0.0
2016-10-24,4983.0,33236.61,0.14,0.06,0.08,0.03,0.0,33236.61,0.0,4983.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.4609,58.59,0.0
2016-10-25,11883.0,81160.89,0.32,0.14,0.2,0.08,0.0,81160.89,0.0,11883.0,0.0,,,,0.05,,,,,7000.0,,,,0.05,,,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.38,0.4582,61.33,0.0
