,UBI FP Equity_DX_SI_QTY,UBI FP Equity_DX_SHORT_INTEREST_VALUE,UBI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,UBI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,UBI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,UBI FP Equity_DX_SI_MV,UBI FP Equity_DX_DSS,UBI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,UBI FP Equity_DX_SUPPLY_SI_QTY,UBI FP Equity_DX_BROKER_SI_QTY,UBI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,UBI FP Equity_DX_BROKER_SI_MV_NEW_x,UBI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,UBI FP Equity_DX_SUPPLY_SI_QTY_INC_x,UBI FP Equity_DX_BROKER_SI_MV_INC_x,UBI FP Equity_DX_SUPPLY_SI_MV_NEW,UBI FP Equity_DX_BROKER_SI_QTY_ADD,UBI FP Equity_DX_BROKER_SI_QTY_NEW,UBI FP Equity_DX_SUPPLY_SI_MV_DEC,UBI FP Equity_DX_BROKER_SI_QTY_INC,UBI FP Equity_DX_SUPPLY_SI_QTY_DEC,UBI FP Equity_DX_BROKER_SI_MV_NEW_y,UBI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,UBI FP Equity_DX_BROKER_SI_MV_INC_y,UBI FP Equity_DX_SUPPLY_SI_QTY_INC_y,UBI FP Equity_DX_BROKER_SI_MV_ADD,UBI FP Equity_DX_SUPPLY_SI_QTY_ADD,UBI FP Equity_DX_BROKER_SI_QTY_DEC,UBI FP Equity_DX_SUPPLY_SI_MV,UBI FP Equity_DX_BROKER_SI_MV_DEC,UBI FP Equity_DX_SUPPLY_SI_MV_RMV,UBI FP Equity_DX_BROKER_SI_MV_RMV,UBI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,UBI FP Equity_DX_UTILIZATION_QUANTITY,UBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,UBI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,UBI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,UBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,UBI FP Equity_DX_ACTIVE_UTILIZATION_MV,UBI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,UBI FP Equity_DX_BROKER_SI_CON_RATIO,UBI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,UBI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,1097724.0,44457822.0,8.87,9.09,5.76,44.09,2.0,27143302.5,539732.0,670205.0,21859146.0,20.26,52277.0,,0.0,2.11,,503952.0,2.26,266.0,54545.0,20.26,52277.0,0.0,,,,45033.0,21.73,1.87,,,31.92,31.92,1151246.0,46625463.0,,46.3,31.94,14.78,0.3447,54.95,0.6492
2006-01-11,964316.0,37608324.0,7.79,7.35,5.06,37.72,2.0,21421374.0,495809.0,549266.0,19336551.0,,,6180.0,1.1,,,,2.13,30021.0,50103.0,,,1.1,6180.0,,,150960.0,19.37,6.5,,,30.15,30.15,1148541.0,44793099.0,,44.95,30.12,21.36,0.3075,49.19,0.5864
2006-01-18,914530.0,35611798.2,7.39,6.56,4.8,35.62,1.0,20443616.82,469527.0,525003.0,18283381.38,,,1433.0,0.3,,,,1.13,8810.0,27715.0,,,0.3,1433.0,,,33073.0,18.26,1.3,,,28.55,28.55,1174936.0,45752007.84,,45.67,28.56,18.13,0.3293,52.41,0.5561
2006-01-25,1002561.0,37275217.98,8.1,8.13,5.26,37.3,2.0,16971331.52,629905.0,456464.0,23419867.9,,9650.0,67298.0,0.0,0.36,3828.0,,0.11,1421.0,1657.0,,9650.0,0.0,67298.0,0.14,94569.0,73788.0,23.43,2.85,0.37,,37.7,37.7,1041130.0,38709213.4,9482.0,38.77,37.67,27.36,0.3257,46.88,0.6
2006-02-01,1231953.0,44165515.05,10.23,8.38,6.46,44.17,2.0,19633790.25,833743.0,547665.0,29889686.55,,,79876.0,3.05,,,,2.13,97000.0,45372.0,,,3.05,79876.0,,169334.0,5798.0,29.76,0.31,,,50.6,50.6,813977.0,29181075.45,,29.0,50.65,21.5,0.2948,45.89,0.7477
2006-02-08,1419965.0,45254284.55,11.8,9.84,7.45,46.05,2.0,30397956.57,692775.0,953811.0,22078739.25,,,60417.0,6.75,,128213.0,,7.92,277933.0,209597.0,,,6.75,60417.0,4.49,8211.0,,22.36,,,,43.34,43.34,905576.0,28860707.12,,30.04,42.67,18.68,0.2842,47.42,0.8884
2006-02-15,1245102.0,38797378.32,10.34,7.58,6.53,39.68,2.0,19620891.12,728597.0,629682.0,22703082.52,14.17,,44778.0,,,,453500.0,4.36,,130449.0,14.17,,,44778.0,,121493.0,183129.0,23.22,6.14,,19.0,48.63,48.63,769797.0,23986874.52,,24.55,48.61,22.32,0.2586,41.91,0.831
2006-02-22,1221693.0,38263424.76,10.15,7.22,6.41,38.67,2.0,19472427.0,702848.0,621725.0,22013199.36,,,1792.0,0.95,,,,0.99,33330.0,27541.0,,,0.95,1792.0,,,41287.0,22.22,1.29,,,47.48,47.48,777458.0,24349984.56,,24.58,47.48,22.51,0.2491,40.78,0.8253
2006-03-01,1319117.0,43715537.38,10.96,8.14,6.92,43.72,2.0,22093642.64,754719.0,666676.0,25011387.66,,73877.0,,0.48,2.45,31283.0,,0.0,14979.0,22005.0,,73877.0,0.48,,1.09,,1311.0,24.97,0.0,,,45.11,45.11,918331.0,30433489.34,,30.33,45.16,20.25,0.2179,37.58,0.7885
2006-03-08,1419263.0,49532278.7,11.79,7.8,7.45,49.25,2.0,26437831.9,764490.0,757531.0,26680701.0,,,12050.0,3.59,,,,0.07,98011.0,2279.0,,,3.59,12050.0,,,7156.0,26.58,0.19,,,45.73,45.73,907147.0,31659430.3,,31.46,45.8,18.91,0.205,34.71,0.849
