,STS FP Equity_DX_SI_QTY,STS FP Equity_DX_SHORT_INTEREST_VALUE,STS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STS FP Equity_DX_SI_MV,STS FP Equity_DX_DSS,STS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STS FP Equity_DX_SUPPLY_SI_QTY,STS FP Equity_DX_BROKER_SI_QTY,STS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STS FP Equity_DX_BROKER_SI_MV_NEW_x,STS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,STS FP Equity_DX_SUPPLY_SI_QTY_INC_x,STS FP Equity_DX_BROKER_SI_MV_INC_x,STS FP Equity_DX_SUPPLY_SI_MV_NEW,STS FP Equity_DX_BROKER_SI_QTY_ADD,STS FP Equity_DX_BROKER_SI_QTY_NEW,STS FP Equity_DX_SUPPLY_SI_MV_DEC,STS FP Equity_DX_BROKER_SI_QTY_INC,STS FP Equity_DX_SUPPLY_SI_QTY_DEC,STS FP Equity_DX_BROKER_SI_MV_NEW_y,STS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,STS FP Equity_DX_BROKER_SI_MV_INC_y,STS FP Equity_DX_SUPPLY_SI_QTY_INC_y,STS FP Equity_DX_BROKER_SI_MV_ADD,STS FP Equity_DX_SUPPLY_SI_QTY_ADD,STS FP Equity_DX_BROKER_SI_QTY_DEC,STS FP Equity_DX_SUPPLY_SI_MV,STS FP Equity_DX_BROKER_SI_MV_DEC,STS FP Equity_DX_SUPPLY_SI_MV_RMV,STS FP Equity_DX_BROKER_SI_MV_RMV,STS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STS FP Equity_DX_UTILIZATION_QUANTITY,STS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,STS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STS FP Equity_DX_ACTIVE_UTILIZATION_MV,STS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STS FP Equity_DX_BROKER_SI_CON_RATIO,STS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-10,0.0,0.0,0.0,,2.45,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,2.45,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-29,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5190000.0,,5.19,0.0,,0.0,,0.0
2007-03-30,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5269580.0,,5.25,0.0,,0.0,,0.0
2007-04-02,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5270272.0,,5.27,0.0,,0.0,,0.0
2007-04-03,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5293800.0,,5.3,0.0,,0.0,,0.0
2007-04-04,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5335320.0,,5.34,0.0,,0.0,,0.0
2007-04-05,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5354004.0,,5.36,0.0,,0.0,,0.0
2007-04-06,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5354004.0,,5.38,0.0,,0.0,,0.0
2007-04-09,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5354004.0,,5.36,0.0,,0.0,,0.0
2007-04-10,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5361616.0,,5.36,0.0,,0.0,,0.0
2007-04-11,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69200.0,5374072.0,,5.38,0.0,,0.0,,0.0
2007-04-12,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1374840.0,,1.38,0.0,,0.0,,0.0
2007-04-13,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1394100.0,,1.39,0.0,,0.0,,0.0
2007-04-16,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1400400.0,,1.4,0.0,,0.0,,0.0
2007-04-17,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1389780.0,,1.39,0.0,,0.0,,0.0
2007-04-18,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1401660.0,,1.4,0.0,,0.0,,0.0
2007-04-19,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1386360.0,,1.39,0.0,,0.0,,0.0
2007-04-20,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1396260.0,,1.4,0.0,,0.0,,0.0
2007-04-23,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18000.0,1409040.0,,1.41,0.0,,0.0,,0.0
2007-04-24,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18642.0,1457245.14,,1.46,0.0,,0.0,,0.0
2007-04-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18640.0,1453920.0,,1.46,0.0,,0.0,,0.0
2007-04-26,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18647.0,1448871.9,,1.45,0.0,,0.0,,0.0
2007-04-27,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18641.0,1465182.6,,1.47,0.0,,0.0,,0.0
2007-04-30,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18641.0,1461454.4,,1.46,0.0,,0.0,,0.0
2007-05-01,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18643.0,1461611.2,,1.46,0.0,,0.0,,0.0
2007-05-02,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18638.0,1472402.0,,1.47,0.0,,0.0,,0.0
2007-05-03,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18633.0,1481882.49,,1.48,0.0,,0.0,,0.0
2007-05-04,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,18642.0,1474582.2,,1.47,0.0,,0.0,,0.0
