,VAC FP Equity_DX_SI_QTY,VAC FP Equity_DX_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VAC FP Equity_DX_SI_MV,VAC FP Equity_DX_DSS,VAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY,VAC FP Equity_DX_BROKER_SI_QTY,VAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VAC FP Equity_DX_BROKER_SI_MV_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,VAC FP Equity_DX_BROKER_SI_MV_INC_x,VAC FP Equity_DX_SUPPLY_SI_MV_NEW,VAC FP Equity_DX_BROKER_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_NEW,VAC FP Equity_DX_SUPPLY_SI_MV_DEC,VAC FP Equity_DX_BROKER_SI_QTY_INC,VAC FP Equity_DX_SUPPLY_SI_QTY_DEC,VAC FP Equity_DX_BROKER_SI_MV_NEW_y,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VAC FP Equity_DX_BROKER_SI_MV_INC_y,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,VAC FP Equity_DX_BROKER_SI_MV_ADD,VAC FP Equity_DX_SUPPLY_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_DEC,VAC FP Equity_DX_SUPPLY_SI_MV,VAC FP Equity_DX_BROKER_SI_MV_DEC,VAC FP Equity_DX_SUPPLY_SI_MV_RMV,VAC FP Equity_DX_BROKER_SI_MV_RMV,VAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VAC FP Equity_DX_UTILIZATION_QUANTITY,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VAC FP Equity_DX_ACTIVE_UTILIZATION_MV,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VAC FP Equity_DX_BROKER_SI_CON_RATIO,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VAC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,23439.0,1353994.6,0.54,2.42,0.27,1.53,0.0,687424.2,17555.0,11900.0,1014095.11,,,,0.34,,,,0.15,5001.0,2918.0,,,0.34,,,,,1.15,,,,5.78,5.78,286301.0,16538675.23,,18.81,5.75,25.8,0.2485,29.87,0.0771
2006-01-11,23195.0,1416384.27,0.53,1.87,0.26,1.51,0.0,650333.8,18991.0,10650.0,1159670.35,,,1244.0,,,,,0.02,,360.0,,,,1244.0,,551.0,1250.0,1.24,0.08,,,5.8,5.8,308698.0,18850398.41,,20.29,5.75,23.84,0.2598,33.2,0.0708
2006-01-18,23034.0,1365294.05,0.53,1.78,0.26,1.5,0.0,631257.34,18800.0,10650.0,1114332.21,,,,,,,,0.01,,190.0,,,,,,,,1.23,,,,5.75,5.75,307981.0,18254954.65,,20.25,5.71,24.01,0.2602,33.27,0.0705
2006-01-25,18207.0,1089560.09,0.42,0.89,0.21,1.14,0.0,338112.51,19229.0,5650.0,1150719.55,,,861.0,,,,,0.03,,433.0,,,,861.0,,,5000.0,1.2,0.34,,,3.84,3.84,482094.0,28849913.8,,30.9,3.75,31.03,0.3485,42.95,0.0363
2006-02-01,18453.0,1126817.8,0.42,0.66,0.21,1.16,0.0,345012.77,19613.0,5650.0,1197652.28,,,384.0,,,,,,,,,,,384.0,,,,1.23,,,,3.38,3.38,561255.0,34272591.2,,36.86,3.23,30.62,0.3491,43.26,0.0318
2006-02-08,11170.0,684815.53,0.26,0.38,0.13,0.84,0.0,47207.52,10400.0,770.0,637608.02,,,,,,770.0,,0.44,,9213.0,,,,,0.06,,5650.0,0.79,0.35,,,1.95,1.95,522668.0,32043971.89,,39.42,1.95,35.2,0.464,57.91,0.021
2006-02-15,10573.0,670165.87,0.24,0.34,0.12,0.82,0.0,0.0,10573.0,0.0,670165.87,,,173.0,,,,,,,,,,,173.0,,,,0.82,,,0.06,1.94,1.94,533965.0,33845182.67,,41.42,1.94,37.48,0.5314,62.52,0.0194
2006-02-22,6733.0,424027.85,0.15,0.23,0.08,0.52,0.0,6108.82,6635.0,97.0,417856.05,,,25.0,,,97.0,,0.31,,3963.0,,,,25.0,0.01,,,0.51,,,,1.23,1.23,533235.0,33581834.73,,41.26,1.23,1.44,0.9715,98.56,0.0125
2006-03-01,136216.0,8584095.45,3.12,4.52,1.55,11.07,1.0,4240624.82,68924.0,67292.0,4343470.63,,,,,,67200.0,,0.0,,161.0,,,,,5.46,62449.0,5.0,5.6,0.0,,,25.65,15.53,199740.0,12587267.47,,0.0,14312.58,4.75,0.872,93.25,0.3069
2006-03-08,315145.0,19667449.09,7.22,14.49,3.59,24.87,1.0,4220065.61,247524.0,67621.0,15447383.49,,,1240.0,0.0,,328.0,,0.53,2.0,6474.0,,,0.0,1240.0,0.03,183835.0,,19.43,,,,74.39,48.32,85217.0,5318190.07,,0.0,508.26,26.4,0.4952,64.77,0.6152
2006-03-15,320050.0,21634700.01,7.33,17.19,3.65,26.64,1.0,4778764.2,249356.0,70694.0,16855935.81,,,1333.0,0.37,,,,0.0,4452.0,1.0,,,0.37,1333.0,,500.0,1379.0,20.66,0.11,,,73.43,48.1,90237.0,6099829.48,,0.0,504.64,26.01,0.4783,63.59,0.6174
2006-03-22,300516.0,21200183.69,6.88,15.51,3.43,26.19,1.0,6136720.77,213526.0,86989.0,15063392.38,,,1500.0,1.4,,,,2.38,16305.0,37330.0,,,1.4,1500.0,,,10.0,18.52,0.0,,,63.78,41.26,121271.0,8555176.69,,0.0,419.47,8.93,0.5156,70.29,0.5807
2006-03-29,282037.0,20072226.53,6.46,13.98,3.21,25.22,1.0,6355015.36,192742.0,89295.0,13717211.17,,,193.0,0.23,,,,1.38,2313.0,20977.0,,,0.23,193.0,,,8.0,17.18,0.0,,,62.13,36.55,117502.0,8362472.87,,0.0,1287.46,9.13,0.6114,77.01,0.5348
2006-04-05,160542.0,11472238.97,3.68,7.84,1.83,13.59,1.0,1611624.41,137989.0,22553.0,9860614.56,,,6547.0,0.0,,,,5.57,15.0,62304.0,,,0.0,6547.0,,1004.0,66756.0,11.7,6.15,,,41.79,24.87,192232.0,13736788.14,,0.0,823.29,31.23,0.3305,41.29,0.2893
2006-04-12,183432.0,12628107.58,4.2,9.02,2.09,15.07,1.0,3384210.57,134274.0,49158.0,9243897.02,1.39,,7.0,0.76,,,17000.0,0.61,9605.0,3722.0,1.39,,0.76,7.0,,,,11.03,,,,41.22,24.01,191505.0,13183881.45,,0.0,893.15,26.42,0.2599,31.86,0.328
2006-04-19,21630.0,1490881.94,0.5,1.0,0.25,1.86,0.0,1470066.11,302.0,21328.0,20815.83,,,,,,,,11.0,,133973.0,,,,,,,27830.0,0.03,2.21,,,0.05,0.05,569364.0,39244313.6,,48.11,0.05,4.69,0.8754,93.43,0.038
