,SOP FP Equity_DX_SI_QTY,SOP FP Equity_DX_SHORT_INTEREST_VALUE,SOP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SOP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SOP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SOP FP Equity_DX_SI_MV,SOP FP Equity_DX_DSS,SOP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SOP FP Equity_DX_SUPPLY_SI_QTY,SOP FP Equity_DX_BROKER_SI_QTY,SOP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SOP FP Equity_DX_BROKER_SI_MV_NEW_x,SOP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SOP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SOP FP Equity_DX_BROKER_SI_MV_INC_x,SOP FP Equity_DX_SUPPLY_SI_MV_NEW,SOP FP Equity_DX_BROKER_SI_QTY_ADD,SOP FP Equity_DX_BROKER_SI_QTY_NEW,SOP FP Equity_DX_SUPPLY_SI_MV_DEC,SOP FP Equity_DX_BROKER_SI_QTY_INC,SOP FP Equity_DX_SUPPLY_SI_QTY_DEC,SOP FP Equity_DX_BROKER_SI_MV_NEW_y,SOP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SOP FP Equity_DX_BROKER_SI_MV_INC_y,SOP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SOP FP Equity_DX_BROKER_SI_MV_ADD,SOP FP Equity_DX_SUPPLY_SI_QTY_ADD,SOP FP Equity_DX_BROKER_SI_QTY_DEC,SOP FP Equity_DX_SUPPLY_SI_MV,SOP FP Equity_DX_BROKER_SI_MV_DEC,SOP FP Equity_DX_SUPPLY_SI_MV_RMV,SOP FP Equity_DX_BROKER_SI_MV_RMV,SOP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SOP FP Equity_DX_UTILIZATION_QUANTITY,SOP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SOP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SOP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SOP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SOP FP Equity_DX_ACTIVE_UTILIZATION_MV,SOP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SOP FP Equity_DX_BROKER_SI_CON_RATIO,SOP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SOP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-06-07,31396.0,1431510.41,0.78,3.13,0.28,2.1,0.0,331477.92,24126.0,7270.0,1100032.49,,,175.0,,,,,,,,,,,175.0,,,2685.0,1.61,0.19,,,12.69,12.69,165932.0,7565721.29,,11.04,12.76,28.3,0.5942,71.7,0.1652
2006-06-14,32304.0,1324520.39,0.77,2.77,0.28,1.89,0.0,339084.44,24034.0,8270.0,985435.95,,,6.0,,,1500.0,,0.21,,99.0,,,,6.0,0.09,,500.0,1.41,0.05,,,15.96,14.4,126551.0,5188811.9,,0.0,0.0,18.42,0.6995,81.58,0.1936
2006-06-21,9812.0,423886.26,0.23,0.7,0.09,0.6,0.0,400212.22,548.0,9264.0,23674.04,,,195.0,,,994.0,,1.38,,23681.0,,,,195.0,0.06,,,0.03,,,,0.36,0.36,150974.0,6522197.74,,0.0,0.0,15.42,0.5532,71.97,0.0636
2006-06-28,8322.0,359517.07,0.2,0.64,0.07,0.51,0.0,335583.82,554.0,7768.0,23933.24,,,6.0,0.0,,,,,5.0,,,,0.0,6.0,,,1500.0,0.03,0.09,,,0.36,0.36,154024.0,6653960.18,,9.41,0.36,18.29,0.4939,66.64,0.0538
2006-07-03,3519.0,152273.25,0.08,0.3,0.03,0.22,0.0,129079.6,536.0,2983.0,23193.65,,,,,,,,0.0,,18.0,,,,,,,4785.0,0.03,0.29,,,0.35,0.35,151834.0,6570121.12,,9.35,0.35,31.41,0.3381,45.49,0.0231
2006-07-04,3513.0,153135.03,0.08,0.31,0.03,0.22,0.0,129595.91,540.0,2973.0,23539.12,,,4.0,,,,,,,,,,,4.0,,,10.0,0.03,0.0,,,0.35,0.35,151853.0,6619417.45,,9.38,0.35,31.16,0.3373,45.5,0.0231
2006-07-05,3520.0,152815.92,0.08,0.33,0.03,0.22,0.0,129112.08,546.0,2974.0,23703.83,,,6.0,0.0,,,,,1.0,,,,0.0,6.0,,,,0.03,,,,0.35,0.35,153925.0,6682440.36,,9.49,0.35,31.16,0.3371,45.5,0.0228
2006-07-06,3523.0,152946.16,0.08,0.34,0.03,0.22,0.0,129415.98,541.0,2981.0,23486.76,,,,0.0,,,,0.0,7.0,4.0,,,0.0,,,,,0.03,,,,0.35,0.35,153473.0,6662817.41,,9.46,0.35,31.34,0.3374,45.43,0.0229
2006-07-07,3525.0,151032.55,0.08,0.33,0.03,0.22,0.0,127724.27,544.0,2981.0,23308.29,,,2.0,,,,,,,,,,,2.0,,,1.0,0.03,0.0,,,0.35,0.35,154768.0,6631207.48,,9.51,0.35,31.32,0.3382,45.58,0.0227
2006-07-10,3524.0,149114.84,0.08,0.33,0.03,0.22,0.0,126265.23,540.0,2984.0,22849.61,,,,0.0,,,,0.0,3.0,4.0,,,0.0,,,,,0.03,,,,0.35,0.35,155377.0,6574635.6,,9.51,0.35,31.4,0.339,45.69,0.0226
2006-07-11,3501.0,148762.49,0.08,0.33,0.03,0.21,0.0,126199.54,531.0,2970.0,22562.95,,,,,,,,0.0,,9.0,,,,,,,14.0,0.03,0.0,,,0.34,0.34,155054.0,6588465.92,,9.5,0.34,31.13,0.3398,45.91,0.0225
2006-07-12,3497.0,146856.05,0.08,0.33,0.03,0.21,0.0,124346.8,537.0,2961.0,22551.24,,,6.0,,,,,,,,,,,6.0,,,9.0,0.03,0.0,,,0.36,0.36,150173.0,6306495.22,,9.17,0.36,30.9,0.3403,46.14,0.0232
2006-07-13,11066.0,443127.93,0.26,1.03,0.1,0.66,0.0,421343.94,544.0,10522.0,21783.99,,,8.0,0.45,,,,,7561.0,,,,0.45,8.0,,,,0.03,,,,0.36,0.35,152358.0,6101037.81,,0.0,0.0,9.29,0.7173,84.02,0.0711
2006-07-14,10997.0,429053.47,0.26,1.04,0.1,0.65,0.0,408765.41,520.0,10477.0,20288.06,,,,,,,,0.0,,24.0,,,,,,,45.0,0.03,0.0,,,0.34,0.33,152503.0,5949981.07,,0.0,0.0,8.91,0.7256,84.56,0.0706
2006-07-17,10965.0,406803.64,0.26,1.07,0.1,0.65,0.0,387882.54,510.0,10455.0,18921.1,,,,,,,,0.0,,11.0,,,,,,,22.0,0.03,0.0,,,0.33,0.33,152572.0,5660451.0,,0.0,0.0,8.73,0.7322,84.98,0.0704
2006-07-18,7129.0,261705.88,0.17,0.68,0.06,0.42,0.0,243974.93,483.0,6646.0,17730.95,,,,,,,,0.0,,26.0,,,,,,,3809.0,0.03,0.23,,,0.31,0.31,153427.0,5632311.35,,0.0,0.0,6.99,0.8231,90.42,0.0455
2006-07-19,10381.0,384400.73,0.25,0.99,0.09,0.59,0.0,366182.33,493.0,9889.0,18255.42,,,9.0,0.12,,904.0,,,2339.0,,,,0.12,9.0,0.05,,,0.03,,,,0.35,0.35,138333.0,5122368.35,,0.0,0.0,8.98,0.7216,84.31,0.0733
2006-07-20,3340.0,126757.82,0.08,0.31,0.03,0.2,0.0,108579.08,478.0,2861.0,18140.79,,,,,,,,0.0,,14.0,,,,,,,7027.0,0.03,0.4,,,0.35,0.35,135883.0,5156955.88,,8.08,0.35,28.87,0.3552,49.25,0.0245
2006-07-21,3370.0,129211.18,0.08,0.32,0.03,0.2,0.0,110462.14,489.0,2881.0,18749.04,,,10.0,0.0,,,,,20.0,,,,0.0,10.0,,,,0.03,,,,0.36,0.36,135643.0,5200769.33,,8.08,0.36,29.29,0.3529,48.76,0.0248
2006-07-24,3388.0,128939.99,0.08,0.31,0.03,0.2,0.0,110063.3,497.0,2892.0,18914.75,,,8.0,0.0,,,,,11.0,,,,0.0,8.0,,,,0.03,,,,0.36,0.36,136011.0,5176286.04,,8.09,0.36,29.5,0.3523,48.61,0.0248
2006-07-25,3379.0,128118.08,0.08,0.31,0.03,0.2,0.0,109425.5,493.0,2886.0,18692.58,,,,,,,,0.0,,3.0,,,,,,,6.0,0.03,0.0,,,0.36,0.36,135855.0,5151074.65,,8.07,0.36,29.38,0.3531,48.77,0.0248
2006-07-26,3370.0,128135.42,0.08,0.33,0.03,0.2,0.0,109580.5,488.0,2882.0,18554.92,,,,,,,,0.0,,5.0,,,,,,,4.0,0.03,0.0,,,0.35,0.35,138858.0,5279711.63,,8.26,0.35,29.32,0.3537,48.86,0.0242
2006-07-27,3366.0,131923.12,0.08,0.34,0.03,0.2,0.0,112797.01,488.0,2878.0,19126.11,,,,,,,,0.0,,0.0,,,,,,,4.0,0.03,0.0,,,0.35,0.35,138311.0,5420801.58,,8.29,0.35,29.21,0.3512,48.53,0.0243
2006-07-28,3402.0,135264.69,0.08,0.42,0.03,0.21,0.0,115384.52,500.0,2902.0,19880.17,,,12.0,0.0,,,,,24.0,,,,0.0,12.0,,,,0.03,,,,0.36,0.36,137754.0,5477146.31,,8.29,0.36,29.73,0.3485,47.92,0.0246
2006-07-31,3417.0,138163.82,0.08,0.43,0.03,0.21,0.0,117704.09,506.0,2911.0,20459.73,,,6.0,0.0,,,,,9.0,,,,0.0,6.0,,,,0.03,,,,0.37,0.37,137458.0,5558010.76,,8.31,0.37,29.91,0.3465,47.53,0.0248
2006-08-01,3447.0,136931.64,0.08,0.44,0.03,0.21,0.0,116433.61,516.0,2931.0,20498.04,,,10.0,0.0,,,,,20.0,,,,0.0,10.0,,,,0.03,,,,0.37,0.37,138121.0,5486839.4,,8.31,0.37,30.33,0.3466,47.39,0.0249
2006-08-02,3420.0,136950.8,0.08,0.48,0.03,0.21,0.0,116648.44,507.0,2913.0,20302.35,,,,,,,,0.0,,9.0,,,,,,,19.0,0.03,0.0,,,0.35,0.35,143738.0,5755857.74,,8.67,0.35,29.94,0.347,47.61,0.0237
2006-08-03,3444.0,132903.54,0.08,0.48,0.03,0.21,0.0,113029.75,515.0,2929.0,19873.79,,,8.0,0.0,,,,,16.0,,,,0.0,8.0,,,,0.03,,,,0.35,0.35,145884.0,5629645.78,,8.71,0.35,30.28,0.3489,47.77,0.0235
2006-08-04,3390.0,131060.16,0.08,0.47,0.03,0.2,0.0,111884.4,496.0,2894.0,19175.76,,,,,,,,0.0,,20.0,,,,,,,35.0,0.03,0.0,,,0.34,0.34,146397.0,5659827.39,,8.74,0.34,29.57,0.3513,48.41,0.0231
2006-08-07,3401.0,129072.86,0.08,0.47,0.03,0.2,0.0,110059.18,500.0,2900.0,18975.72,,,5.0,0.0,,,,,6.0,,,,0.0,5.0,,,,0.03,,,,0.34,0.34,147339.0,5591727.61,,8.76,0.34,29.68,0.352,48.5,0.023
2006-08-08,3390.0,122643.46,0.08,0.49,0.03,0.2,0.0,104699.16,497.0,2894.0,17980.47,,,,,,,,0.0,,4.0,,,,,,,6.0,0.03,0.0,,,0.33,0.33,149049.0,5392296.32,,8.75,0.33,29.55,0.3564,49.19,0.0227
2006-08-09,3317.0,122590.75,0.08,0.47,0.03,0.2,0.0,105220.34,471.0,2847.0,17407.37,,,,,,,,0.0,,26.0,,,,,,,47.0,0.03,0.0,,,0.35,0.35,135054.0,4991369.05,,7.97,0.35,28.55,0.3586,49.86,0.0245
2006-08-10,3348.0,122548.97,0.08,0.48,0.03,0.2,0.0,104906.02,482.0,2866.0,17642.95,,,12.0,0.0,,,,,19.0,,,,0.0,12.0,,,,0.03,,,,0.43,0.43,112734.0,4126474.12,,6.65,0.43,28.94,0.3568,49.48,0.0296
2006-08-11,3445.0,125122.0,0.08,0.5,0.03,0.2,0.0,106344.62,517.0,2928.0,18777.38,,,34.0,0.0,,,,,63.0,,,,0.0,34.0,,,,0.03,,,,0.42,0.42,122162.0,4436909.83,,6.67,0.42,28.83,0.3586,49.77,0.0281
2006-08-14,3358.0,123034.11,0.08,0.51,0.03,0.2,0.0,105264.14,485.0,2873.0,17769.96,,,,,,,,0.0,,31.0,,,,,,,55.0,0.03,0.0,,,0.42,0.42,115992.0,4249842.84,,6.67,0.42,28.66,0.3588,49.85,0.0288
2006-08-15,3365.0,125080.86,0.08,0.51,0.03,0.2,0.0,106978.52,487.0,2878.0,18102.34,,,2.0,0.0,,,,,5.0,,,,0.0,2.0,,,,0.03,,,,0.42,0.42,114446.0,4254087.44,,6.61,0.42,28.77,0.3574,49.61,0.0293
2006-08-16,3377.0,127443.36,0.08,0.45,0.03,0.2,0.0,108913.69,492.0,2886.0,18567.41,,,4.0,0.0,,,,,8.0,,,,0.0,4.0,,,,0.03,,,,0.41,0.41,120534.0,4548788.13,,6.98,0.41,28.97,0.3553,49.24,0.0279
2006-08-17,3395.0,127881.82,0.08,0.42,0.03,0.2,0.0,109123.31,499.0,2897.0,18796.18,,,7.0,0.0,,,,,11.0,,,,0.0,7.0,,,,0.03,,,,0.41,0.41,119645.0,4506751.19,,6.95,0.42,29.25,0.3542,48.98,0.0283
2006-08-18,3395.0,127159.32,0.08,0.42,0.03,0.2,0.0,108506.79,498.0,2897.0,18652.53,,,,,,,,0.0,,0.0,,,,,,,0.0,0.03,0.0,,,0.42,0.42,119435.0,4473423.8,,6.92,0.42,29.25,0.3547,49.06,0.0283
2006-08-21,3386.0,128023.2,0.08,0.41,0.03,0.2,0.0,109307.46,494.0,2891.0,18677.93,,,,,,,,0.0,,4.0,,,,,,,5.0,0.03,0.0,,,0.41,0.41,118964.0,4497977.46,,6.9,0.42,29.1,0.3547,49.09,0.0283
2006-08-22,3395.0,128845.15,0.08,0.4,0.03,0.2,0.0,109907.38,499.0,2896.0,18937.77,,,5.0,0.0,,,,,5.0,,,,0.0,5.0,,,,0.03,,,,0.42,0.42,118895.0,4512236.77,,6.93,0.42,29.24,0.3534,48.87,0.0284
2006-08-23,3403.0,127821.06,0.08,0.4,0.03,0.2,0.0,109002.86,501.0,2902.0,18818.21,,,2.0,0.0,,,,,6.0,,,,0.0,2.0,,,,0.03,,,,0.33,0.33,153118.0,5751309.24,,6.19,0.47,29.37,0.354,48.9,0.0222
2006-08-24,3495.0,131524.63,0.08,0.4,0.03,0.21,0.0,112783.78,498.0,2997.0,18740.85,,,,0.01,,,,0.0,100.0,3.0,,,0.01,,,,5.0,0.03,0.0,,,0.32,0.32,153181.0,5764541.84,,6.18,0.47,28.34,0.3626,50.51,0.0227
2006-08-25,3494.0,133098.05,0.08,0.4,0.03,0.21,0.0,114127.58,498.0,2996.0,18970.47,,,,,,,,0.0,,0.0,,,,,,,1.0,0.03,0.0,,,0.32,0.32,153148.0,5833915.34,,6.19,0.47,28.32,0.3617,50.38,0.0227
2006-08-28,3499.0,137880.39,0.08,0.4,0.03,0.21,0.0,118177.56,499.0,2999.0,19663.42,,,1.0,0.0,,,,,3.0,,,,0.0,1.0,,,,0.03,,,,0.33,0.33,152980.0,6028277.38,,6.2,0.47,28.41,0.3587,49.91,0.0228
2006-08-29,3533.0,142352.95,0.08,0.39,0.03,0.21,0.0,121763.55,511.0,3022.0,20589.4,,,12.0,0.0,,,,,22.0,,,,0.0,12.0,,,,0.03,,,,0.33,0.33,152767.0,6155344.91,,6.2,0.49,28.94,0.3548,49.16,0.0231
2006-08-30,3559.0,144157.95,0.08,0.38,0.03,0.21,0.0,123054.75,521.0,3038.0,21103.2,,,9.0,0.0,,,,,16.0,,,,0.0,9.0,,,,0.03,,,,0.34,0.34,154068.0,6240552.78,,8.87,0.35,29.33,0.3528,48.73,0.023
2006-08-31,2609.0,104752.65,0.06,0.29,0.02,0.16,0.0,83713.79,524.0,2085.0,21038.86,,,4.0,,,,,,,,,,,4.0,,,953.0,0.03,0.06,,,0.34,0.34,154131.0,6188436.44,,8.89,0.35,22.57,0.5348,69.05,0.0169
2006-09-01,3557.0,142689.16,0.08,0.42,0.03,0.21,0.0,121829.34,520.0,3037.0,20859.82,,,,,,952.0,,0.0,,4.0,,,,,0.06,,,0.03,,,,0.34,0.34,154143.0,6183451.0,,8.87,0.35,29.31,0.3537,48.87,0.023
2006-09-04,2503.0,104580.49,0.06,0.34,0.02,0.16,0.0,83647.68,501.0,2002.0,20932.81,,,,,,,,0.0,,19.0,,,,,,,1035.0,0.03,0.06,,,0.33,0.33,153194.0,6400760.22,,8.86,0.35,27.06,0.3053,41.28,0.0163
2006-09-05,2516.0,103071.15,0.06,0.32,0.02,0.16,0.0,81809.65,520.0,1997.0,21302.46,,,19.0,,,,,,,,,,,19.0,,,5.0,0.03,0.0,,,0.34,0.34,153039.0,6269438.05,,8.84,0.36,27.07,0.3042,41.31,0.0164
2006-09-06,2546.0,101681.35,0.06,0.32,0.02,0.16,0.0,81073.5,517.0,2030.0,20647.78,,,,0.0,,,,0.0,33.0,3.0,,,0.0,,,,,0.03,,,,0.34,0.34,151624.0,6055511.76,,8.78,0.36,27.04,0.3079,42.13,0.0167
2006-09-07,2521.0,100146.41,0.06,0.31,0.02,0.15,0.0,79966.17,508.0,2013.0,20180.24,,,,,,,,0.0,,9.0,,,,,,,17.0,0.03,0.0,,,0.33,0.33,151809.0,6030593.48,,8.79,0.35,27.41,0.3065,41.64,0.0166
2006-09-08,2515.0,99640.45,0.06,0.3,0.02,0.15,0.0,79593.5,506.0,2009.0,20046.95,,,,,,,,0.0,,2.0,,,,,,,4.0,0.03,0.0,,,0.33,0.33,151805.0,6014281.63,,8.78,0.35,27.5,0.3063,41.56,0.0165
2006-09-11,2524.0,98206.56,0.06,0.3,0.02,0.15,0.0,78440.74,508.0,2016.0,19765.82,,,3.0,0.0,,,,,7.0,,,,0.0,3.0,,,,0.03,,,,0.33,0.33,152007.0,5914454.94,,8.76,0.35,27.67,0.3071,41.69,0.0165
2006-09-12,2457.0,101264.17,0.05,0.29,0.02,0.15,0.0,81275.11,485.0,1972.0,19989.06,,,,,,,,0.0,,24.0,,,,,,,44.0,0.03,0.0,,,0.32,0.32,151378.0,6238977.26,,8.81,0.34,27.54,0.3041,40.76,0.0162
2006-09-13,2522.0,107342.29,0.06,0.29,0.02,0.16,0.0,85720.6,508.0,2014.0,21621.68,,,23.0,0.0,,,,,42.0,,,,0.0,23.0,,,,0.03,,,,0.33,0.33,151197.0,6435301.99,,8.94,0.35,26.57,0.306,41.66,0.0166
2006-09-14,2544.0,110985.62,0.06,0.27,0.02,0.16,0.0,88518.02,515.0,2029.0,22467.61,,,8.0,0.0,,,,,15.0,,,,0.0,8.0,,,,0.03,,,,0.34,0.34,150900.0,6583227.49,,8.97,0.36,26.0,0.3071,42.09,0.0168
2006-09-15,2565.0,112902.53,0.06,0.26,0.02,0.17,0.0,89837.84,523.0,2041.0,23020.67,,,8.0,0.0,,,,,12.0,,,,0.0,8.0,,,,0.03,,,,0.35,0.35,150683.0,6632550.28,,8.99,0.37,25.61,0.308,42.49,0.017
