,SOP FP Equity_DX_SI_QTY,SOP FP Equity_DX_SHORT_INTEREST_VALUE,SOP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SOP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SOP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SOP FP Equity_DX_SI_MV,SOP FP Equity_DX_DSS,SOP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SOP FP Equity_DX_SUPPLY_SI_QTY,SOP FP Equity_DX_BROKER_SI_QTY,SOP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SOP FP Equity_DX_BROKER_SI_MV_NEW_x,SOP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SOP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SOP FP Equity_DX_BROKER_SI_MV_INC_x,SOP FP Equity_DX_SUPPLY_SI_MV_NEW,SOP FP Equity_DX_BROKER_SI_QTY_ADD,SOP FP Equity_DX_BROKER_SI_QTY_NEW,SOP FP Equity_DX_SUPPLY_SI_MV_DEC,SOP FP Equity_DX_BROKER_SI_QTY_INC,SOP FP Equity_DX_SUPPLY_SI_QTY_DEC,SOP FP Equity_DX_BROKER_SI_MV_NEW_y,SOP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SOP FP Equity_DX_BROKER_SI_MV_INC_y,SOP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SOP FP Equity_DX_BROKER_SI_MV_ADD,SOP FP Equity_DX_SUPPLY_SI_QTY_ADD,SOP FP Equity_DX_BROKER_SI_QTY_DEC,SOP FP Equity_DX_SUPPLY_SI_MV,SOP FP Equity_DX_BROKER_SI_MV_DEC,SOP FP Equity_DX_SUPPLY_SI_MV_RMV,SOP FP Equity_DX_BROKER_SI_MV_RMV,SOP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SOP FP Equity_DX_UTILIZATION_QUANTITY,SOP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SOP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SOP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SOP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SOP FP Equity_DX_ACTIVE_UTILIZATION_MV,SOP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SOP FP Equity_DX_BROKER_SI_CON_RATIO,SOP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SOP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,4563.0,198356.12,0.09,0.43,0.04,0.29,0.0,198356.12,0.0,4563.0,0.0,0.13,,,,,,2127.0,,,,0.13,,,,,,3447.0,0.0,0.22,,,0.0,0.0,98927.0,4300411.04,,6.27,0.0,44.65,0.4167,45.59,0.0461
2006-01-11,4671.0,216392.42,0.09,0.36,0.04,0.31,0.0,216392.42,0.0,4671.0,0.0,,,,0.01,,,,,108.0,,,,0.01,,,,,0.0,,,,0.0,0.0,100689.0,4664597.9,,6.67,0.0,42.08,0.4029,46.0,0.0464
2006-01-18,4003.0,184748.96,0.08,0.31,0.04,0.27,0.0,184748.96,0.0,4003.0,0.0,,,,0.06,,,,,892.0,,,,0.06,,,,1560.0,0.0,0.1,,,0.0,0.0,99084.0,4572986.85,,6.62,0.0,36.34,0.4243,53.0,0.0404
2006-01-25,4899.0,220641.15,0.1,0.41,0.04,0.32,0.0,220641.15,0.0,4899.0,0.0,,,,0.09,,,,,1336.0,,,,0.09,,,,440.0,0.0,0.03,,,0.0,0.0,99301.0,4472318.15,,6.51,0.0,42.59,0.511,57.41,0.0493
2006-02-01,6759.0,311003.88,0.14,0.44,0.06,0.45,0.0,311003.88,192.0,6759.0,8834.55,,,,0.2,,,,,3000.0,,,,0.2,,,192.0,1140.0,0.01,0.08,,,0.2,0.2,98075.0,4512754.19,,6.46,0.2,23.91,0.6361,76.09,0.0688
2006-02-08,3440.0,155769.47,0.07,0.24,0.03,0.22,0.0,155769.47,0.0,3440.0,0.0,,,,,,440.0,,0.01,,192.0,,,,,0.03,,3759.0,0.0,0.25,,,0.0,0.0,99860.0,4521842.78,,6.49,0.0,12.79,0.7769,87.21,0.0344
2006-02-15,4000.0,196174.79,0.08,0.2,0.04,0.28,0.0,196174.79,0.0,4000.0,0.0,0.21,,,,,560.0,3000.0,,,,0.21,,,,0.04,,,0.0,,,0.2,0.0,0.0,98817.0,4846350.98,,6.91,0.0,14.07,0.6031,75.68,0.0405
2006-02-22,4000.0,202026.59,0.08,0.19,0.04,0.29,0.0,202026.59,565.0,4000.0,28536.26,,,,,,,,,,,,,,,,565.0,,0.04,,,,0.34,0.34,163501.0,8257887.45,,11.73,0.34,14.08,0.6064,75.94,0.0244
2006-03-01,24037.0,1207330.21,0.49,1.14,0.21,1.73,0.0,1207330.21,600.0,24037.0,30136.79,,,35.0,1.09,,5005.0,,,15032.0,,,,1.09,35.0,0.36,,,0.04,,,,0.29,0.29,203703.0,10231592.37,,14.69,0.29,20.82,0.4721,64.23,0.1177
2006-03-08,10538.0,523429.58,0.26,0.5,0.09,0.75,0.0,523429.58,598.0,10538.0,29703.06,,,,,,,,0.0,,2.0,,,,,,,13499.0,0.04,0.98,,,0.29,0.29,207625.0,10312874.07,,14.85,0.29,28.37,0.4601,61.16,0.0506
2006-03-15,8693.0,424217.28,0.21,0.48,0.08,0.62,0.0,424217.28,0.0,8693.0,0.0,,,,,,,,0.04,,598.0,,,,,,,1845.0,0.0,0.13,,,0.0,0.0,215579.0,10520227.52,,15.34,0.0,13.14,0.5769,74.27,0.0403
2006-03-22,8185.0,404273.67,0.2,0.46,0.07,0.59,0.0,404273.67,0.0,8185.0,0.0,,,,,,,,,,,,,,,,,508.0,0.0,0.04,,,0.0,0.0,219747.0,10853747.89,,15.68,0.0,14.12,0.5562,72.62,0.0372
2006-03-29,6032.0,300453.95,0.15,0.51,0.05,0.43,0.0,300453.95,0.0,6032.0,0.0,,,,,,,,,,,,,,,,,2153.0,0.0,0.15,,,0.0,0.0,221108.0,11013390.48,,15.81,0.0,9.9,0.8217,90.1,0.0273
2006-04-05,12243.0,622617.39,0.3,1.33,0.11,0.87,0.0,622617.39,0.0,12243.0,0.0,,,,0.32,,2299.0,,,4504.0,,,,0.32,,0.16,,,0.0,,,0.04,0.0,0.0,224280.0,11405752.6,,16.08,0.0,18.78,0.695,81.22,0.0546
2006-04-12,13831.0,704820.38,0.34,1.74,0.12,0.99,0.0,704820.38,567.0,13831.0,28894.02,,,,0.12,,,,,1588.0,,,,0.12,,,567.0,,0.04,,,,0.56,0.56,101523.0,5173557.89,,7.33,0.55,20.87,0.6697,79.13,0.1355
2006-04-19,38089.0,1923747.71,0.94,5.26,0.34,2.73,0.0,692698.68,24374.0,13715.0,1231049.04,,,,0.04,,,,0.04,500.0,567.0,,,0.04,,,24374.0,616.0,1.74,0.04,,,38.63,24.12,38721.0,1955667.92,,0.0,0.0,16.56,0.7237,83.44,0.377
2006-04-26,35354.0,1831175.93,0.87,4.84,0.31,2.53,0.0,502467.55,25652.0,9701.0,1328656.58,,,1279.0,,,,,,,,,,,1279.0,,,4014.0,1.84,0.29,,,82.93,37.24,5279.0,273428.12,,0.0,0.0,9.87,0.8221,90.13,0.5133
2006-05-03,34636.0,1775890.09,0.86,4.55,0.31,2.48,0.0,496117.12,24961.0,9676.0,1279824.25,,,,,,,,0.05,,691.0,,,,,,,26.0,1.79,0.0,,,82.9,36.68,5147.0,263901.9,,0.0,0.0,9.63,0.826,90.37,0.509
2006-05-10,34969.0,1802708.36,0.86,4.69,0.31,2.51,0.0,499432.03,25281.0,9688.0,1303276.33,,,320.0,0.0,,,,,12.0,,,,0.0,320.0,,,,1.81,,,,82.1,36.78,5510.0,284049.39,,0.0,0.0,9.74,0.8242,90.26,0.5087
2006-05-17,33324.0,1590223.76,0.82,3.99,0.29,2.39,0.0,459448.88,23696.0,9628.0,1130774.88,,,,,,,,0.11,,1585.0,,,,,,,59.0,1.7,0.0,,,82.14,34.33,5154.0,245949.26,,0.0,0.0,9.19,0.8332,90.81,0.4828
2006-05-24,27059.0,1225280.83,0.67,2.64,0.24,1.93,0.0,207526.59,22476.0,4583.0,1017754.24,,,,,,,,0.1,,1219.0,,,,,,,5046.0,1.6,0.36,,,89.42,14.76,2658.0,120359.08,,0.0,0.0,18.3,0.7009,81.7,0.1777
2006-05-31,33907.0,1562535.0,0.84,3.25,0.3,2.31,0.0,458755.89,23952.0,9955.0,1103779.11,,,1133.0,0.0,,5330.0,,,42.0,,,,0.0,1133.0,0.35,342.0,,1.63,,,,15.31,15.31,132494.0,6105716.0,,8.77,15.7,39.24,0.4313,51.91,0.2167
