,ALESE FP Equity_DX_SI_QTY,ALESE FP Equity_DX_SHORT_INTEREST_VALUE,ALESE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALESE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALESE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALESE FP Equity_DX_SI_MV,ALESE FP Equity_DX_DSS,ALESE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALESE FP Equity_DX_SUPPLY_SI_QTY,ALESE FP Equity_DX_BROKER_SI_QTY,ALESE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALESE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALESE FP Equity_DX_BROKER_SI_MV_INC_x,ALESE FP Equity_DX_BROKER_SI_QTY_ADD,ALESE FP Equity_DX_SUPPLY_SI_MV_DEC,ALESE FP Equity_DX_BROKER_SI_QTY_INC,ALESE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALESE FP Equity_DX_BROKER_SI_MV_INC_y,ALESE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALESE FP Equity_DX_BROKER_SI_MV_ADD,ALESE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALESE FP Equity_DX_BROKER_SI_QTY_DEC,ALESE FP Equity_DX_SUPPLY_SI_MV,ALESE FP Equity_DX_BROKER_SI_MV_DEC,ALESE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALESE FP Equity_DX_UTILIZATION_QUANTITY,ALESE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALESE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALESE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALESE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALESE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALESE FP Equity_DX_BROKER_SI_CON_RATIO,ALESE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALESE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALESE FP Equity_PX_LAST
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2021-10-07,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54880.0,0.05,0.0,,0.0,,0.0,6.86
2021-10-08,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,53600.0,0.05,0.0,,0.0,,0.0,6.7
2021-10-11,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54400.0,0.05,0.0,,0.0,,0.0,6.8
2021-10-12,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54400.0,0.05,0.0,,0.0,,0.0,6.8
2021-10-13,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,54400.0,0.05,0.0,,0.0,,0.0,6.8
2021-10-14,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.05,0.0,,0.0,,0.0,6.9
2021-10-15,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55520.0,0.06,0.0,,0.0,,0.0,6.94
2021-10-18,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8000.0,55200.0,0.06,0.0,,0.0,,0.0,6.9
