,ALTUV FP Equity_DX_SI_QTY,ALTUV FP Equity_DX_SHORT_INTEREST_VALUE,ALTUV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTUV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTUV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTUV FP Equity_DX_SI_MV,ALTUV FP Equity_DX_DSS,ALTUV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTUV FP Equity_DX_SUPPLY_SI_QTY,ALTUV FP Equity_DX_BROKER_SI_QTY,ALTUV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTUV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTUV FP Equity_DX_BROKER_SI_MV_INC_x,ALTUV FP Equity_DX_BROKER_SI_QTY_ADD,ALTUV FP Equity_DX_SUPPLY_SI_MV_DEC,ALTUV FP Equity_DX_BROKER_SI_QTY_INC,ALTUV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTUV FP Equity_DX_BROKER_SI_MV_INC_y,ALTUV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTUV FP Equity_DX_BROKER_SI_MV_ADD,ALTUV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTUV FP Equity_DX_BROKER_SI_QTY_DEC,ALTUV FP Equity_DX_SUPPLY_SI_MV,ALTUV FP Equity_DX_BROKER_SI_MV_DEC,ALTUV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTUV FP Equity_DX_UTILIZATION_QUANTITY,ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTUV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTUV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTUV FP Equity_DX_BROKER_SI_CON_RATIO,ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTUV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTUV FP Equity_PX_LAST
2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86
2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.785
2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77
2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.835
2018-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.888
2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.896
2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.886
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.865
2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77
2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82
2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87
2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.862
2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.862
2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.863
2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.864
2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.864
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.866
2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87
2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.884
2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.879
2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,706928.38,0.71,0.0,,0.0,,0.0,3.878
2018-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,707019.52,0.71,0.0,,0.0,,0.0,3.879
2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,705378.89,0.72,0.0,,0.0,,0.0,3.87
2018-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,706472.65,0.71,0.0,,0.0,,0.0,3.876
2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,705470.04,0.71,0.0,,0.0,,0.0,3.87
2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,182292.0,704102.85,0.71,0.0,,0.0,,0.0,3.863
