,ISRM FP Equity_PX_LAST
2024-12-03,10.101
2024-12-04,10.403
2024-12-05,10.405
2024-12-06,10.18
2024-12-09,10.11
2024-12-10,10.126
2024-12-11,10.167
2024-12-12,10.178
2024-12-13,10.121
2024-12-16,10.148
2024-12-17,10.105
2024-12-18,10.121
2024-12-19,9.941
2024-12-20,9.952
2024-12-23,9.925
2024-12-24,10.017
2024-12-27,9.982
2024-12-30,9.93
2024-12-31,9.946
2025-01-02,10.068
2025-01-03,10.053
2025-01-06,10.194
2025-01-07,10.078
2025-01-08,10.06
2025-01-09,10.068
2025-01-10,10.003
2025-01-13,9.977
2025-01-14,9.968
2025-01-15,10.122
2025-01-16,10.172
2025-01-17,10.262
2025-01-20,10.191
2025-01-21,10.239
2025-01-22,10.318
2025-01-23,10.346
2025-01-24,10.296
2025-01-27,10.084
2025-01-28,10.167
2025-01-29,10.213
2025-01-30,10.231
2025-01-31,10.351
2025-02-03,10.251
2025-02-04,10.219
2025-02-05,10.199
2025-02-06,10.323
2025-02-07,10.317
2025-02-10,10.373
2025-02-11,10.344
2025-02-12,10.256
2025-02-13,10.294
2025-02-14,10.262
2025-02-17,10.31
2025-02-18,10.333
2025-02-19,10.362
2025-02-20,10.288
2025-02-21,10.291
2025-02-24,10.164
2025-02-25,10.047
2025-02-26,10.164
2025-02-27,10.177
2025-02-28,10.047
2025-03-03,10.087
2025-03-04,9.735
2025-03-05,9.618
2025-03-06,9.623
2025-03-07,9.449
2025-03-10,9.427
2025-03-11,9.216
2025-03-12,9.297
2025-03-13,9.217
2025-03-14,9.337
2025-03-17,9.378
2025-03-18,9.324
2025-03-19,9.438
2025-03-20,9.46
2025-03-21,9.345
2025-03-24,9.583
2025-03-25,9.592
2025-03-26,9.54
2025-03-27,9.51
2025-03-28,9.296
2025-03-31,9.241
2025-04-01,9.375
2025-04-02,9.362
2025-04-03,8.921
2025-04-04,8.51
2025-04-07,8.244
2025-04-08,8.568
2025-04-09,8.2
2025-04-10,8.462
2025-04-11,8.41
2025-04-14,8.656
2025-04-15,8.773
2025-04-16,8.658
2025-04-17,8.581
2025-04-22,8.496
2025-04-23,8.746
2025-04-24,8.793
2025-04-25,8.838
2025-04-28,8.858
2025-04-29,8.9
2025-04-30,8.925
2025-05-02,9.15
2025-05-05,9.194
2025-05-06,9.14
2025-05-07,9.106
2025-05-08,9.249
2025-05-09,9.229
2025-05-12,9.52
2025-05-13,9.587
2025-05-14,9.541
2025-05-15,9.599
2025-05-16,9.661
2025-05-19,9.633
2025-05-20,9.666
2025-05-21,9.591
2025-05-22,9.522
2025-05-23,9.449
2025-05-26,9.505
2025-05-27,9.598
2025-05-28,9.613
2025-05-29,9.564
2025-05-30,9.6
2025-06-02,9.516
2025-06-03,9.608
2025-06-04,9.633
2025-06-05,9.628
2025-06-06,9.679
2025-06-09,9.673
2025-06-10,9.678
2025-06-11,9.681
2025-06-12,9.592
2025-06-13,9.544
2025-06-16,9.582
2025-06-17,9.567
2025-06-18,9.569
2025-06-19,9.432
2025-06-20,9.489
2025-06-23,9.492
2025-06-24,9.582
2025-06-25,9.596
2025-06-26,9.605
2025-06-27,9.661
2025-06-30,9.654
2025-07-01,9.631
2025-07-02,9.656
2025-07-03,9.756
2025-07-04,9.692
2025-07-07,9.718
2025-07-08,9.719
2025-07-09,9.734
2025-07-10,9.799
2025-07-11,9.728
2025-07-14,9.742
2025-07-15,9.81
2025-07-16,9.692
2025-07-17,9.849
2025-07-18,9.838
2025-07-21,9.844
2025-07-22,9.787
2025-07-23,9.87
2025-07-24,9.901
2025-07-25,9.912
2025-07-28,9.983
2025-07-29,10.044
2025-07-30,10.078
2025-07-31,10.071
2025-08-01,9.79
2025-08-04,9.907
2025-08-05,9.884
2025-08-06,9.867
2025-08-07,9.886
2025-08-08,9.893
2025-08-11,9.942
2025-08-12,9.958
2025-08-13,9.963
2025-08-14,10.019
2025-08-15,9.978
2025-08-18,10.012
2025-08-19,10.014
2025-08-20,9.945
2025-08-21,10.005
2025-08-22,10.08
2025-08-25,10.039
2025-08-26,10.032
2025-08-27,10.099
2025-08-28,10.078
2025-08-29,9.983
