,SADU FP Equity_DX_SI_QTY,SADU FP Equity_DX_SHORT_INTEREST_VALUE,SADU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SADU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SADU FP Equity_DX_SI_MV,SADU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SADU FP Equity_DX_SUPPLY_SI_QTY,SADU FP Equity_DX_BROKER_SI_QTY,SADU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SADU FP Equity_DX_SUPPLY_SI_MV_DEC,SADU FP Equity_DX_SUPPLY_SI_QTY_DEC,SADU FP Equity_DX_SUPPLY_SI_QTY_ADD,SADU FP Equity_DX_SUPPLY_SI_MV,SADU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SADU FP Equity_DX_UTILIZATION_QUANTITY,SADU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SADU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SADU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SADU FP Equity_DX_ACTIVE_UTILIZATION_MV,SADU FP Equity_DX_BROKER_SI_CON_RATIO,SADU FP Equity_DX_DEMAND_SUPPLY_RATIO,SADU FP Equity_PX_LAST
2020-09-22,,,,,,,,,,,,,,,,,,,,,,57.4
2020-09-23,,,,,,,,,,,,,,,,,,,,,,57.69
2020-09-24,,,,,,,,,,,,,,,,,,,,,,56.78
2020-09-25,,,,,,,,,,,,,,,,,,,,,,57.17
2020-09-28,,,,,,,,,,,,,,,,,,,,,,58.59
2020-09-29,,,,,,,,,,,,,,,,,,,,,,58.46
2020-09-30,,,,,,,,,,,,,,,,,,,,,,59.05
2020-10-01,,,,,,,,,,,,,,,,,,,,,,59.3
2020-10-02,,,,,,,,,,,,,,,,,,,,,,58.72
2020-10-05,,,,,,,,,,,,,,,,,,,,,,59.46
2020-10-06,,,,,,,,,,,,,,,,,,,,,,59.75
2020-10-07,,,,,,,,,,,,,,,,,,,,,,59.77
2020-10-08,,,,,,,,,,,,,,,,,,,,,,60.2
2020-10-09,,,,,,,,,,,,,,,,,,,,,,60.84
2020-10-12,,,,,,,,,,,,,,,,,,,,,,61.63
2020-10-13,,,,,,,,,,,,,,,,,,,,,,61.58
2020-10-14,,,,,,,,,,,,,,,,,,,,,,61.43
2020-10-15,,,,,,,,,,,,,,,,,,,,,,60.69
2020-10-16,,,,,,,,,,,,,,,,,,,,,,61.32
2020-10-19,,,,,,,,,,,,,,,,,,,,,,61.41
2020-10-20,,,,,,,,,,,,,,,,,,,,,,60.4
2020-10-21,,,,,,,,,,,,,,,,,,,,,,60.35
2020-10-22,,,,,,,,,,,,,,,,,,,,,,60.23
2020-10-23,,,,,,,,,,,,,,,,,,,,,,60.43
2020-10-26,,,,,,,,,,,,,,,,,,,,,,59.14
2020-10-27,,,,,,,,,,,,,,,,,,,,,,59.31
2020-10-28,,,,,,,,,,,,,,,,,,,,,,57.62
2020-10-29,,,,,,,,,,,,,,,,,,,,,,57.54
2020-10-30,,,,,,,,,,,,,,,,,,,,,,57.26
2020-11-02,,,,,,,,,,,,,,,,,,,,,,58.3
2020-11-03,,,,,,,,,,,,,,,,,,,,,,59.62
2020-11-04,,,,,,,,,,,,,,,,,,,,,,60.95
2020-11-05,,,,,,,,,,,,,,,,,,,,,,61.74
2020-11-06,,,,,,,,,,,,,,,,,,,,,,61.55
2020-11-09,,,,,,,,,,,,,,,,,,,,,,63.45
2020-11-10,,,,,,,,,,,,,,,,,,,,,,61.99
2020-11-11,,,,,,,,,,,,,,,,,,,,,,62.59
2020-11-12,,,,,,,,,,,,,,,,,,,,,,62.29
2020-11-13,,,,,,,,,,,,,,,,,,,,,,62.35
2020-11-16,,,,,,,,,,,,,,,,,,,,,,63.42
2020-11-17,,,,,,,,,,,,,,,,,,,,,,63.23
