,CBDG FP Equity_DX_SI_QTY,CBDG FP Equity_DX_SHORT_INTEREST_VALUE,CBDG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CBDG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CBDG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CBDG FP Equity_DX_SI_MV,CBDG FP Equity_DX_DSS,CBDG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CBDG FP Equity_DX_SUPPLY_SI_QTY,CBDG FP Equity_DX_BROKER_SI_QTY,CBDG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CBDG FP Equity_DX_SUPPLY_SI_QTY_INC_x,CBDG FP Equity_DX_BROKER_SI_MV_INC_x,CBDG FP Equity_DX_BROKER_SI_QTY_ADD,CBDG FP Equity_DX_SUPPLY_SI_MV_DEC,CBDG FP Equity_DX_BROKER_SI_QTY_INC,CBDG FP Equity_DX_SUPPLY_SI_QTY_DEC,CBDG FP Equity_DX_BROKER_SI_MV_INC_y,CBDG FP Equity_DX_SUPPLY_SI_QTY_INC_y,CBDG FP Equity_DX_BROKER_SI_MV_ADD,CBDG FP Equity_DX_SUPPLY_SI_QTY_ADD,CBDG FP Equity_DX_BROKER_SI_QTY_DEC,CBDG FP Equity_DX_SUPPLY_SI_MV,CBDG FP Equity_DX_BROKER_SI_MV_DEC,CBDG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CBDG FP Equity_DX_UTILIZATION_QUANTITY,CBDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CBDG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CBDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CBDG FP Equity_DX_ACTIVE_UTILIZATION_MV,CBDG FP Equity_DX_BROKER_SI_CON_RATIO,CBDG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CBDG FP Equity_DX_DEMAND_SUPPLY_RATIO,CBDG FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.917
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.442
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.936
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.936
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.936
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.868
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.868
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.887
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.861
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.319
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.386
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.337
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.337
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.288
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.763
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.458
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.867
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.732
1989-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.732
1989-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.903
1989-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.428
1989-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1989-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.867
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1989-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.616
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.092
1989-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.616
1989-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.513
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.781
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.983
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.818
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.665
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.714
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.763
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.239
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.763
1989-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.763
1989-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.898
1989-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.288
1989-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.709
