,LHYFE FP Equity_DX_SI_QTY,LHYFE FP Equity_DX_SHORT_INTEREST_VALUE,LHYFE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LHYFE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LHYFE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LHYFE FP Equity_DX_SI_MV,LHYFE FP Equity_DX_DSS,LHYFE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LHYFE FP Equity_DX_SUPPLY_SI_QTY,LHYFE FP Equity_DX_BROKER_SI_QTY,LHYFE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LHYFE FP Equity_DX_BROKER_SI_MV_NEW_x,LHYFE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LHYFE FP Equity_DX_BROKER_SI_MV_INC_x,LHYFE FP Equity_DX_BROKER_SI_QTY_ADD,LHYFE FP Equity_DX_BROKER_SI_QTY_NEW,LHYFE FP Equity_DX_SUPPLY_SI_MV_DEC,LHYFE FP Equity_DX_BROKER_SI_QTY_INC,LHYFE FP Equity_DX_SUPPLY_SI_QTY_DEC,LHYFE FP Equity_DX_BROKER_SI_MV_NEW_y,LHYFE FP Equity_DX_BROKER_SI_MV_INC_y,LHYFE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LHYFE FP Equity_DX_BROKER_SI_MV_ADD,LHYFE FP Equity_DX_SUPPLY_SI_QTY_ADD,LHYFE FP Equity_DX_BROKER_SI_QTY_DEC,LHYFE FP Equity_DX_SUPPLY_SI_MV,LHYFE FP Equity_DX_BROKER_SI_MV_DEC,LHYFE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LHYFE FP Equity_DX_UTILIZATION_QUANTITY,LHYFE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LHYFE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LHYFE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LHYFE FP Equity_DX_ACTIVE_UTILIZATION_MV,LHYFE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LHYFE FP Equity_DX_BROKER_SI_CON_RATIO,LHYFE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LHYFE FP Equity_DX_DEMAND_SUPPLY_RATIO,LHYFE FP Equity_PX_LAST
2022-06-07,2000.0,16980.0,0.0,0.05,0.0,0.02,0.0,16980.0,0.0,2000.0,0.0,,,,2000.0,,,,,,,,0.02,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0033,8.49
2022-06-08,2000.0,17200.0,0.0,0.05,0.0,0.02,0.0,17200.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0033,8.6
2022-06-09,2000.0,17200.0,0.0,0.05,0.0,0.02,0.0,17200.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0033,8.6
2022-06-10,2000.0,16980.0,0.0,0.04,0.0,0.02,0.0,16980.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0033,8.49
2022-06-13,3400.0,26285.4,0.01,0.08,0.01,0.03,0.0,20873.7,700.0,2700.0,5411.7,,,,700.0,,,,,,,,0.01,700.0,,0.01,,0.38,0.12,181500.0,1403176.5,1.54,0.38,24.92,0.4467,60.21,0.0056,7.731
2022-06-14,4400.0,34320.0,0.01,0.09,0.01,0.03,0.0,28860.0,1700.0,3700.0,13260.0,,,0.01,,,,1000.0,,,0.01,,,1000.0,,0.01,,0.93,0.28,181500.0,1415700.0,1.4,0.93,43.33,0.4063,45.36,0.0072,7.8
2022-06-15,9800.0,78047.2,0.02,0.2,0.02,0.08,0.0,70879.6,1900.0,8900.0,15131.6,,200.0,0.04,,,,5200.0,,,0.04,200.0,,,,0.01,,1.04,0.31,181500.0,1445466.0,1.42,1.03,20.12,0.6031,74.83,0.0161,7.964
2022-06-16,10800.0,81000.0,0.02,0.22,0.02,0.08,0.0,74250.0,2900.0,9900.0,21750.0,,1000.0,0.01,,,,1000.0,,,0.01,1000.0,,,,0.02,,1.57,0.48,181500.0,1361250.0,1.44,1.56,28.99,0.5245,66.19,0.0178,7.5
2022-06-17,10900.0,80769.0,0.02,0.21,0.02,0.08,0.0,74100.0,2900.0,10000.0,21489.0,,,0.0,,,,100.0,,,0.0,,,,,0.02,,1.57,0.43,181500.0,1344915.0,1.36,1.58,28.9,0.5285,66.55,0.0163,7.41
2022-06-20,25344.0,195427.58,0.05,0.49,0.05,0.2,0.0,89694.35,15712.0,11632.0,121155.23,,1732.0,0.02,,,,1632.0,,,0.02,1732.0,,11080.0,,0.12,,8.03,2.35,179868.0,1386962.15,1.33,8.24,36.0,0.4488,55.91,0.0379,7.711
2022-06-21,25344.0,198367.49,0.05,0.48,0.05,0.2,0.0,177766.82,15712.0,22712.0,122977.82,,,0.09,,,,11080.0,,,0.09,,,,,0.12,,8.03,2.35,179868.0,1407826.84,1.39,8.11,35.57,0.4497,56.26,0.0379,7.827
2022-06-22,25344.0,198190.08,0.05,0.47,0.05,0.2,0.0,177607.84,15712.0,22712.0,122867.84,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1406567.76,1.41,8.03,35.21,0.4508,56.58,0.0379,7.82
2022-06-23,25344.0,197150.98,0.05,0.46,0.05,0.2,0.0,176676.65,15712.0,22712.0,122223.65,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1399193.17,1.41,8.01,35.06,0.4513,56.71,0.0379,7.779
2022-06-24,25344.0,195757.06,0.05,0.45,0.05,0.2,0.0,175427.49,15712.0,22712.0,121359.49,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1389300.43,1.4,7.99,35.03,0.4514,56.73,0.0379,7.724
2022-06-27,25344.0,196922.88,0.05,0.45,0.05,0.2,0.0,176472.24,15712.0,22712.0,122082.24,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1397574.36,1.39,8.06,35.36,0.4503,56.44,0.0379,7.77
2022-06-28,25344.0,201231.36,0.05,0.45,0.05,0.2,0.0,180333.28,15712.0,22712.0,124753.28,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1428151.92,1.4,8.15,35.75,0.4489,56.07,0.0379,7.94
2022-06-29,25344.0,200217.6,0.05,0.44,0.05,0.21,0.0,179424.8,15712.0,22712.0,124124.8,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1420957.2,1.43,8.01,35.07,0.4513,56.71,0.0379,7.9
2022-06-30,25344.0,196416.0,0.05,0.44,0.05,0.2,0.0,176018.0,15712.0,22712.0,121768.0,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1393977.0,1.42,7.93,34.72,0.4523,57.0,0.0379,7.75
2022-07-01,25344.0,190206.72,0.05,0.43,0.05,0.2,0.0,170453.56,15712.0,22712.0,117918.56,,,,,,,,,,,,,,,0.12,,8.03,2.35,179868.0,1349909.34,1.39,7.87,34.12,0.4556,57.66,0.0379,7.505
2022-07-04,25904.0,193995.06,0.06,0.43,0.06,0.2,0.0,174284.01,15712.0,23272.0,117667.17,,,0.0,,,,560.0,,,0.0,,,,,0.12,,8.03,2.35,179868.0,1347031.45,1.35,8.02,35.52,0.4533,56.66,0.0388,7.489
2022-07-05,27904.0,200825.09,0.06,0.76,0.06,0.21,0.0,174685.58,16712.0,24272.0,120276.26,,1000.0,0.0,,,,1000.0,,,0.0,1000.0,,,,0.12,,8.54,2.5,178868.0,1287313.0,1.34,8.37,36.57,0.4197,52.31,0.0418,7.197
2022-07-06,27904.0,196723.2,0.06,0.89,0.06,0.2,0.0,171117.6,16712.0,24272.0,117819.6,,,,,,,,,,,,,,,0.12,,8.54,2.5,178868.0,1261019.4,1.29,8.44,37.03,0.4188,51.91,0.0418,7.05
2022-07-07,27804.0,186286.8,0.06,0.93,0.06,0.2,0.0,161952.4,16712.0,24172.0,111970.4,,,,,,,,,,,,,,100.0,0.11,0.0,8.54,2.5,178868.0,1198415.6,1.26,8.29,36.16,0.4203,52.62,0.0416,6.7
2022-07-08,49772.0,350544.2,0.11,1.75,0.11,0.34,0.0,177525.86,37646.0,25206.0,265140.78,,21034.0,0.01,,,0.0,1034.0,100.0,,0.01,21034.0,,,,0.26,,19.26,5.63,157834.0,1111624.86,1.06,19.49,28.82,0.3645,47.44,0.0745,7.043
2022-07-11,62572.0,442384.04,0.13,2.27,0.13,0.44,0.0,268702.42,37646.0,38006.0,266157.22,,,0.14,,,,19800.0,,,0.14,,,,7000.0,0.27,0.05,19.26,5.63,157834.0,1115886.38,1.11,19.29,38.31,0.4095,49.89,0.0936,7.07
2022-07-12,62372.0,429743.08,0.13,2.3,0.13,0.44,0.0,261861.34,32446.0,38006.0,223552.94,,,,,,0.04,,5200.0,,,,,,,0.23,,17.05,4.86,157834.0,1087476.26,1.12,16.99,39.01,0.4066,48.99,0.0934,6.89
2022-07-13,62372.0,424753.32,0.13,2.3,0.13,0.43,0.0,258820.86,32446.0,38006.0,220957.26,,,,,,,,,,,,,,,0.22,,17.05,4.86,157834.0,1074849.54,1.09,17.02,38.73,0.4078,49.36,0.0934,6.81
2022-07-14,62372.0,416582.59,0.13,2.38,0.13,0.42,0.0,253842.07,32446.0,38006.0,216706.83,,,,,,,,,,,,,,,0.22,,17.05,4.86,157834.0,1054173.29,1.07,17.01,38.9,0.4069,49.12,0.0934,6.679
2022-07-15,62372.0,424129.6,0.13,2.44,0.13,0.42,0.0,258440.8,32446.0,38006.0,220632.8,,,,,,,,,,,,,,,0.22,,17.05,4.86,157834.0,1073271.2,1.05,17.09,38.19,0.4104,50.07,0.0934,6.8
2022-07-18,62372.0,422008.95,0.13,2.48,0.13,0.43,0.0,257148.6,32446.0,38006.0,219529.64,,,,,,,,,,,,,,,0.22,,17.05,4.86,157834.0,1067904.84,1.07,17.03,38.61,0.4084,49.53,0.0934,6.766
2022-07-19,62372.0,430366.8,0.13,2.49,0.13,0.43,0.0,262241.4,32446.0,38006.0,223877.4,,,,,,,,,,,,,,,0.22,,17.05,4.86,157834.0,1089054.6,1.07,17.1,38.15,0.4105,50.12,0.0934,6.9
2022-07-20,57886.0,399413.4,0.12,2.39,0.12,0.4,0.0,231288.0,32446.0,33520.0,223877.4,,,,,,,,,,,,,,4486.0,0.22,0.03,17.05,4.86,157834.0,1089054.6,1.07,17.09,41.09,0.3975,46.06,0.0867,6.9
2022-07-21,56254.0,419654.84,0.12,2.36,0.12,0.41,0.0,250059.2,29814.0,33520.0,222412.44,,,,,,0.02,,2632.0,,,,,,,0.21,,15.75,4.46,159466.0,1189616.36,1.1,15.97,38.37,0.4031,48.98,0.0842,7.46
2022-07-22,56254.0,414141.95,0.12,2.37,0.12,0.42,0.0,246774.24,29814.0,33520.0,219490.67,,,,,,,,,,,,,,,0.22,,15.75,4.45,159466.0,1173988.69,1.19,15.71,40.05,0.3963,46.74,0.084,7.362
2022-07-25,56254.0,441031.36,0.12,2.18,0.12,0.43,0.0,262796.8,29814.0,33520.0,233741.76,,,,,,,,,,,,,,,0.22,,15.75,4.44,159466.0,1250213.44,1.17,15.93,38.64,0.4019,48.62,0.0837,7.84
2022-07-26,56254.0,444406.6,0.12,2.42,0.12,0.45,0.0,264808.0,29814.0,33520.0,235530.6,,,,,,,,,,,,,,,0.23,,15.75,4.41,159466.0,1259781.4,1.25,15.78,39.65,0.3976,47.25,0.0831,7.9
2022-07-27,55754.0,439341.52,0.12,2.43,0.12,0.44,0.0,260197.6,29814.0,33020.0,234934.32,,,,,,,,,,,,,,500.0,0.24,0.0,15.75,4.41,159466.0,1256592.08,1.26,15.74,40.23,0.3957,46.5,0.0824,7.88
2022-07-28,53493.0,424734.42,0.11,2.37,0.11,0.43,0.0,248196.46,29314.0,31259.0,232753.16,,,,,,0.0,,500.0,,,,,,1761.0,0.23,0.01,15.49,4.33,159966.0,1270130.04,1.26,15.5,40.79,0.3919,45.46,0.079,7.94
2022-07-29,53493.0,429281.33,0.11,2.47,0.11,0.43,0.0,250853.48,29314.0,31259.0,235244.85,,,,,,,,,,,,,,,0.23,,15.49,4.33,159966.0,1283727.15,1.27,15.51,40.73,0.3921,45.54,0.079,8.025
2022-08-01,53493.0,430618.65,0.11,2.42,0.11,0.43,0.0,251634.95,29314.0,31259.0,235977.7,,,,,,,,,,,,,,,0.24,,15.49,4.33,159966.0,1287726.3,1.28,15.49,40.87,0.3917,45.36,0.079,8.05
2022-08-02,53493.0,429227.83,0.11,2.47,0.11,0.43,0.0,250822.22,29314.0,31259.0,235215.54,,,,,,,,,,,,,,,0.24,,15.49,4.33,159966.0,1283567.18,1.29,15.48,40.97,0.3912,45.19,0.079,8.024
2022-08-03,53333.0,417330.73,0.11,2.54,0.11,0.43,0.0,241784.68,29514.0,30899.0,230947.05,,200.0,,,,,,,,,200.0,,,360.0,0.24,0.01,15.58,4.36,159966.0,1251733.95,1.28,15.51,41.5,0.3898,44.49,0.0788,7.825
2022-08-04,52299.0,418392.0,0.11,2.44,0.11,0.42,0.0,238920.0,29514.0,29865.0,236112.0,,,,,,,,,,,,,,1034.0,0.23,0.0,15.58,4.36,159966.0,1279728.0,1.25,15.63,41.46,0.3901,44.58,0.0773,8.0
2022-08-05,39712.0,317696.0,0.08,1.95,0.08,0.32,0.0,187168.0,23396.0,23396.0,187168.0,,,,,,0.05,,6118.0,,,,,,6469.0,0.19,0.05,12.35,3.46,166084.0,1328672.0,1.33,12.35,39.72,0.3663,41.72,0.0587,8.0
2022-08-08,39712.0,317696.0,0.08,1.98,0.08,0.32,0.0,187168.0,23396.0,23396.0,187168.0,,,,,,,,,,,,,,,0.19,,100.0,3.46,0.0,0.0,0.0,100.0,39.73,0.3663,41.72,0.0587,8.0
2022-08-09,39712.0,318927.07,0.08,1.96,0.08,0.32,0.0,187893.28,23396.0,23396.0,187893.28,,,,,,,,,,,,,,,0.19,,100.0,3.46,0.0,0.0,0.0,100.0,39.66,0.3665,41.81,0.0587,8.031
2022-08-10,39612.0,322718.96,0.08,1.95,0.08,0.32,0.0,189792.51,23396.0,23296.0,190607.21,,,,,,,,,,,,,,100.0,0.19,0.0,100.0,3.46,0.0,0.0,0.0,100.0,39.6,0.3667,41.92,0.0585,8.147
2022-08-11,39512.0,320086.71,0.08,1.98,0.08,0.32,0.0,188720.9,23296.0,23296.0,188720.9,,,,,,0.0,,100.0,,,,,,,0.19,,100.0,3.44,0.0,0.0,0.0,100.0,40.01,0.3656,41.29,0.0584,8.101
2022-08-12,39512.0,321193.05,0.08,2.01,0.08,0.32,0.0,189373.18,23296.0,23296.0,189373.18,,,,,,,,,,,,,,,0.19,,100.0,3.44,0.0,0.0,0.0,100.0,39.86,0.3659,41.5,0.0584,8.129
2022-08-15,39512.0,321232.56,0.08,2.09,0.08,0.32,0.0,189396.48,23296.0,23296.0,189396.48,,,,,,,,,,,,,,,0.19,,100.0,3.44,0.0,0.0,0.0,100.0,39.91,0.3657,41.42,0.0584,8.13
2022-08-16,39512.0,323603.28,0.08,2.07,0.08,0.33,0.0,190794.24,23296.0,23296.0,190794.24,,,,,,,,,,,,,,,0.19,,100.0,3.44,0.0,0.0,0.0,100.0,39.8,0.3661,41.6,0.0584,8.19
2022-08-17,39512.0,320086.71,0.08,2.1,0.08,0.33,0.0,188720.9,23296.0,23296.0,188720.9,,,,,,,,,,,,,,,0.19,,100.0,3.44,0.0,0.0,0.0,100.0,40.1,0.3654,41.17,0.0584,8.101
2022-08-18,37555.0,308889.88,0.08,2.0,0.08,0.31,0.0,175513.28,23296.0,21339.0,191609.6,,,,,,,,,,,,,,1957.0,0.19,0.01,100.0,3.44,0.0,0.0,0.0,100.0,38.75,0.3624,41.74,0.0555,8.225
2022-08-19,35598.0,286563.9,0.08,1.95,0.08,0.29,0.0,171778.95,21339.0,21339.0,171778.95,,,,,,0.01,,1957.0,,,,,,,0.17,,100.0,3.15,0.0,0.0,0.0,100.0,39.15,0.3567,39.98,0.0526,8.05
2022-08-22,35598.0,287987.82,0.08,2.02,0.08,0.29,0.0,172632.51,21339.0,21339.0,172632.51,,,,,,,,,,,,,,,0.17,,100.0,3.15,0.0,0.0,0.0,100.0,38.74,0.3576,40.6,0.0526,8.09
2022-08-23,35598.0,290123.7,0.08,2.12,0.08,0.29,0.0,173912.85,21339.0,21339.0,173912.85,,,,,,,,,,,,,,,0.17,,100.0,3.15,0.0,0.0,0.0,100.0,38.71,0.3578,40.67,0.0526,8.15
2022-08-24,35598.0,290123.7,0.08,2.13,0.08,0.29,0.0,173912.85,21339.0,21339.0,173912.85,,,,,,,,,,,,,,,0.17,,100.0,3.15,0.0,0.0,0.0,100.0,38.82,0.3575,40.49,0.0526,8.15
2022-08-25,35598.0,298987.6,0.08,2.12,0.08,0.3,0.0,179226.26,21339.0,21339.0,179226.26,,,,,,,,,,,,,,,0.18,,100.0,3.15,0.0,0.0,0.0,100.0,38.36,0.3587,41.21,0.0526,8.399
2022-08-26,35598.0,288770.98,0.08,1.77,0.08,0.3,0.0,173101.97,21339.0,21339.0,173101.97,,,,,,,,,,,,,,,0.18,,100.0,3.22,0.0,0.0,0.0,100.0,39.36,0.3563,39.68,0.0536,8.112
2022-08-29,33329.0,269964.9,0.07,1.63,0.07,0.28,0.0,154467.0,21339.0,19070.0,172845.9,,,,,,,,,,,,,,2269.0,0.18,0.02,100.0,3.22,0.0,0.0,0.0,100.0,36.01,0.3551,42.17,0.0502,8.1
2022-08-30,31060.0,252238.26,0.07,1.45,0.07,0.25,0.0,154867.47,19070.0,19070.0,154867.47,,,,,,0.02,,2269.0,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,37.19,0.3477,39.19,0.0468,8.121
2022-08-31,31060.0,242920.26,0.07,1.42,0.07,0.25,0.0,149146.47,19070.0,19070.0,149146.47,,,,,,,,,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,37.75,0.3464,38.26,0.0468,7.821
2022-09-01,31060.0,235434.8,0.07,1.41,0.07,0.24,0.0,144550.6,19070.0,19070.0,144550.6,,,,,,,,,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,37.64,0.3465,38.39,0.0468,7.58
2022-09-02,31060.0,242268.0,0.07,1.36,0.07,0.24,0.0,148746.0,19070.0,19070.0,148746.0,,,,,,,,,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,36.56,0.3471,39.52,0.0468,7.8
2022-09-05,31060.0,248324.7,0.07,1.49,0.07,0.25,0.0,152464.65,19070.0,19070.0,152464.65,,,,,,,,,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,36.83,0.3483,39.67,0.0468,7.995
2022-09-06,31060.0,247579.26,0.07,1.51,0.07,0.25,0.0,152006.97,19070.0,19070.0,152006.97,,,,,,,,,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,37.25,0.3474,39.05,0.0468,7.971
2022-09-07,31060.0,253139.0,0.07,1.53,0.07,0.25,0.0,155420.5,19070.0,19070.0,155420.5,,,,,,,,,,,,,,,0.15,,100.0,2.87,0.0,0.0,0.0,100.0,36.91,0.3484,39.65,0.0468,8.15
2022-09-08,31060.0,253139.0,0.07,1.54,0.07,0.26,0.0,155420.5,19070.0,19070.0,155420.5,,,,,,,,,,,,,,,0.16,,100.0,2.87,0.0,0.0,0.0,100.0,37.22,0.3476,39.13,0.0468,8.15
2022-09-09,31060.0,261525.2,0.07,1.44,0.07,0.26,0.0,160569.4,19070.0,19070.0,160569.4,,,,,,,,,,,,,,,0.16,,100.0,2.87,0.0,0.0,0.0,100.0,36.75,0.3487,39.88,0.0468,8.42
2022-09-12,32260.0,276145.6,0.07,1.48,0.07,0.28,0.0,172655.2,20170.0,20170.0,172655.2,,1100.0,0.01,,,,1100.0,,,0.01,1100.0,,,,0.17,,100.0,3.04,0.0,0.0,0.0,100.0,35.62,0.3524,41.75,0.0486,8.56
2022-09-13,32260.0,274210.0,0.07,1.41,0.07,0.28,0.0,171445.0,20170.0,20170.0,171445.0,,,,,,,,,,,,,,,0.17,,100.0,3.04,0.0,0.0,0.0,100.0,35.92,0.3511,41.18,0.0486,8.5
2022-09-14,32260.0,269500.04,0.07,1.42,0.07,0.28,0.0,168500.18,20170.0,20170.0,168500.18,,,,,,,,,,,,,,,0.17,,100.0,3.04,0.0,0.0,0.0,100.0,36.09,0.3507,40.96,0.0486,8.354
2022-09-15,31260.0,265710.0,0.07,1.38,0.07,0.27,0.0,162945.0,20170.0,19170.0,171445.0,,,,,,,,,,,,,,1000.0,0.17,0.01,100.0,3.04,0.0,0.0,0.0,100.0,36.73,0.3488,39.91,0.0471,8.5
2022-09-16,31260.0,262584.0,0.07,1.35,0.07,0.27,0.0,161028.0,19170.0,19170.0,161028.0,,,,,,0.01,,1000.0,,,,,,,0.16,,100.0,2.89,0.0,0.0,0.0,100.0,37.15,0.3477,39.24,0.0472,8.4
2022-09-19,30800.0,252560.0,0.07,1.32,0.07,0.26,0.0,155308.0,18940.0,18940.0,155308.0,,,,,,0.0,,230.0,,,,,,230.0,0.16,0.0,100.0,2.86,0.0,0.0,0.0,100.0,37.12,0.3463,38.8,0.0465,8.2
2022-09-20,28831.0,236414.2,0.06,1.25,0.06,0.24,0.0,139162.2,18940.0,16971.0,155308.0,,,,,,,,,,,,,,1969.0,0.16,0.02,100.0,2.86,0.0,0.0,0.0,100.0,35.26,0.3434,39.26,0.0435,8.2
2022-09-21,27062.0,216496.0,0.06,1.18,0.06,0.22,0.0,136568.0,17071.0,17071.0,136568.0,,100.0,0.0,,,0.02,100.0,1969.0,,0.0,100.0,,,,0.14,,100.0,2.58,0.0,0.0,0.0,100.0,34.91,0.339,37.69,0.0408,8.0
2022-09-22,27062.0,204318.1,0.06,1.17,0.06,0.21,0.0,128886.05,17071.0,17071.0,128886.05,,,,,,,,,,,,,,,0.13,,100.0,2.57,0.0,0.0,0.0,100.0,35.34,0.3382,36.97,0.0407,7.55
2022-09-23,27062.0,207782.04,0.06,1.14,0.06,0.21,0.0,131071.14,17071.0,17071.0,131071.14,,,,,,,,,,,,,,,0.13,,100.0,2.57,0.0,0.0,0.0,100.0,34.39,0.3403,38.63,0.0407,7.678
2022-09-26,27062.0,198147.96,0.06,1.06,0.06,0.21,0.0,124993.86,17071.0,17071.0,124993.86,,,,,,,,,,,,,,,0.13,,100.0,2.57,0.0,0.0,0.0,100.0,35.2,0.3384,37.19,0.0407,7.322
2022-09-27,27062.0,207376.11,0.06,1.01,0.06,0.2,0.0,130815.07,17071.0,17071.0,130815.07,,,,,,,,,,,,,,,0.13,,100.0,2.57,0.0,0.0,0.0,100.0,34.03,0.3414,39.29,0.0407,7.663
2022-09-28,39312.0,292795.78,0.08,1.43,0.08,0.3,0.0,181142.81,24321.0,24321.0,181142.81,,5000.0,0.05,,,,7250.0,,,0.05,5000.0,,2250.0,,0.18,,12.68,3.64,167509.0,1247607.03,1.28,12.58,37.0,0.3669,44.06,0.0589,7.448
