,PAASI FP Equity_DX_SI_QTY,PAASI FP Equity_DX_SHORT_INTEREST_VALUE,PAASI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PAASI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PAASI FP Equity_DX_SI_MV,PAASI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PAASI FP Equity_DX_SUPPLY_SI_QTY,PAASI FP Equity_DX_BROKER_SI_QTY,PAASI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PAASI FP Equity_DX_SUPPLY_SI_QTY_INC_x,PAASI FP Equity_DX_BROKER_SI_MV_INC_x,PAASI FP Equity_DX_BROKER_SI_QTY_ADD,PAASI FP Equity_DX_SUPPLY_SI_MV_DEC,PAASI FP Equity_DX_BROKER_SI_QTY_INC,PAASI FP Equity_DX_SUPPLY_SI_QTY_DEC,PAASI FP Equity_DX_BROKER_SI_MV_INC_y,PAASI FP Equity_DX_SUPPLY_SI_QTY_INC_y,PAASI FP Equity_DX_BROKER_SI_MV_ADD,PAASI FP Equity_DX_SUPPLY_SI_QTY_ADD,PAASI FP Equity_DX_BROKER_SI_QTY_DEC,PAASI FP Equity_DX_SUPPLY_SI_MV,PAASI FP Equity_DX_BROKER_SI_MV_DEC,PAASI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PAASI FP Equity_DX_UTILIZATION_QUANTITY,PAASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PAASI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PAASI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PAASI FP Equity_DX_ACTIVE_UTILIZATION_MV,PAASI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PAASI FP Equity_DX_BROKER_SI_CON_RATIO,PAASI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PAASI FP Equity_DX_DEMAND_SUPPLY_RATIO,PAASI FP Equity_PX_LAST
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.676
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.417
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24
2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.364
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.347
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.111
2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02
2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.074
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.15
2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.092
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.285
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.318
2019-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.454
2019-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.204
2019-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.132
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26
2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.483
2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.638
2019-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.397
2019-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.408
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.337
2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.334
2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.845
2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.873
2019-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.164
2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.063
2019-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.942
2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.844
2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.945
2019-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.068
2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.028
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.449
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.448
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.364
2019-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.42
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.294
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.117
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.038
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.115
2019-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
2019-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.051
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.198
2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.321
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.213
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.167
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.309
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.26
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37
2019-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.434
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.312
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.377
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23
2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.09
2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.073
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.184
2019-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.354
2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.603
2019-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65
2019-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.615
2019-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.974
2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.796
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.676
2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.947
2019-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.673
2019-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.772
2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.11
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.323
2019-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.346
2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4
2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.159
2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.051
2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19
2019-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.17
2019-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.386
2019-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.55
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.549
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.514
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.712
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.944
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.044
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.091
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.029
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.283
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.357
2019-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.433
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.388
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.178
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.125
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.351
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.271
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.115
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.096
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.118
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.163
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.183
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.951
2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.696
2019-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.876
2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.934
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.893
2019-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.827
2019-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.941
2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.115
2019-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.336
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.449
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.433
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.41
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.278
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.333
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.393
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.344
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.473
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.551
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.723
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.616
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.578
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.477
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.724
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.062
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.345
2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.374
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.545
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.419
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.157
2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.221
2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.984
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.938
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.062
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.043
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.07
