,ALDBT FP Equity_DX_SI_QTY,ALDBT FP Equity_DX_SHORT_INTEREST_VALUE,ALDBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDBT FP Equity_DX_SI_MV,ALDBT FP Equity_DX_DSS,ALDBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDBT FP Equity_DX_SUPPLY_SI_QTY,ALDBT FP Equity_DX_BROKER_SI_QTY,ALDBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDBT FP Equity_DX_BROKER_SI_MV_NEW_x,ALDBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDBT FP Equity_DX_BROKER_SI_MV_INC_x,ALDBT FP Equity_DX_BROKER_SI_QTY_ADD,ALDBT FP Equity_DX_BROKER_SI_QTY_NEW,ALDBT FP Equity_DX_SUPPLY_SI_MV_DEC,ALDBT FP Equity_DX_BROKER_SI_QTY_INC,ALDBT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDBT FP Equity_DX_BROKER_SI_MV_NEW_y,ALDBT FP Equity_DX_BROKER_SI_MV_INC_y,ALDBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDBT FP Equity_DX_BROKER_SI_MV_ADD,ALDBT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDBT FP Equity_DX_BROKER_SI_QTY_DEC,ALDBT FP Equity_DX_SUPPLY_SI_MV,ALDBT FP Equity_DX_BROKER_SI_MV_DEC,ALDBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDBT FP Equity_DX_UTILIZATION_QUANTITY,ALDBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDBT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDBT FP Equity_DX_BROKER_SI_CON_RATIO,ALDBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-01-01,896.0,862.85,0.02,0.01,0.01,0.0,0.0,862.85,0.0,896.0,0.0,,,,896.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-01-02,896.0,870.91,0.02,0.01,0.01,0.0,0.0,870.91,0.0,896.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-01-03,896.0,922.88,0.02,0.01,0.01,0.0,0.0,922.88,0.0,896.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-01-04,896.0,922.88,0.02,0.01,0.01,0.0,0.0,922.88,0.0,896.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-01-07,896.0,906.75,0.02,0.01,0.01,0.0,0.0,906.75,0.0,896.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-01-08,896.0,940.8,0.02,0.01,0.01,0.0,0.0,940.8,0.0,896.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-06,5000.0,3145.0,0.1,0.09,0.07,0.0,0.0,3145.0,0.0,5000.0,0.0,,,,5000.0,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-09,5000.0,3540.0,0.1,0.09,0.07,0.0,0.0,3540.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-10,5000.0,3430.0,0.1,0.07,0.07,0.0,0.0,3430.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-11,5000.0,3185.0,0.1,0.06,0.07,0.0,0.0,3185.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-12,5000.0,3145.0,0.1,0.06,0.07,0.0,0.0,3145.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-13,5000.0,3080.0,0.1,0.06,0.07,0.0,0.0,3080.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-16,5000.0,2950.0,0.1,0.06,0.07,0.0,0.0,2950.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-17,5000.0,2910.0,0.1,0.06,0.07,0.0,0.0,2910.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-18,5000.0,2840.0,0.1,0.05,0.07,0.0,0.0,2840.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-19,5000.0,2875.0,0.1,0.05,0.07,0.0,0.0,2875.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-09-20,5000.0,2950.0,0.1,0.05,0.07,0.0,0.0,2950.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
