,GBT FP Equity_DX_SI_QTY,GBT FP Equity_DX_SHORT_INTEREST_VALUE,GBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GBT FP Equity_DX_SI_MV,GBT FP Equity_DX_DSS,GBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GBT FP Equity_DX_SUPPLY_SI_QTY,GBT FP Equity_DX_BROKER_SI_QTY,GBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GBT FP Equity_DX_BROKER_SI_MV_NEW_x,GBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,GBT FP Equity_DX_BROKER_SI_MV_INC_x,GBT FP Equity_DX_SUPPLY_SI_MV_NEW,GBT FP Equity_DX_BROKER_SI_QTY_ADD,GBT FP Equity_DX_BROKER_SI_QTY_NEW,GBT FP Equity_DX_SUPPLY_SI_MV_DEC,GBT FP Equity_DX_BROKER_SI_QTY_INC,GBT FP Equity_DX_SUPPLY_SI_QTY_DEC,GBT FP Equity_DX_BROKER_SI_MV_NEW_y,GBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GBT FP Equity_DX_BROKER_SI_MV_INC_y,GBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,GBT FP Equity_DX_BROKER_SI_MV_ADD,GBT FP Equity_DX_SUPPLY_SI_QTY_ADD,GBT FP Equity_DX_BROKER_SI_QTY_DEC,GBT FP Equity_DX_SUPPLY_SI_MV,GBT FP Equity_DX_BROKER_SI_MV_DEC,GBT FP Equity_DX_SUPPLY_SI_MV_RMV,GBT FP Equity_DX_BROKER_SI_MV_RMV,GBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GBT FP Equity_DX_UTILIZATION_QUANTITY,GBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GBT FP Equity_DX_ACTIVE_UTILIZATION_MV,GBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GBT FP Equity_DX_BROKER_SI_CON_RATIO,GBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,3.09,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,3.09,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,3.07,0.0,,0.0,,0.0
2006-01-25,5997.0,604411.98,0.57,3.74,0.2,0.71,0.0,604411.98,0.0,5997.0,0.0,,,,,,5997.0,,,,,,,,,0.71,,,0.0,,,,0.0,0.0,28579.0,2880355.17,,3.38,0.0,,1.0,100.0,0.2098
2006-02-01,5969.0,606410.41,0.56,2.51,0.2,0.75,0.0,606410.41,0.0,5969.0,0.0,,,,,,,,,,,,,,,,,27.0,0.0,0.0,,,0.0,0.0,33481.0,3401445.3,,4.21,0.0,,1.0,100.0,0.1783
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5969.0,0.0,0.75,,,0.0,0.0,35379.0,3719983.1,,4.61,0.0,,0.0,,0.0
2006-02-15,6005.0,659532.72,0.57,2.83,0.2,0.82,0.0,659532.72,0.0,6005.0,0.0,,,,,,6005.0,,,,,,,,,0.82,,,0.0,,,,0.0,0.0,35934.0,3946652.61,,4.9,0.0,,1.0,100.0,0.1671
2006-02-22,6062.0,660897.53,0.57,2.18,0.21,0.82,0.0,660897.53,0.0,6062.0,0.0,,,,0.0,,,,,57.0,,,,0.0,,,,,0.0,,,,0.0,0.0,41045.0,4474849.75,,5.52,0.0,,1.0,100.0,0.1477
2006-03-01,6000.0,658983.57,0.57,2.07,0.2,0.82,0.0,658983.57,0.0,6000.0,0.0,,,,,,,,,,,,,,,,,62.0,0.0,0.0,,,0.0,0.0,41359.0,4542483.59,,0.0,0.0,,1.0,100.0,0.1341
2006-03-08,5899.0,616448.93,0.54,2.11,0.2,0.76,0.0,616448.93,0.0,5899.0,0.0,,,,,,,,,,,,,,,,,101.0,0.0,0.05,,,0.0,0.0,41282.0,4313992.99,,0.0,0.0,,1.0,100.0,0.132
2006-03-15,5962.0,621106.55,0.55,3.34,0.2,0.76,0.0,621106.55,0.0,5962.0,0.0,,,,0.0,,,,,64.0,,,,0.0,,,,,0.0,,,,0.0,0.0,42854.0,4464424.72,,0.0,0.0,,1.0,100.0,0.1241
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5962.0,0.0,0.76,,,0.0,0.0,46951.0,4739573.79,,5.86,0.0,,0.0,,0.0
