,ALAUD FP Equity_DX_SI_QTY,ALAUD FP Equity_DX_SHORT_INTEREST_VALUE,ALAUD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAUD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAUD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAUD FP Equity_DX_SI_MV,ALAUD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAUD FP Equity_DX_SUPPLY_SI_QTY,ALAUD FP Equity_DX_BROKER_SI_QTY,ALAUD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAUD FP Equity_DX_SUPPLY_SI_MV,ALAUD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAUD FP Equity_DX_UTILIZATION_QUANTITY,ALAUD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAUD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAUD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAUD FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAUD FP Equity_DX_BROKER_SI_CON_RATIO,ALAUD FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAUD FP Equity_PX_LAST
2021-10-14,,,,,,,,,,,,,,,,,,,,6.75
2021-10-15,,,,,,,,,,,,,,,,,,,,6.82
2021-10-18,,,,,,,,,,,,,,,,,,,,6.76
2021-10-19,,,,,,,,,,,,,,,,,,,,6.72
2021-10-20,,,,,,,,,,,,,,,,,,,,6.74
2021-10-21,,,,,,,,,,,,,,,,,,,,6.62
2021-10-22,,,,,,,,,,,,,,,,,,,,6.58
2021-10-25,,,,,,,,,,,,,,,,,,,,6.48
2021-10-26,,,,,,,,,,,,,,,,,,,,6.1
2021-10-27,,,,,,,,,,,,,,,,,,,,5.9
2021-10-28,,,,,,,,,,,,,,,,,,,,5.9
2021-10-29,,,,,,,,,,,,,,,,,,,,5.8
2021-11-01,,,,,,,,,,,,,,,,,,,,5.82
2021-11-02,,,,,,,,,,,,,,,,,,,,5.88
2021-11-03,,,,,,,,,,,,,,,,,,,,5.92
2021-11-04,,,,,,,,,,,,,,,,,,,,5.92
2021-11-05,,,,,,,,,,,,,,,,,,,,5.98
2021-11-08,,,,,,,,,,,,,,,,,,,,6.06
2021-11-09,,,,,,,,,,,,,,,,,,,,6.5
2021-11-10,,,,,,,,,,,,,,,,,,,,6.58
2021-11-11,,,,,,,,,,,,,,,,,,,,6.58
2021-11-12,,,,,,,,,,,,,,,,,,,,6.58
2021-11-15,,,,,,,,,,,,,,,,,,,,6.38
2021-11-16,,,,,,,,,,,,,,,,,,,,6.3
2021-11-17,,,,,,,,,,,,,,,,,,,,6.52
2021-11-18,,,,,,,,,,,,,,,,,,,,6.5
2021-11-19,,,,,,,,,,,,,,,,,,,,6.1
2021-11-22,,,,,,,,,,,,,,,,,,,,6.1
2021-11-23,,,,,,,,,,,,,,,,,,,,6.0
2021-11-24,,,,,,,,,,,,,,,,,,,,6.0
2021-11-25,,,,,,,,,,,,,,,,,,,,6.04
2021-11-26,,,,,,,,,,,,,,,,,,,,6.04
2021-11-29,,,,,,,,,,,,,,,,,,,,5.88
2021-11-30,,,,,,,,,,,,,,,,,,,,6.0
2021-12-01,,,,,,,,,,,,,,,,,,,,6.0
2021-12-02,,,,,,,,,,,,,,,,,,,,6.0
2021-12-03,,,,,,,,,,,,,,,,,,,,6.2
2021-12-06,,,,,,,,,,,,,,,,,,,,6.3
2021-12-07,,,,,,,,,,,,,,,,,,,,6.28
2021-12-08,,,,,,,,,,,,,,,,,,,,6.22
2021-12-09,,,,,,,,,,,,,,,,,,,,6.12
2021-12-10,,,,,,,,,,,,,,,,,,,,6.16
2021-12-13,,,,,,,,,,,,,,,,,,,,6.18
2021-12-14,,,,,,,,,,,,,,,,,,,,6.16
2021-12-15,,,,,,,,,,,,,,,,,,,,6.16
2021-12-16,,,,,,,,,,,,,,,,,,,,6.16
2021-12-17,,,,,,,,,,,,,,,,,,,,6.16
2021-12-20,,,,,,,,,,,,,,,,,,,,6.04
2021-12-21,,,,,,,,,,,,,,,,,,,,6.16
2021-12-22,,,,,,,,,,,,,,,,,,,,6.1
