,TNG FP Equity_DX_SI_QTY,TNG FP Equity_DX_SHORT_INTEREST_VALUE,TNG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TNG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TNG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TNG FP Equity_DX_SI_MV,TNG FP Equity_DX_DSS,TNG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TNG FP Equity_DX_SUPPLY_SI_QTY,TNG FP Equity_DX_BROKER_SI_QTY,TNG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TNG FP Equity_DX_BROKER_SI_MV_NEW_x,TNG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,TNG FP Equity_DX_SUPPLY_SI_QTY_INC_x,TNG FP Equity_DX_BROKER_SI_MV_INC_x,TNG FP Equity_DX_SUPPLY_SI_MV_NEW,TNG FP Equity_DX_BROKER_SI_QTY_ADD,TNG FP Equity_DX_BROKER_SI_QTY_NEW,TNG FP Equity_DX_SUPPLY_SI_MV_DEC,TNG FP Equity_DX_BROKER_SI_QTY_INC,TNG FP Equity_DX_SUPPLY_SI_QTY_DEC,TNG FP Equity_DX_BROKER_SI_MV_NEW_y,TNG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,TNG FP Equity_DX_BROKER_SI_MV_INC_y,TNG FP Equity_DX_SUPPLY_SI_QTY_INC_y,TNG FP Equity_DX_BROKER_SI_MV_ADD,TNG FP Equity_DX_SUPPLY_SI_QTY_ADD,TNG FP Equity_DX_BROKER_SI_QTY_DEC,TNG FP Equity_DX_SUPPLY_SI_MV,TNG FP Equity_DX_BROKER_SI_MV_DEC,TNG FP Equity_DX_SUPPLY_SI_MV_RMV,TNG FP Equity_DX_BROKER_SI_MV_RMV,TNG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TNG FP Equity_DX_UTILIZATION_QUANTITY,TNG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TNG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TNG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TNG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TNG FP Equity_DX_ACTIVE_UTILIZATION_MV,TNG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TNG FP Equity_DX_BROKER_SI_CON_RATIO,TNG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TNG FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,19801.0,137022.92,0.33,2.05,0.13,0.14,0.0,137022.92,2299.0,19801.0,15909.08,,,38.0,,,,,,,,,,,38.0,,,,0.02,,,,70.0,70.0,985.0,6816.2,,0.01,70.0,24.16,0.6335,75.84,6.0277
2006-01-11,10000.0,69000.0,0.16,0.95,0.07,0.07,0.0,69000.0,0.0,10000.0,0.0,,,,,,,,0.02,,2299.0,,,,,,,9801.0,0.0,0.07,,,0.0,0.0,3253.0,22445.7,,0.02,0.0,,1.0,100.0,3.0741
2006-01-18,10000.0,68100.0,0.16,1.56,0.07,0.07,0.0,68100.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3210.0,21860.1,,0.02,0.0,,1.0,100.0,3.1153
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,0.07,,,0.0,0.0,0.0,0.0,,0.02,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.02,0.0,,0.0,,0.0
2006-02-08,10000.0,70400.0,0.16,1.08,0.07,0.07,0.0,70400.0,0.0,10000.0,0.0,,,,,,10000.0,,,,,,,,,0.07,,,0.0,,,,0.0,0.0,3380.0,23795.2,,0.02,0.0,,1.0,100.0,2.9586
2006-02-15,10000.0,68200.0,0.16,1.13,0.07,0.07,0.0,68200.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3196.0,21796.72,,0.02,0.0,,1.0,100.0,3.1289
2006-02-22,10000.0,70500.0,0.16,1.32,0.07,0.07,0.0,70500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3210.0,22630.5,,0.02,0.0,,1.0,100.0,3.1153
2006-03-01,10000.0,73900.0,0.16,0.72,0.07,0.07,0.0,73900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3536.0,26131.04,,0.02,0.0,,1.0,100.0,2.8281
2006-03-08,10000.0,77900.0,0.16,0.68,0.07,0.07,0.0,77900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3639.0,28347.81,,0.03,0.0,,1.0,100.0,2.748
2006-03-15,18355.0,136010.55,0.29,1.25,0.12,0.13,0.0,136010.55,0.0,18355.0,0.0,,,,,,8355.0,,,,,,,,,0.06,,,0.0,,,,0.0,0.0,3564.0,26409.24,,0.0,0.0,45.52,0.504,54.48,5.1501
2006-03-22,18632.0,142534.8,0.29,1.2,0.13,0.13,0.0,142534.8,0.0,18632.0,0.0,,,,0.0,,,,,276.0,,,,0.0,,,,,0.0,,,,0.0,0.0,3583.0,27409.95,,0.0,0.0,46.33,0.5027,53.67,5.2001
2006-03-29,21788.0,222019.72,0.34,0.61,0.15,0.15,0.0,222019.72,0.0,21788.0,0.0,,,,0.02,,,,,3156.0,,,,0.02,,,,,0.0,,,,0.0,0.0,4950.0,50440.5,,0.0,0.0,45.9,0.5034,54.1,4.4016
2006-04-05,22278.0,241939.08,0.35,0.48,0.15,0.16,0.0,241939.08,0.0,22278.0,0.0,,,,0.0,,,,,489.0,,,,0.0,,,,,0.0,,,,0.0,0.0,7808.0,84794.88,,0.0,0.0,44.89,0.5052,55.11,2.8532
2006-04-12,23351.0,256861.0,0.37,0.47,0.16,0.18,0.0,256861.0,0.0,23351.0,0.0,,,,0.02,,,,,1500.0,,,,0.02,,,,426.0,0.0,0.0,,,0.0,0.0,7675.0,84425.0,,0.0,0.0,49.25,0.5001,50.75,3.0425
2006-04-19,24271.0,306057.31,0.38,0.45,0.16,0.18,0.0,306057.31,196.0,24271.0,2471.56,,,,0.01,,121.0,,,798.0,,,,0.01,,0.0,196.0,,0.0,,,,2.16,2.16,8876.0,111926.36,,0.0,0.0,47.07,0.4933,52.12,2.6754
2006-04-26,394.0,4767.4,0.01,0.01,0.0,0.01,0.0,4767.4,438.0,394.0,5299.8,,,242.0,0.0,,,,,273.0,,,,0.0,242.0,,,24150.0,0.01,0.18,,,7.03,7.03,5788.0,70034.8,,0.07,7.03,,1.0,100.0,0.0633
2006-05-03,14989.0,178518.99,0.24,0.19,0.1,0.21,0.0,178518.99,1831.0,14989.0,21807.21,,780.0,613.0,0.01,0.01,13780.0,,,815.0,,,780.0,0.01,613.0,0.19,,,0.02,,,,32.4,31.19,3820.0,45496.2,,0.0,254.82,6.92,0.7914,88.58,2.5531
2006-05-10,13330.0,152495.2,0.21,0.16,0.09,0.19,0.0,151843.12,1075.0,13273.0,12298.0,,,24.0,,,64.0,,0.01,,780.0,,,,24.0,0.0,,1780.0,0.02,0.02,,,23.1,23.1,3579.0,40943.76,,0.05,23.1,7.63,0.8517,91.97,2.8636
2006-05-17,17785.0,182296.25,0.28,0.28,0.12,0.24,0.0,172292.25,2695.0,16809.0,27623.75,,,1620.0,0.01,,2546.0,,,990.0,,,,0.01,1620.0,0.03,,,0.04,,,,63.94,63.94,1520.0,15580.0,,0.02,63.94,15.14,0.5874,74.44,4.2205
2006-05-24,19908.0,193107.6,0.31,0.34,0.14,0.26,0.0,184203.0,2525.0,18990.0,24492.5,,,,0.02,,,,0.0,2190.0,170.0,,,0.02,,,,9.0,0.03,0.0,,,48.65,48.65,2665.0,25850.5,,0.03,48.65,13.36,0.6258,77.46,3.8358
2006-05-31,16520.0,171808.0,0.26,0.33,0.11,0.22,0.0,170268.8,1940.0,16372.0,20176.0,,,,0.0,,,,0.01,109.0,585.0,,,0.0,,,,2727.0,0.03,0.04,,,31.74,31.74,4171.0,43378.4,,0.05,31.74,10.52,0.7968,88.64,2.7033
2006-06-07,16964.0,162175.84,0.27,0.47,0.12,0.22,0.0,158906.32,2035.0,16622.0,19454.6,,,95.0,0.0,,,,,250.0,,,,0.0,95.0,,,,0.03,,,,35.24,35.24,3739.0,35744.84,,0.05,35.24,9.69,0.7919,88.44,2.938
2006-06-14,16949.0,161184.99,0.27,0.81,0.12,0.22,0.0,158075.22,1948.0,16622.0,18525.48,,,,,,,,0.0,,87.0,,,,,,,,0.03,,,,35.24,35.24,3578.0,34026.78,,0.05,35.24,9.69,0.792,88.45,3.0671
