,MLFIR FP Equity_DX_SI_QTY,MLFIR FP Equity_DX_SHORT_INTEREST_VALUE,MLFIR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLFIR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLFIR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLFIR FP Equity_DX_SI_MV,MLFIR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLFIR FP Equity_DX_SUPPLY_SI_QTY,MLFIR FP Equity_DX_BROKER_SI_QTY,MLFIR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLFIR FP Equity_DX_SUPPLY_SI_MV,MLFIR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLFIR FP Equity_DX_UTILIZATION_QUANTITY,MLFIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLFIR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLFIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLFIR FP Equity_DX_ACTIVE_UTILIZATION_MV,MLFIR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MLFIR FP Equity_DX_BROKER_SI_CON_RATIO,MLFIR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLFIR FP Equity_DX_DEMAND_SUPPLY_RATIO,MLFIR FP Equity_PX_LAST
2010-12-22,,,,,,,,,,,,,,,,,,,,,,6.7
2011-01-25,,,,,,,,,,,,,,,,,,,,,,7.25
2011-01-26,,,,,,,,,,,,,,,,,,,,,,7.25
2011-01-27,,,,,,,,,,,,,,,,,,,,,,7.25
2011-01-28,,,,,,,,,,,,,,,,,,,,,,7.25
2011-01-31,,,,,,,,,,,,,,,,,,,,,,7.25
2011-02-01,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-02,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-03,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-04,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-07,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-08,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-09,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-10,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-11,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-14,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-16,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-17,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-21,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-23,,,,,,,,,,,,,,,,,,,,,,7.5
2011-02-25,,,,,,,,,,,,,,,,,,,,,,7.5
