,BOI FP Equity_DX_SI_QTY,BOI FP Equity_DX_SHORT_INTEREST_VALUE,BOI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BOI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BOI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BOI FP Equity_DX_SI_MV,BOI FP Equity_DX_DSS,BOI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BOI FP Equity_DX_SUPPLY_SI_QTY,BOI FP Equity_DX_BROKER_SI_QTY,BOI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BOI FP Equity_DX_BROKER_SI_MV_NEW_x,BOI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BOI FP Equity_DX_SUPPLY_SI_QTY_INC_x,BOI FP Equity_DX_BROKER_SI_MV_INC_x,BOI FP Equity_DX_SUPPLY_SI_MV_NEW,BOI FP Equity_DX_BROKER_SI_QTY_ADD,BOI FP Equity_DX_BROKER_SI_QTY_NEW,BOI FP Equity_DX_SUPPLY_SI_MV_DEC,BOI FP Equity_DX_BROKER_SI_QTY_INC,BOI FP Equity_DX_SUPPLY_SI_QTY_DEC,BOI FP Equity_DX_BROKER_SI_MV_NEW_y,BOI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BOI FP Equity_DX_BROKER_SI_MV_INC_y,BOI FP Equity_DX_SUPPLY_SI_QTY_INC_y,BOI FP Equity_DX_BROKER_SI_MV_ADD,BOI FP Equity_DX_SUPPLY_SI_QTY_ADD,BOI FP Equity_DX_BROKER_SI_QTY_DEC,BOI FP Equity_DX_SUPPLY_SI_MV,BOI FP Equity_DX_BROKER_SI_MV_DEC,BOI FP Equity_DX_SUPPLY_SI_MV_RMV,BOI FP Equity_DX_BROKER_SI_MV_RMV,BOI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BOI FP Equity_DX_UTILIZATION_QUANTITY,BOI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BOI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BOI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BOI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BOI FP Equity_DX_ACTIVE_UTILIZATION_MV,BOI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BOI FP Equity_DX_BROKER_SI_CON_RATIO,BOI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BOI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,60270.0,1014257.88,0.48,7.83,0.27,1.32,0.0,191997.15,48861.0,11409.0,822260.73,0.25,,,,,,11409.0,0.01,,430.0,0.25,,,,,,,1.07,,,,15.08,15.08,275151.0,4630397.71,,6.03,15.04,23.55,0.4991,65.74,0.186
2006-01-11,64262.0,1114848.59,0.51,8.01,0.29,1.45,0.0,197928.91,52853.0,11409.0,916919.68,,,4152.0,,,,,0.0,,160.0,,,,4152.0,,,,1.19,,,,16.36,16.36,270171.0,4687058.6,,6.11,16.34,21.84,0.4315,60.69,0.1989
2006-01-18,64937.0,1126062.32,0.52,8.68,0.3,1.48,0.0,198968.83,53529.0,11474.0,928237.99,,,676.0,,,65.0,,,,,,,,676.0,0.0,,,1.22,,,,16.49,16.49,271014.0,4699611.23,,6.16,16.51,21.63,0.4312,60.73,0.2001
2006-01-25,64772.0,1087048.67,0.52,7.99,0.29,1.44,0.0,192564.63,53363.0,11474.0,895574.91,,37214.0,,,0.83,,,0.01,,125.0,,37214.0,,,,,,1.19,,0.85,,16.49,16.49,270296.0,4536295.11,37254.0,5.99,16.6,21.35,0.4334,61.0,0.2001
2006-02-01,60091.0,845384.75,0.48,2.69,0.27,1.09,0.0,96059.1,53263.0,6828.0,749325.66,,,,,,,,0.07,,100.0,,,,,,,4646.0,0.96,0.13,,,19.87,19.87,214850.0,3022597.63,,3.92,19.76,14.46,0.4795,66.32,0.2241
2006-02-08,242098.0,3146786.51,1.93,8.31,1.1,4.12,1.0,2449860.48,53618.0,188480.0,696926.03,,,355.0,,,181652.0,,,,,,,,355.0,3.09,,,0.91,,,,20.0,20.0,214414.0,2786950.26,,3.65,20.01,13.92,0.646,79.05,0.9032
2006-02-15,60140.0,785837.31,0.48,1.76,0.27,1.03,0.0,89220.11,53312.0,6828.0,696617.2,0.12,,,,,,6828.0,0.0,,306.0,0.12,,,,,,181652.0,0.91,3.09,,0.12,19.91,19.91,214408.0,2801626.3,,3.66,19.89,14.27,0.4817,66.53,0.2246
2006-02-22,60266.0,783336.65,0.48,1.79,0.27,1.02,0.0,88750.25,53438.0,6828.0,694586.4,,,126.0,,,,,,,,,,,126.0,,,,0.91,,,,19.96,19.96,214269.0,2785065.55,,3.64,19.95,14.23,0.4821,66.56,0.2251
2006-03-01,60201.0,772825.7,0.48,1.7,0.27,1.02,0.0,87653.92,53373.0,6828.0,685171.78,,,,,,,,0.0,,66.0,,,,,,,,0.9,,,,14.54,14.54,313788.0,4028229.3,,5.29,14.55,14.15,0.4833,66.67,0.164
2006-03-08,59962.0,787637.57,0.48,1.63,0.27,1.01,0.0,89689.96,53134.0,6828.0,697947.62,,,,,,,,0.0,,238.0,,,,,,,,0.89,,,,16.28,16.28,273229.0,3589030.17,,4.61,16.24,14.47,0.4813,66.47,0.1837
