,MERY FP Equity_DX_SI_QTY,MERY FP Equity_DX_SHORT_INTEREST_VALUE,MERY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MERY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MERY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MERY FP Equity_DX_SI_MV,MERY FP Equity_DX_DSS,MERY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MERY FP Equity_DX_SUPPLY_SI_QTY,MERY FP Equity_DX_BROKER_SI_QTY,MERY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MERY FP Equity_DX_BROKER_SI_MV_NEW_x,MERY FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MERY FP Equity_DX_SUPPLY_SI_QTY_INC_x,MERY FP Equity_DX_BROKER_SI_MV_INC_x,MERY FP Equity_DX_SUPPLY_SI_MV_NEW,MERY FP Equity_DX_BROKER_SI_QTY_ADD,MERY FP Equity_DX_BROKER_SI_QTY_NEW,MERY FP Equity_DX_SUPPLY_SI_MV_DEC,MERY FP Equity_DX_BROKER_SI_QTY_INC,MERY FP Equity_DX_SUPPLY_SI_QTY_DEC,MERY FP Equity_DX_BROKER_SI_MV_NEW_y,MERY FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MERY FP Equity_DX_BROKER_SI_MV_INC_y,MERY FP Equity_DX_SUPPLY_SI_QTY_INC_y,MERY FP Equity_DX_BROKER_SI_MV_ADD,MERY FP Equity_DX_SUPPLY_SI_QTY_ADD,MERY FP Equity_DX_BROKER_SI_QTY_DEC,MERY FP Equity_DX_SUPPLY_SI_MV,MERY FP Equity_DX_BROKER_SI_MV_DEC,MERY FP Equity_DX_SUPPLY_SI_MV_RMV,MERY FP Equity_DX_BROKER_SI_MV_RMV,MERY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MERY FP Equity_DX_UTILIZATION_QUANTITY,MERY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MERY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MERY FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MERY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MERY FP Equity_DX_ACTIVE_UTILIZATION_MV,MERY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MERY FP Equity_DX_BROKER_SI_CON_RATIO,MERY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MERY FP Equity_DX_DEMAND_SUPPLY_RATIO,MERY FP Equity_PX_LAST
2005-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.13
2005-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15
2005-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.01
2005-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2005-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.73
2005-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2005-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
2005-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.49
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2
2005-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.23
2005-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.39
2005-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
2005-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54
2005-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.62
2005-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55
2005-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
2005-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75
2005-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2005-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.72
2005-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7
2005-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
