,ALEO2 FP Equity_DX_SI_QTY,ALEO2 FP Equity_DX_SHORT_INTEREST_VALUE,ALEO2 FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALEO2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALEO2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALEO2 FP Equity_DX_SI_MV,ALEO2 FP Equity_DX_DSS,ALEO2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALEO2 FP Equity_DX_SUPPLY_SI_QTY,ALEO2 FP Equity_DX_BROKER_SI_QTY,ALEO2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALEO2 FP Equity_DX_BROKER_SI_MV_INC_x,ALEO2 FP Equity_DX_BROKER_SI_QTY_ADD,ALEO2 FP Equity_DX_SUPPLY_SI_MV_DEC,ALEO2 FP Equity_DX_BROKER_SI_QTY_INC,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_DEC,ALEO2 FP Equity_DX_BROKER_SI_MV_INC_y,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALEO2 FP Equity_DX_BROKER_SI_MV_ADD,ALEO2 FP Equity_DX_SUPPLY_SI_QTY_ADD,ALEO2 FP Equity_DX_BROKER_SI_QTY_DEC,ALEO2 FP Equity_DX_SUPPLY_SI_MV,ALEO2 FP Equity_DX_BROKER_SI_MV_DEC,ALEO2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALEO2 FP Equity_DX_UTILIZATION_QUANTITY,ALEO2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALEO2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALEO2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALEO2 FP Equity_DX_ACTIVE_UTILIZATION_MV,ALEO2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALEO2 FP Equity_DX_BROKER_SI_CON_RATIO,ALEO2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALEO2 FP Equity_DX_DEMAND_SUPPLY_RATIO,ALEO2 FP Equity_PX_LAST
2007-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2007-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2007-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2007-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2007-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2007-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6
2007-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58
2007-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2007-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78
2007-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2007-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2007-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2007-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6
2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2007-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21
