,SCITY FP Equity_DX_SI_QTY,SCITY FP Equity_DX_SHORT_INTEREST_VALUE,SCITY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SCITY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SCITY FP Equity_DX_SI_MV,SCITY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SCITY FP Equity_DX_SUPPLY_SI_QTY,SCITY FP Equity_DX_BROKER_SI_QTY,SCITY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SCITY FP Equity_DX_SUPPLY_SI_QTY_INC_x,SCITY FP Equity_DX_BROKER_SI_QTY_ADD,SCITY FP Equity_DX_SUPPLY_SI_MV_DEC,SCITY FP Equity_DX_SUPPLY_SI_QTY_DEC,SCITY FP Equity_DX_SUPPLY_SI_QTY_INC_y,SCITY FP Equity_DX_BROKER_SI_MV_ADD,SCITY FP Equity_DX_SUPPLY_SI_QTY_ADD,SCITY FP Equity_DX_BROKER_SI_QTY_DEC,SCITY FP Equity_DX_SUPPLY_SI_MV,SCITY FP Equity_DX_BROKER_SI_MV_DEC,SCITY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SCITY FP Equity_DX_UTILIZATION_QUANTITY,SCITY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SCITY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SCITY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SCITY FP Equity_DX_ACTIVE_UTILIZATION_MV,SCITY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SCITY FP Equity_DX_BROKER_SI_CON_RATIO,SCITY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SCITY FP Equity_DX_DEMAND_SUPPLY_RATIO,SCITY FP Equity_PX_LAST
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.339
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.331
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.42
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.155
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.461
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.492
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.234
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.452
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.656
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.893
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.588
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.338
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.114
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.987
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.774
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.253
2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.041
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.421
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.167
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.807
2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.009
2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.757
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.762
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.849
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.796
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.821
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.742
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.577
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.847
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.549
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.729
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.869
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.864
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.634
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.82
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.607
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.057
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.042
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.697
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.608
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.333
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.321
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.481
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.712
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.196
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.948
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.088
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.233
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.707
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.604
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.727
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.573
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.367
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.384
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.036
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.06
