,ALICA FP Equity_DX_SI_QTY,ALICA FP Equity_DX_SHORT_INTEREST_VALUE,ALICA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALICA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALICA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALICA FP Equity_DX_SI_MV,ALICA FP Equity_DX_DSS,ALICA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALICA FP Equity_DX_SUPPLY_SI_QTY,ALICA FP Equity_DX_BROKER_SI_QTY,ALICA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALICA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALICA FP Equity_DX_BROKER_SI_MV_INC_x,ALICA FP Equity_DX_BROKER_SI_QTY_ADD,ALICA FP Equity_DX_SUPPLY_SI_MV_DEC,ALICA FP Equity_DX_BROKER_SI_QTY_INC,ALICA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALICA FP Equity_DX_BROKER_SI_MV_INC_y,ALICA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALICA FP Equity_DX_BROKER_SI_MV_ADD,ALICA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALICA FP Equity_DX_BROKER_SI_QTY_DEC,ALICA FP Equity_DX_SUPPLY_SI_MV,ALICA FP Equity_DX_BROKER_SI_MV_DEC,ALICA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALICA FP Equity_DX_UTILIZATION_QUANTITY,ALICA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALICA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALICA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALICA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALICA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALICA FP Equity_DX_BROKER_SI_CON_RATIO,ALICA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALICA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALICA FP Equity_PX_LAST
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.996
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.97
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.902
