,ALENO FP Equity_DX_SI_QTY,ALENO FP Equity_DX_SHORT_INTEREST_VALUE,ALENO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALENO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALENO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALENO FP Equity_DX_SI_MV,ALENO FP Equity_DX_DSS,ALENO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALENO FP Equity_DX_SUPPLY_SI_QTY,ALENO FP Equity_DX_BROKER_SI_QTY,ALENO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALENO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALENO FP Equity_DX_BROKER_SI_MV_INC_x,ALENO FP Equity_DX_BROKER_SI_QTY_ADD,ALENO FP Equity_DX_SUPPLY_SI_MV_DEC,ALENO FP Equity_DX_BROKER_SI_QTY_INC,ALENO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALENO FP Equity_DX_BROKER_SI_MV_INC_y,ALENO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALENO FP Equity_DX_BROKER_SI_MV_ADD,ALENO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALENO FP Equity_DX_BROKER_SI_QTY_DEC,ALENO FP Equity_DX_SUPPLY_SI_MV,ALENO FP Equity_DX_BROKER_SI_MV_DEC,ALENO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALENO FP Equity_DX_UTILIZATION_QUANTITY,ALENO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALENO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALENO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALENO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALENO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALENO FP Equity_DX_BROKER_SI_CON_RATIO,ALENO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALENO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALENO FP Equity_PX_LAST
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04
2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2022-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72
2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16
2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28
2022-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22
2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22
2022-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06
2022-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2022-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2022-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78
