,ALENO FP Equity_DX_SI_QTY,ALENO FP Equity_DX_SHORT_INTEREST_VALUE,ALENO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALENO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALENO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALENO FP Equity_DX_SI_MV,ALENO FP Equity_DX_DSS,ALENO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALENO FP Equity_DX_SUPPLY_SI_QTY,ALENO FP Equity_DX_BROKER_SI_QTY,ALENO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALENO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALENO FP Equity_DX_BROKER_SI_MV_INC_x,ALENO FP Equity_DX_BROKER_SI_QTY_ADD,ALENO FP Equity_DX_SUPPLY_SI_MV_DEC,ALENO FP Equity_DX_BROKER_SI_QTY_INC,ALENO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALENO FP Equity_DX_BROKER_SI_MV_INC_y,ALENO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALENO FP Equity_DX_BROKER_SI_MV_ADD,ALENO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALENO FP Equity_DX_BROKER_SI_QTY_DEC,ALENO FP Equity_DX_SUPPLY_SI_MV,ALENO FP Equity_DX_BROKER_SI_MV_DEC,ALENO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALENO FP Equity_DX_UTILIZATION_QUANTITY,ALENO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALENO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALENO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALENO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALENO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALENO FP Equity_DX_BROKER_SI_CON_RATIO,ALENO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALENO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALENO FP Equity_PX_LAST
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.76
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.46
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.46
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
