,MEU FP Equity_DX_SI_QTY,MEU FP Equity_DX_SHORT_INTEREST_VALUE,MEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MEU FP Equity_DX_SI_MV,MEU FP Equity_DX_DSS,MEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MEU FP Equity_DX_SUPPLY_SI_QTY,MEU FP Equity_DX_BROKER_SI_QTY,MEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MEU FP Equity_DX_BROKER_SI_MV_NEW_x,MEU FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MEU FP Equity_DX_SUPPLY_SI_QTY_INC_x,MEU FP Equity_DX_BROKER_SI_MV_INC_x,MEU FP Equity_DX_SUPPLY_SI_MV_NEW,MEU FP Equity_DX_BROKER_SI_QTY_ADD,MEU FP Equity_DX_BROKER_SI_QTY_NEW,MEU FP Equity_DX_SUPPLY_SI_MV_DEC,MEU FP Equity_DX_BROKER_SI_QTY_INC,MEU FP Equity_DX_SUPPLY_SI_QTY_DEC,MEU FP Equity_DX_BROKER_SI_MV_NEW_y,MEU FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MEU FP Equity_DX_BROKER_SI_MV_INC_y,MEU FP Equity_DX_SUPPLY_SI_QTY_INC_y,MEU FP Equity_DX_BROKER_SI_MV_ADD,MEU FP Equity_DX_SUPPLY_SI_QTY_ADD,MEU FP Equity_DX_BROKER_SI_QTY_DEC,MEU FP Equity_DX_SUPPLY_SI_MV,MEU FP Equity_DX_BROKER_SI_MV_DEC,MEU FP Equity_DX_SUPPLY_SI_MV_RMV,MEU FP Equity_DX_BROKER_SI_MV_RMV,MEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MEU FP Equity_DX_UTILIZATION_QUANTITY,MEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MEU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MEU FP Equity_DX_ACTIVE_UTILIZATION_MV,MEU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MEU FP Equity_DX_BROKER_SI_CON_RATIO,MEU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MEU FP Equity_DX_DEMAND_SUPPLY_RATIO,MEU FP Equity_PX_LAST
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.62
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.32
2006-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.12
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.77
2006-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.05
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.54
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.81
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.25
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1
2006-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.9
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.5
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.89
2006-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.92
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.17
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.81
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.95
2006-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.74
