,ALAIR FP Equity_DX_SI_QTY,ALAIR FP Equity_DX_SHORT_INTEREST_VALUE,ALAIR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAIR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAIR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAIR FP Equity_DX_SI_MV,ALAIR FP Equity_DX_DSS,ALAIR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAIR FP Equity_DX_SUPPLY_SI_QTY,ALAIR FP Equity_DX_BROKER_SI_QTY,ALAIR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAIR FP Equity_DX_BROKER_SI_QTY_ADD,ALAIR FP Equity_DX_SUPPLY_SI_MV_DEC,ALAIR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAIR FP Equity_DX_BROKER_SI_MV_ADD,ALAIR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAIR FP Equity_DX_BROKER_SI_QTY_DEC,ALAIR FP Equity_DX_SUPPLY_SI_MV,ALAIR FP Equity_DX_BROKER_SI_MV_DEC,ALAIR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAIR FP Equity_DX_UTILIZATION_QUANTITY,ALAIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAIR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAIR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAIR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAIR FP Equity_DX_BROKER_SI_CON_RATIO,ALAIR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAIR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAIR FP Equity_PX_LAST
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
